"year","county","route","count"
1999,"orange","orng-01",17
2000,"orange","orng-01",33
2001,"orange","orng-01",35
2002,"orange","orng-01",28
2003,"orange","orng-01",21
2004,"orange","orng-01",30
2005,"orange","orng-01",31
2006,"orange","orng-01",29
2007,"orange","orng-01",20
2008,"orange","orng-01",23
2009,"orange","orng-01",24
2010,"orange","orng-01",31
2011,"orange","orng-01",26
2012,"orange","orng-01",25
2013,"orange","orng-01",23
2014,"orange","orng-01",26
2015,"orange","orng-01",22
2016,"orange","orng-01",26
2017,"orange","orng-01",25
2018,"orange","orng-01",33
2019,"orange","orng-01",27
2020,"orange","orng-01",22
2021,"orange","orng-01",16
2022,"orange","orng-01",31
2023,"orange","orng-01",39
2024,"orange","orng-01",18
1999,"orange","orng-02",0
2000,"orange","orng-02",21
2001,"orange","orng-02",25
2002,"orange","orng-02",22
2003,"orange","orng-02",15
2004,"orange","orng-02",10
2005,"orange","orng-02",16
2006,"orange","orng-02",32
2007,"orange","orng-02",33
2008,"orange","orng-02",16
2009,"orange","orng-02",16
2010,"orange","orng-02",12
2011,"orange","orng-02",17
2012,"orange","orng-02",33
2013,"orange","orng-02",29
2014,"orange","orng-02",27
2015,"orange","orng-02",16
2016,"orange","orng-02",12
2017,"orange","orng-02",15
2018,"orange","orng-02",16
2019,"orange","orng-02",11
2020,"orange","orng-02",14
2021,"orange","orng-02",9
2022,"orange","orng-02",11
2023,"orange","orng-02",17
2024,"orange","orng-02",23
1999,"orange","orng-03",22
2000,"orange","orng-03",23
2001,"orange","orng-03",18
2002,"orange","orng-03",31
2003,"orange","orng-03",32
2004,"orange","orng-03",15
2005,"orange","orng-03",26
2006,"orange","orng-03",23
2007,"orange","orng-03",20
2008,"orange","orng-03",26
2009,"orange","orng-03",18
2011,"orange","orng-03",17
2014,"orange","orng-03",26
2015,"orange","orng-03",23
2016,"orange","orng-03",25
2017,"orange","orng-03",27
2018,"orange","orng-03",12
2019,"orange","orng-03",28
2020,"orange","orng-03",33
2021,"orange","orng-03",32
2022,"orange","orng-03",32
2023,"orange","orng-03",37
2024,"orange","orng-03",33
1999,"orange","orng-04",29
2000,"orange","orng-04",36
2001,"orange","orng-04",30
2002,"orange","orng-04",26
2003,"orange","orng-04",19
2004,"orange","orng-04",25
2005,"orange","orng-04",35
2006,"orange","orng-04",25
2007,"orange","orng-04",27
2008,"orange","orng-04",28
2009,"orange","orng-04",18
2010,"orange","orng-04",17
2011,"orange","orng-04",38
2013,"orange","orng-04",26
2014,"orange","orng-04",21
2015,"orange","orng-04",20
2016,"orange","orng-04",15
2017,"orange","orng-04",19
2018,"orange","orng-04",22
2019,"orange","orng-04",25
2020,"orange","orng-04",22
2021,"orange","orng-04",24
2022,"orange","orng-04",23
2023,"orange","orng-04",18
2024,"orange","orng-04",25
1999,"orange","orng-05",34
2000,"orange","orng-05",28
2001,"orange","orng-05",42
2002,"orange","orng-05",25
2003,"orange","orng-05",30
2004,"orange","orng-05",31
2005,"orange","orng-05",23
2006,"orange","orng-05",24
2007,"orange","orng-05",20
2008,"orange","orng-05",31
2009,"orange","orng-05",28
2010,"orange","orng-05",32
2011,"orange","orng-05",43
2012,"orange","orng-05",34
2013,"orange","orng-05",41
2014,"orange","orng-05",42
2015,"orange","orng-05",34
2016,"orange","orng-05",32
2017,"orange","orng-05",28
2018,"orange","orng-05",34
2019,"orange","orng-05",28
2020,"orange","orng-05",39
2021,"orange","orng-05",20
2022,"orange","orng-05",21
2023,"orange","orng-05",33
2024,"orange","orng-05",29
1999,"orange","orng-06",24
2000,"orange","orng-06",29
2001,"orange","orng-06",29
2002,"orange","orng-06",41
2003,"orange","orng-06",28
2004,"orange","orng-06",21
2005,"orange","orng-06",14
2006,"orange","orng-06",14
2007,"orange","orng-06",26
2008,"orange","orng-06",23
2009,"orange","orng-06",12
2010,"orange","orng-06",22
2011,"orange","orng-06",10
2012,"orange","orng-06",24
2013,"orange","orng-06",10
2014,"orange","orng-06",15
2015,"orange","orng-06",15
2016,"orange","orng-06",16
2017,"orange","orng-06",17
2019,"orange","orng-06",16
2020,"orange","orng-06",25
2021,"orange","orng-06",18
2022,"orange","orng-06",19
2023,"orange","orng-06",13
2024,"orange","orng-06",13
1999,"orange","orng-07",19
2000,"orange","orng-07",25
2001,"orange","orng-07",25
2002,"orange","orng-07",23
2003,"orange","orng-07",15
2004,"orange","orng-07",15
2005,"orange","orng-07",13
2006,"orange","orng-07",22
2007,"orange","orng-07",18
2008,"orange","orng-07",18
2009,"orange","orng-07",18
2010,"orange","orng-07",11
2011,"orange","orng-07",15
2012,"orange","orng-07",18
2014,"orange","orng-07",22
2015,"orange","orng-07",34
2016,"orange","orng-07",28
2017,"orange","orng-07",25
