"year","mbbs_county","route","route_num","count","time"
1999,"orange",1,1,0,0
2000,"orange",1,1,0,1
2001,"orange",1,1,0,2
2002,"orange",1,1,0,3
2003,"orange",1,1,0,4
2004,"orange",1,1,0,5
2005,"orange",1,1,0,6
2006,"orange",1,1,0,7
2007,"orange",1,1,0,8
2008,"orange",1,1,0,9
2009,"orange",1,1,0,10
2010,"orange",1,1,0,11
2011,"orange",1,1,1,12
2012,"orange",1,1,0,13
2013,"orange",1,1,0,14
2014,"orange",1,1,0,15
2015,"orange",1,1,0,16
2016,"orange",1,1,1,17
2017,"orange",1,1,1,18
2018,"orange",1,1,0,19
2019,"orange",1,1,2,20
2020,"orange",1,1,0,21
2021,"orange",1,1,0,22
2022,"orange",1,1,0,23
1999,"orange",2,2,0,0
2000,"orange",2,2,0,1
2001,"orange",2,2,1,2
2002,"orange",2,2,0,3
2003,"orange",2,2,0,4
2004,"orange",2,2,0,5
2005,"orange",2,2,0,6
2006,"orange",2,2,0,7
2007,"orange",2,2,0,8
2008,"orange",2,2,1,9
2009,"orange",2,2,0,10
2010,"orange",2,2,0,11
2011,"orange",2,2,0,12
2012,"orange",2,2,0,13
2013,"orange",2,2,0,14
2014,"orange",2,2,0,15
2015,"orange",2,2,1,16
2016,"orange",2,2,0,17
2017,"orange",2,2,0,18
2018,"orange",2,2,0,19
2019,"orange",2,2,0,20
2020,"orange",2,2,0,21
2021,"orange",2,2,0,22
2022,"orange",2,2,0,23
1999,"orange",3,3,0,0
2000,"orange",3,3,0,1
2001,"orange",3,3,0,2
2002,"orange",3,3,0,3
2003,"orange",3,3,0,4
2004,"orange",3,3,0,5
2005,"orange",3,3,0,6
2006,"orange",3,3,0,7
2007,"orange",3,3,0,8
2008,"orange",3,3,0,9
2009,"orange",3,3,0,10
2011,"orange",3,3,0,12
2014,"orange",3,3,0,15
2015,"orange",3,3,0,16
2016,"orange",3,3,0,17
2017,"orange",3,3,0,18
2018,"orange",3,3,0,19
2019,"orange",3,3,0,20
2020,"orange",3,3,0,21
2021,"orange",3,3,0,22
2022,"orange",3,3,0,23
1999,"orange",4,4,0,0
2000,"orange",4,4,0,1
2001,"orange",4,4,0,2
2002,"orange",4,4,0,3
2003,"orange",4,4,0,4
2004,"orange",4,4,3,5
2005,"orange",4,4,0,6
2006,"orange",4,4,0,7
2007,"orange",4,4,0,8
2008,"orange",4,4,0,9
2009,"orange",4,4,0,10
2010,"orange",4,4,0,11
2011,"orange",4,4,0,12
2013,"orange",4,4,0,14
2014,"orange",4,4,0,15
2015,"orange",4,4,0,16
2016,"orange",4,4,1,17
2017,"orange",4,4,0,18
2018,"orange",4,4,0,19
2019,"orange",4,4,0,20
2020,"orange",4,4,0,21
2021,"orange",4,4,0,22
2022,"orange",4,4,1,23
1999,"orange",5,5,0,0
2000,"orange",5,5,1,1
2001,"orange",5,5,0,2
2002,"orange",5,5,0,3
2003,"orange",5,5,0,4
2004,"orange",5,5,4,5
2005,"orange",5,5,0,6
2006,"orange",5,5,0,7
2007,"orange",5,5,2,8
2008,"orange",5,5,0,9
2009,"orange",5,5,1,10
2010,"orange",5,5,0,11
2011,"orange",5,5,0,12
2012,"orange",5,5,0,13
2013,"orange",5,5,0,14
2014,"orange",5,5,0,15
2015,"orange",5,5,0,16
2016,"orange",5,5,0,17
2017,"orange",5,5,0,18
2019,"orange",5,5,2,20
2020,"orange",5,5,0,21
2021,"orange",5,5,0,22
2022,"orange",5,5,0,23
1999,"orange",6,6,0,0
2000,"orange",6,6,0,1
2001,"orange",6,6,0,2
2002,"orange",6,6,0,3
2003,"orange",6,6,0,4
2004,"orange",6,6,0,5
2005,"orange",6,6,0,6
2006,"orange",6,6,0,7
2007,"orange",6,6,0,8
2008,"orange",6,6,0,9
2009,"orange",6,6,0,10
2010,"orange",6,6,0,11
2011,"orange",6,6,0,12
2012,"orange",6,6,0,13
2013,"orange",6,6,0,14
2014,"orange",6,6,1,15
2015,"orange",6,6,0,16
2016,"orange",6,6,0,17
2017,"orange",6,6,0,18
2019,"orange",6,6,0,20
2020,"orange",6,6,0,21
2021,"orange",6,6,2,22
2022,"orange",6,6,0,23
1999,"orange",7,7,0,0
2000,"orange",7,7,0,1
2001,"orange",7,7,0,2
2002,"orange",7,7,0,3
2003,"orange",7,7,0,4
2004,"orange",7,7,0,5
2005,"orange",7,7,0,6
2006,"orange",7,7,0,7
2007,"orange",7,7,1,8
2008,"orange",7,7,0,9
2009,"orange",7,7,0,10
2010,"orange",7,7,0,11
2011,"orange",7,7,0,12
2012,"orange",7,7,0,13
2014,"orange",7,7,1,15
2015,"orange",7,7,0,16
2016,"orange",7,7,0,17
2017,"orange",7,7,0,18
2018,"orange",7,7,0,19
2019,"orange",7,7,1,20
2020,"orange",7,7,0,21
2021,"orange",7,7,0,22
2022,"orange",7,7,0,23
1999,"orange",8,8,0,0
2000,"orange",8,8,0,1
2001,"orange",8,8,0,2
2002,"orange",8,8,0,3
2003,"orange",8,8,0,4
2004,"orange",8,8,0,5
2005,"orange",8,8,0,6
2006,"orange",8,8,0,7
2007,"orange",8,8,0,8
2008,"orange",8,8,0,9
2009,"orange",8,8,0,10
2021,"orange",8,8,0,22
2022,"orange",8,8,0,23
1999,"orange",9,9,1,0
2000,"orange",9,9,0,1
2001,"orange",9,9,1,2
2002,"orange",9,9,0,3
2004,"orange",9,9,0,5
2005,"orange",9,9,0,6
2006,"orange",9,9,0,7
2007,"orange",9,9,0,8
2008,"orange",9,9,0,9
2009,"orange",9,9,2,10
2011,"orange",9,9,0,12
2012,"orange",9,9,3,13
2013,"orange",9,9,0,14
2014,"orange",9,9,1,15
2015,"orange",9,9,0,16
2016,"orange",9,9,1,17
2019,"orange",9,9,0,20
2020,"orange",9,9,1,21
2021,"orange",9,9,0,22
2022,"orange",9,9,0,23
1999,"orange",10,10,1,0
2000,"orange",10,10,0,1
2001,"orange",10,10,1,2
2002,"orange",10,10,1,3
2003,"orange",10,10,0,4
2004,"orange",10,10,1,5
2005,"orange",10,10,0,6
2006,"orange",10,10,0,7
2007,"orange",10,10,0,8
2008,"orange",10,10,0,9
2009,"orange",10,10,0,10
2012,"orange",10,10,0,13
2013,"orange",10,10,2,14
2016,"orange",10,10,0,17
2017,"orange",10,10,0,18
2018,"orange",10,10,0,19
2019,"orange",10,10,0,20
2020,"orange",10,10,0,21
2021,"orange",10,10,0,22
1999,"orange",11,11,1,0
2000,"orange",11,11,0,1
2001,"orange",11,11,0,2
2002,"orange",11,11,0,3
2003,"orange",11,11,0,4
2004,"orange",11,11,0,5
2005,"orange",11,11,0,6
2006,"orange",11,11,0,7
