"year","county","route","count"
1999,"orange","orng-01",28
2000,"orange","orng-01",23
2001,"orange","orng-01",27
2002,"orange","orng-01",0
2003,"orange","orng-01",0
2004,"orange","orng-01",0
2005,"orange","orng-01",11
2006,"orange","orng-01",2
2007,"orange","orng-01",0
2008,"orange","orng-01",0
2009,"orange","orng-01",2
2010,"orange","orng-01",0
2011,"orange","orng-01",26
2012,"orange","orng-01",0
2013,"orange","orng-01",4
2014,"orange","orng-01",0
2015,"orange","orng-01",15
2016,"orange","orng-01",0
2017,"orange","orng-01",10
2018,"orange","orng-01",0
2019,"orange","orng-01",0
2020,"orange","orng-01",0
2021,"orange","orng-01",0
2022,"orange","orng-01",40
2023,"orange","orng-01",4
2024,"orange","orng-01",0
1999,"orange","orng-02",0
2000,"orange","orng-02",0
2001,"orange","orng-02",22
2002,"orange","orng-02",0
2003,"orange","orng-02",25
2004,"orange","orng-02",0
2005,"orange","orng-02",13
2006,"orange","orng-02",5
2007,"orange","orng-02",0
2008,"orange","orng-02",0
2009,"orange","orng-02",4
2010,"orange","orng-02",0
2011,"orange","orng-02",15
2012,"orange","orng-02",0
2013,"orange","orng-02",0
2014,"orange","orng-02",0
2015,"orange","orng-02",2
2016,"orange","orng-02",0
2017,"orange","orng-02",0
2018,"orange","orng-02",20
2019,"orange","orng-02",0
2020,"orange","orng-02",10
2021,"orange","orng-02",0
2022,"orange","orng-02",0
2023,"orange","orng-02",0
2024,"orange","orng-02",0
1999,"orange","orng-03",8
2000,"orange","orng-03",9
2001,"orange","orng-03",1
2002,"orange","orng-03",0
2003,"orange","orng-03",0
2004,"orange","orng-03",12
2005,"orange","orng-03",0
2006,"orange","orng-03",0
2007,"orange","orng-03",0
2008,"orange","orng-03",1
2009,"orange","orng-03",8
2011,"orange","orng-03",8
2014,"orange","orng-03",0
2015,"orange","orng-03",7
2016,"orange","orng-03",0
2017,"orange","orng-03",0
2018,"orange","orng-03",0
2019,"orange","orng-03",0
2020,"orange","orng-03",0
2021,"orange","orng-03",0
2022,"orange","orng-03",0
2023,"orange","orng-03",0
2024,"orange","orng-03",0
1999,"orange","orng-04",0
2000,"orange","orng-04",0
2001,"orange","orng-04",25
2002,"orange","orng-04",0
2003,"orange","orng-04",0
2004,"orange","orng-04",0
2005,"orange","orng-04",44
2006,"orange","orng-04",0
2007,"orange","orng-04",11
2008,"orange","orng-04",6
2009,"orange","orng-04",2
2010,"orange","orng-04",0
