"year","county","route","route_num","count"
1999,"orange","orng-01",1,12
2000,"orange","orng-01",1,4
2001,"orange","orng-01",1,4
2002,"orange","orng-01",1,6
2003,"orange","orng-01",1,15
2004,"orange","orng-01",1,18
2005,"orange","orng-01",1,23
2006,"orange","orng-01",1,15
2007,"orange","orng-01",1,13
2008,"orange","orng-01",1,10
2009,"orange","orng-01",1,9
2010,"orange","orng-01",1,5
2011,"orange","orng-01",1,7
2012,"orange","orng-01",1,4
2013,"orange","orng-01",1,3
2014,"orange","orng-01",1,10
2015,"orange","orng-01",1,11
2016,"orange","orng-01",1,8
2017,"orange","orng-01",1,9
2018,"orange","orng-01",1,16
2019,"orange","orng-01",1,4
2020,"orange","orng-01",1,5
2021,"orange","orng-01",1,9
2022,"orange","orng-01",1,21
2023,"orange","orng-01",1,10
2024,"orange","orng-01",1,17
1999,"orange","orng-02",2,2
2000,"orange","orng-02",2,5
2001,"orange","orng-02",2,4
2002,"orange","orng-02",2,8
2003,"orange","orng-02",2,9
2004,"orange","orng-02",2,9
2005,"orange","orng-02",2,12
2006,"orange","orng-02",2,22
2007,"orange","orng-02",2,13
2008,"orange","orng-02",2,11
2009,"orange","orng-02",2,12
2010,"orange","orng-02",2,20
2011,"orange","orng-02",2,12
2012,"orange","orng-02",2,5
2013,"orange","orng-02",2,10
2014,"orange","orng-02",2,11
2015,"orange","orng-02",2,9
2016,"orange","orng-02",2,10
2017,"orange","orng-02",2,14
2018,"orange","orng-02",2,3
2019,"orange","orng-02",2,8
2020,"orange","orng-02",2,1
2021,"orange","orng-02",2,14
2022,"orange","orng-02",2,11
2023,"orange","orng-02",2,12
2024,"orange","orng-02",2,21
1999,"orange","orng-03",3,11
2000,"orange","orng-03",3,9
2001,"orange","orng-03",3,13
2002,"orange","orng-03",3,11
2003,"orange","orng-03",3,14
2004,"orange","orng-03",3,9
2005,"orange","orng-03",3,12
2006,"orange","orng-03",3,17
2007,"orange","orng-03",3,12
2008,"orange","orng-03",3,10
2009,"orange","orng-03",3,9
2011,"orange","orng-03",3,6
2014,"orange","orng-03",3,8
2015,"orange","orng-03",3,12
2016,"orange","orng-03",3,4
2017,"orange","orng-03",3,9
2018,"orange","orng-03",3,4
2019,"orange","orng-03",3,33
2020,"orange","orng-03",3,9
2021,"orange","orng-03",3,18
2022,"orange","orng-03",3,20
2023,"orange","orng-03",3,19
2024,"orange","orng-03",3,21
1999,"orange","orng-04",4,20
2000,"orange","orng-04",4,16
2001,"orange","orng-04",4,12
2002,"orange","orng-04",4,13
2003,"orange","orng-04",4,11
2004,"orange","orng-04",4,18
2005,"orange","orng-04",4,16
2006,"orange","orng-04",4,15
2007,"orange","orng-04",4,17
2008,"orange","orng-04",4,9
2009,"orange","orng-04",4,21
2010,"orange","orng-04",4,39
2011,"orange","orng-04",4,38
2013,"orange","orng-04",4,17
2014,"orange","orng-04",4,12
2015,"orange","orng-04",4,14
2016,"orange","orng-04",4,22
2017,"orange","orng-04",4,18
2018,"orange","orng-04",4,21
2019,"orange","orng-04",4,22
2020,"orange","orng-04",4,23
2021,"orange","orng-04",4,23
2022,"orange","orng-04",4,19
2023,"orange","orng-04",4,9
2024,"orange","orng-04",4,23
1999,"orange","orng-05",5,27
2000,"orange","orng-05",5,12
2001,"orange","orng-05",5,11
2002,"orange","orng-05",5,12
2003,"orange","orng-05",5,23
2004,"orange","orng-05",5,17
2005,"orange","orng-05",5,13
2006,"orange","orng-05",5,17
2007,"orange","orng-05",5,17
2008,"orange","orng-05",5,14
2009,"orange","orng-05",5,20
