"year","county","route","route_num","count"
1999,"orange","orng-01",1,10
2000,"orange","orng-01",1,12
2001,"orange","orng-01",1,11
2002,"orange","orng-01",1,18
2003,"orange","orng-01",1,9
2004,"orange","orng-01",1,12
2005,"orange","orng-01",1,13
2006,"orange","orng-01",1,10
2007,"orange","orng-01",1,9
2008,"orange","orng-01",1,2
2009,"orange","orng-01",1,7
2010,"orange","orng-01",1,8
2011,"orange","orng-01",1,10
2012,"orange","orng-01",1,12
2013,"orange","orng-01",1,5
2014,"orange","orng-01",1,3
2015,"orange","orng-01",1,4
2016,"orange","orng-01",1,7
2017,"orange","orng-01",1,5
2018,"orange","orng-01",1,0
2019,"orange","orng-01",1,0
2020,"orange","orng-01",1,1
2021,"orange","orng-01",1,0
2022,"orange","orng-01",1,3
2023,"orange","orng-01",1,1
2024,"orange","orng-01",1,11
2025,"orange","orng-01",1,0
1999,"orange","orng-02",2,2
2000,"orange","orng-02",2,9
2001,"orange","orng-02",2,3
2002,"orange","orng-02",2,6
2003,"orange","orng-02",2,3
2004,"orange","orng-02",2,9
2005,"orange","orng-02",2,4
2006,"orange","orng-02",2,20
2007,"orange","orng-02",2,7
2008,"orange","orng-02",2,3
2009,"orange","orng-02",2,6
2010,"orange","orng-02",2,2
2011,"orange","orng-02",2,3
2012,"orange","orng-02",2,1
2013,"orange","orng-02",2,0
2014,"orange","orng-02",2,0
2015,"orange","orng-02",2,2
2016,"orange","orng-02",2,2
2017,"orange","orng-02",2,0
2018,"orange","orng-02",2,1
2019,"orange","orng-02",2,0
2020,"orange","orng-02",2,4
2021,"orange","orng-02",2,3
2022,"orange","orng-02",2,3
2023,"orange","orng-02",2,0
2024,"orange","orng-02",2,4
2025,"orange","orng-02",2,0
1999,"orange","orng-03",3,23
2000,"orange","orng-03",3,18
2001,"orange","orng-03",3,11
2002,"orange","orng-03",3,12
2003,"orange","orng-03",3,29
2004,"orange","orng-03",3,7
2005,"orange","orng-03",3,20
2006,"orange","orng-03",3,9
2007,"orange","orng-03",3,0
2008,"orange","orng-03",3,11
2009,"orange","orng-03",3,6
2011,"orange","orng-03",3,0
2014,"orange","orng-03",3,1
2015,"orange","orng-03",3,0
2016,"orange","orng-03",3,5
2017,"orange","orng-03",3,0
2018,"orange","orng-03",3,0
2019,"orange","orng-03",3,13
2020,"orange","orng-03",3,2
2021,"orange","orng-03",3,1
2022,"orange","orng-03",3,1
2023,"orange","orng-03",3,0
2024,"orange","orng-03",3,1
2025,"orange","orng-03",3,10
1999,"orange","orng-04",4,1
2000,"orange","orng-04",4,5
2001,"orange","orng-04",4,6
2002,"orange","orng-04",4,1
2003,"orange","orng-04",4,1
2004,"orange","orng-04",4,8
2005,"orange","orng-04",4,5
2006,"orange","orng-04",4,5
2007,"orange","orng-04",4,0
2008,"orange","orng-04",4,7
2009,"orange","orng-04",4,0
2010,"orange","orng-04",4,2
2011,"orange","orng-04",4,37
2013,"orange","orng-04",4,3
2014,"orange","orng-04",4,2
2015,"orange","orng-04",4,0
2016,"orange","orng-04",4,0
2017,"orange","orng-04",4,0
2018,"orange","orng-04",4,0
2019,"orange","orng-04",4,0
2020,"orange","orng-04",4,0
2021,"orange","orng-04",4,3
2022,"orange","orng-04",4,0
2023,"orange","orng-04",4,2
2024,"orange","orng-04",4,2
2025,"orange","orng-04",4,0
1999,"orange","orng-05",5,33
2000,"orange","orng-05",5,7
2001,"orange","orng-05",5,13
2002,"orange","orng-05",5,12
2003,"orange","orng-05",5,6
2004,"orange","orng-05",5,7
2005,"orange","orng-05",5,16
2006,"orange","orng-05",5,8
2007,"orange","orng-05",5,13
2008,"orange","orng-05",5,10
2009,"orange","orng-05",5,33
2010,"orange","orng-05",5,0
2011,"orange","orng-05",5,8
2012,"orange","orng-05",5,14
2013,"orange","orng-05",5,8
2014,"orange","orng-05",5,6
2015,"orange","orng-05",5,17
2016,"orange","orng-05",5,7
2017,"orange","orng-05",5,5
2018,"orange","orng-05",5,6
2019,"orange","orng-05",5,6
2020,"orange","orng-05",5,34
2021,"orange","orng-05",5,22
2022,"orange","orng-05",5,4
2023,"orange","orng-05",5,13
2024,"orange","orng-05",5,13
2025,"orange","orng-05",5,20
1999,"orange","orng-06",6,54
2000,"orange","orng-06",6,8
2001,"orange","orng-06",6,0
2002,"orange","orng-06",6,1
2003,"orange","orng-06",6,0
2004,"orange","orng-06",6,0
2005,"orange","orng-06",6,10
2006,"orange","orng-06",6,0
2007,"orange","orng-06",6,0
2008,"orange","orng-06",6,0
2009,"orange","orng-06",6,1
2010,"orange","orng-06",6,0
2011,"orange","orng-06",6,2
2012,"orange","orng-06",6,0
2013,"orange","orng-06",6,0
2014,"orange","orng-06",6,12
2015,"orange","orng-06",6,0
2016,"orange","orng-06",6,0
2017,"orange","orng-06",6,0
2019,"orange","orng-06",6,0
2020,"orange","orng-06",6,0
2021,"orange","orng-06",6,0
2022,"orange","orng-06",6,0
2023,"orange","orng-06",6,0
2024,"orange","orng-06",6,0
2025,"orange","orng-06",6,0
1999,"orange","orng-07",7,4
2000,"orange","orng-07",7,12
2001,"orange","orng-07",7,13
2002,"orange","orng-07",7,10
2003,"orange","orng-07",7,8
2004,"orange","orng-07",7,15
2005,"orange","orng-07",7,20
2006,"orange","orng-07",7,21
2007,"orange","orng-07",7,13
2008,"orange","orng-07",7,31
2009,"orange","orng-07",7,18
2010,"orange","orng-07",7,28
2011,"orange","orng-07",7,18
2012,"orange","orng-07",7,31
2014,"orange","orng-07",7,45
2015,"orange","orng-07",7,7
2016,"orange","orng-07",7,1
2017,"orange","orng-07",7,5
2018,"orange","orng-07",7,5
2019,"orange","orng-07",7,1
2020,"orange","orng-07",7,2
2021,"orange","orng-07",7,1
2022,"orange","orng-07",7,4
2023,"orange","orng-07",7,1
2024,"orange","orng-07",7,0
2025,"orange","orng-07",7,2
1999,"orange","orng-08",8,8
2000,"orange","orng-08",8,6
2001,"orange","orng-08",8,1
2002,"orange","orng-08",8,0
2003,"orange","orng-08",8,2
2004,"orange","orng-08",8,12
2005,"orange","orng-08",8,4
2006,"orange","orng-08",8,6
2007,"orange","orng-08",8,3
2008,"orange","orng-08",8,9
2009,"orange","orng-08",8,12
2010,"orange","orng-08",8,3
2011,"orange","orng-08",8,6
2012,"orange","orng-08",8,3
2013,"orange","orng-08",8,0
2014,"orange","orng-08",8,1
2015,"orange","orng-08",8,0
2016,"orange","orng-08",8,2
2017,"orange","orng-08",8,2
2018,"orange","orng-08",8,0
2019,"orange","orng-08",8,0
2020,"orange","orng-08",8,0
2021,"orange","orng-08",8,0
2022,"orange","orng-08",8,2
2023,"orange","orng-08",8,0
2024,"orange","orng-08",8,0
2025,"orange","orng-08",8,0
1999,"orange","orng-09",9,14
2000,"orange","orng-09",9,7
2001,"orange","orng-09",9,12
2002,"orange","orng-09",9,0
2004,"orange","orng-09",9,0
2005,"orange","orng-09",9,0
2006,"orange","orng-09",9,6
2007,"orange","orng-09",9,1
2008,"orange","orng-09",9,1
2009,"orange","orng-09",9,2
2011,"orange","orng-09",9,1
2012,"orange","orng-09",9,1
2013,"orange","orng-09",9,2
