"year","mbbs_county","route","route_num","count"
1999,"orange",1,1,0
2000,"orange",1,1,0
2001,"orange",1,1,0
2002,"orange",1,1,0
2003,"orange",1,1,0
2004,"orange",1,1,0
2005,"orange",1,1,0
2006,"orange",1,1,0
2007,"orange",1,1,0
2008,"orange",1,1,0
2009,"orange",1,1,0
2010,"orange",1,1,0
2011,"orange",1,1,0
2012,"orange",1,1,0
2013,"orange",1,1,0
2014,"orange",1,1,0
2015,"orange",1,1,0
2016,"orange",1,1,1
2017,"orange",1,1,0
2018,"orange",1,1,0
2019,"orange",1,1,0
2020,"orange",1,1,0
2021,"orange",1,1,0
2022,"orange",1,1,0
2023,"orange",1,1,0
2024,"orange",1,1,0
1999,"orange",2,2,0
2000,"orange",2,2,0
2001,"orange",2,2,0
2002,"orange",2,2,0
2003,"orange",2,2,0
2004,"orange",2,2,0
2005,"orange",2,2,0
2006,"orange",2,2,0
2007,"orange",2,2,0
2008,"orange",2,2,0
2009,"orange",2,2,0
2010,"orange",2,2,0
2011,"orange",2,2,0
2012,"orange",2,2,0
2013,"orange",2,2,0
2014,"orange",2,2,0
2015,"orange",2,2,0
2016,"orange",2,2,0
2017,"orange",2,2,0
2018,"orange",2,2,0
2019,"orange",2,2,0
2020,"orange",2,2,0
2021,"orange",2,2,0
2022,"orange",2,2,0
2023,"orange",2,2,0
2024,"orange",2,2,0
1999,"orange",3,3,0
2000,"orange",3,3,0
2001,"orange",3,3,0
2002,"orange",3,3,0
2003,"orange",3,3,0
2004,"orange",3,3,0
2005,"orange",3,3,0
2006,"orange",3,3,0
2007,"orange",3,3,0
2008,"orange",3,3,0
2009,"orange",3,3,0
2011,"orange",3,3,0
2014,"orange",3,3,0
2015,"orange",3,3,0
2016,"orange",3,3,0
2017,"orange",3,3,0
2018,"orange",3,3,0
2019,"orange",3,3,0
2020,"orange",3,3,0
2021,"orange",3,3,0
2022,"orange",3,3,0
2023,"orange",3,3,0
2024,"orange",3,3,0
1999,"orange",4,4,0
2000,"orange",4,4,0
2001,"orange",4,4,0
2002,"orange",4,4,0
2003,"orange",4,4,0
2004,"orange",4,4,0
2005,"orange",4,4,0
2006,"orange",4,4,0
2007,"orange",4,4,0
2008,"orange",4,4,0
2009,"orange",4,4,0
2010,"orange",4,4,0
2011,"orange",4,4,0
2013,"orange",4,4,0
2014,"orange",4,4,0
2015,"orange",4,4,0
2016,"orange",4,4,0
2017,"orange",4,4,0
2018,"orange",4,4,0
2019,"orange",4,4,0
2020,"orange",4,4,0
2021,"orange",4,4,0
2022,"orange",4,4,0
2023,"orange",4,4,0
2024,"orange",4,4,0
1999,"orange",5,5,0
2000,"orange",5,5,0
2001,"orange",5,5,0
2002,"orange",5,5,0
2003,"orange",5,5,0
2004,"orange",5,5,0
2005,"orange",5,5,0
2006,"orange",5,5,0
2007,"orange",5,5,0
2008,"orange",5,5,0
2009,"orange",5,5,0
2010,"orange",5,5,0
2011,"orange",5,5,0
2012,"orange",5,5,0
2013,"orange",5,5,0
2014,"orange",5,5,0
2015,"orange",5,5,2
2016,"orange",5,5,0
2017,"orange",5,5,0
2018,"orange",5,5,0
2019,"orange",5,5,0
2020,"orange",5,5,0
2021,"orange",5,5,0
2022,"orange",5,5,0
2023,"orange",5,5,0
2024,"orange",5,5,0
1999,"orange",6,6,0
2000,"orange",6,6,0
2001,"orange",6,6,0
2002,"orange",6,6,0
2003,"orange",6,6,0
2004,"orange",6,6,0
2005,"orange",6,6,0
2006,"orange",6,6,0
2007,"orange",6,6,0
2008,"orange",6,6,0
2009,"orange",6,6,0
2010,"orange",6,6,0
2011,"orange",6,6,0
2012,"orange",6,6,0
2013,"orange",6,6,0
2014,"orange",6,6,0
2015,"orange",6,6,0
2016,"orange",6,6,0
2017,"orange",6,6,0
2019,"orange",6,6,0
2020,"orange",6,6,0
2021,"orange",6,6,0
2022,"orange",6,6,0
2023,"orange",6,6,0
2024,"orange",6,6,0
1999,"orange",7,7,0
2000,"orange",7,7,0
2001,"orange",7,7,0
2002,"orange",7,7,0
2003,"orange",7,7,0
2004,"orange",7,7,0
2005,"orange",7,7,0
2006,"orange",7,7,0
2007,"orange",7,7,0
2008,"orange",7,7,0
2009,"orange",7,7,0
2010,"orange",7,7,0
2011,"orange",7,7,0
2012,"orange",7,7,0
2014,"orange",7,7,0
2015,"orange",7,7,0
2016,"orange",7,7,0
2017,"orange",7,7,0
2018,"orange",7,7,0
2019,"orange",7,7,0
2020,"orange",7,7,0
2021,"orange",7,7,0
2022,"orange",7,7,0
2023,"orange",7,7,0
2024,"orange",7,7,0
1999,"orange",8,8,0
2000,"orange",8,8,0
2001,"orange",8,8,0
2002,"orange",8,8,0
2003,"orange",8,8,0
2004,"orange",8,8,0
2005,"orange",8,8,0
2006,"orange",8,8,0
2007,"orange",8,8,0
2008,"orange",8,8,0
2009,"orange",8,8,0
2010,"orange",8,8,0
2011,"orange",8,8,0
2012,"orange",8,8,0
2013,"orange",8,8,0
2014,"orange",8,8,0
2015,"orange",8,8,0
2016,"orange",8,8,0
2017,"orange",8,8,0
2018,"orange",8,8,0
2019,"orange",8,8,0
2020,"orange",8,8,0
2021,"orange",8,8,0
2022,"orange",8,8,0
2023,"orange",8,8,0
2024,"orange",8,8,0
1999,"orange",9,9,0
2000,"orange",9,9,0
2001,"orange",9,9,0
2002,"orange",9,9,0
2004,"orange",9,9,0
2005,"orange",9,9,0
2006,"orange",9,9,0
2007,"orange",9,9,0
2008,"orange",9,9,0
2009,"orange",9,9,0
2011,"orange",9,9,0
2012,"orange",9,9,0
2013,"orange",9,9,0
2014,"orange",9,9,0
2015,"orange",9,9,0
2016,"orange",9,9,0
2019,"orange",9,9,0
