"year","county","route","count"
1999,"orange","orng-01",9
2000,"orange","orng-01",4
2001,"orange","orng-01",17
2002,"orange","orng-01",6
2003,"orange","orng-01",13
2004,"orange","orng-01",4
2005,"orange","orng-01",18
2006,"orange","orng-01",6
2007,"orange","orng-01",12
2008,"orange","orng-01",12
2009,"orange","orng-01",9
2010,"orange","orng-01",8
2011,"orange","orng-01",7
2012,"orange","orng-01",18
2013,"orange","orng-01",15
2014,"orange","orng-01",8
2015,"orange","orng-01",11
2016,"orange","orng-01",8
2017,"orange","orng-01",6
2018,"orange","orng-01",17
2019,"orange","orng-01",5
2020,"orange","orng-01",9
2021,"orange","orng-01",13
2022,"orange","orng-01",12
2023,"orange","orng-01",18
2024,"orange","orng-01",15
1999,"orange","orng-02",6
2000,"orange","orng-02",6
2001,"orange","orng-02",3
2002,"orange","orng-02",3
2003,"orange","orng-02",6
2004,"orange","orng-02",7
2005,"orange","orng-02",3
2006,"orange","orng-02",2
2007,"orange","orng-02",9
2008,"orange","orng-02",6
2009,"orange","orng-02",10
2010,"orange","orng-02",5
2011,"orange","orng-02",8
2012,"orange","orng-02",8
2013,"orange","orng-02",2
2014,"orange","orng-02",5
2015,"orange","orng-02",2
2016,"orange","orng-02",4
2017,"orange","orng-02",1
2018,"orange","orng-02",2
2019,"orange","orng-02",5
2020,"orange","orng-02",3
2021,"orange","orng-02",7
2022,"orange","orng-02",4
2023,"orange","orng-02",5
2024,"orange","orng-02",10
1999,"orange","orng-03",17
2000,"orange","orng-03",21
2001,"orange","orng-03",14
2002,"orange","orng-03",13
2003,"orange","orng-03",18
2004,"orange","orng-03",11
2005,"orange","orng-03",13
2006,"orange","orng-03",17
2007,"orange","orng-03",9
2008,"orange","orng-03",13
2009,"orange","orng-03",15
2011,"orange","orng-03",0
2014,"orange","orng-03",8
2015,"orange","orng-03",4
2016,"orange","orng-03",5
2017,"orange","orng-03",3
2018,"orange","orng-03",6
2019,"orange","orng-03",17
2020,"orange","orng-03",13
2021,"orange","orng-03",20
2022,"orange","orng-03",17
2023,"orange","orng-03",11
2024,"orange","orng-03",10
1999,"orange","orng-04",1
2000,"orange","orng-04",1
2001,"orange","orng-04",0
2002,"orange","orng-04",2
2003,"orange","orng-04",3
2004,"orange","orng-04",4
2005,"orange","orng-04",5
2006,"orange","orng-04",4
2007,"orange","orng-04",3
2008,"orange","orng-04",1
2009,"orange","orng-04",4
2010,"orange","orng-04",8
2011,"orange","orng-04",12
2013,"orange","orng-04",6
2014,"orange","orng-04",10
2015,"orange","orng-04",1
2016,"orange","orng-04",4
2017,"orange","orng-04",2
2018,"orange","orng-04",6
2019,"orange","orng-04",5
2020,"orange","orng-04",12
2021,"orange","orng-04",8
2022,"orange","orng-04",12
2023,"orange","orng-04",5
2024,"orange","orng-04",10
1999,"orange","orng-05",6
2000,"orange","orng-05",7
2001,"orange","orng-05",10
2002,"orange","orng-05",15
2003,"orange","orng-05",3
2004,"orange","orng-05",9
2005,"orange","orng-05",6
2006,"orange","orng-05",11
2007,"orange","orng-05",6
2008,"orange","orng-05",9
2009,"orange","orng-05",12
2010,"orange","orng-05",10
2011,"orange","orng-05",13
2012,"orange","orng-05",9
2013,"orange","orng-05",13
2014,"orange","orng-05",10
2015,"orange","orng-05",7
2016,"orange","orng-05",11
2017,"orange","orng-05",13
2018,"orange","orng-05",21
2019,"orange","orng-05",5
2020,"orange","orng-05",13
2021,"orange","orng-05",12
2022,"orange","orng-05",11
2023,"orange","orng-05",15
2024,"orange","orng-05",7
1999,"orange","orng-06",6
2000,"orange","orng-06",11
2001,"orange","orng-06",12
2002,"orange","orng-06",6
2003,"orange","orng-06",9
2004,"orange","orng-06",4
2005,"orange","orng-06",10
2006,"orange","orng-06",20
2007,"orange","orng-06",6
2008,"orange","orng-06",11
2009,"orange","orng-06",9
2010,"orange","orng-06",5
2011,"orange","orng-06",7
2012,"orange","orng-06",7
2013,"orange","orng-06",4
2014,"orange","orng-06",1
2015,"orange","orng-06",4
2016,"orange","orng-06",7
2017,"orange","orng-06",3
2019,"orange","orng-06",6
2020,"orange","orng-06",10
2021,"orange","orng-06",5
2022,"orange","orng-06",6
2023,"orange","orng-06",4
2024,"orange","orng-06",2
1999,"orange","orng-07",14
2000,"orange","orng-07",10
2001,"orange","orng-07",4
2002,"orange","orng-07",12
2003,"orange","orng-07",2
2004,"orange","orng-07",13
2005,"orange","orng-07",8
2006,"orange","orng-07",10
2007,"orange","orng-07",10
2008,"orange","orng-07",13
2009,"orange","orng-07",6
2010,"orange","orng-07",6
2011,"orange","orng-07",5
2012,"orange","orng-07",7
2014,"orange","orng-07",13
2015,"orange","orng-07",2
2016,"orange","orng-07",16
2017,"orange","orng-07",11
2018,"orange","orng-07",6
2019,"orange","orng-07",6
2020,"orange","orng-07",6
2021,"orange","orng-07",10
2022,"orange","orng-07",7
2023,"orange","orng-07",12
2024,"orange","orng-07",13
1999,"orange","orng-08",5
2000,"orange","orng-08",6
2001,"orange","orng-08",3
2002,"orange","orng-08",0
2003,"orange","orng-08",8
2004,"orange","orng-08",4
2005,"orange","orng-08",10
2006,"orange","orng-08",1
2007,"orange","orng-08",8
2008,"orange","orng-08",8
2009,"orange","orng-08",6
2010,"orange","orng-08",10
2011,"orange","orng-08",4
2012,"orange","orng-08",15
2013,"orange","orng-08",7
2014,"orange","orng-08",10
2015,"orange","orng-08",2
2016,"orange","orng-08",4
2017,"orange","orng-08",3
2018,"orange","orng-08",5
2019,"orange","orng-08",1
2020,"orange","orng-08",6
2021,"orange","orng-08",5
2022,"orange","orng-08",4
2023,"orange","orng-08",6
2024,"orange","orng-08",6
1999,"orange","orng-09",3
2000,"orange","orng-09",2
2001,"orange","orng-09",8
2002,"orange","orng-09",2
2004,"orange","orng-09",0
2005,"orange","orng-09",7
2006,"orange","orng-09",16
2007,"orange","orng-09",6
2008,"orange","orng-09",4
2009,"orange","orng-09",10
2011,"orange","orng-09",8
2012,"orange","orng-09",12
2013,"orange","orng-09",12
2014,"orange","orng-09",21
2015,"orange","orng-09",5
2016,"orange","orng-09",3
2019,"orange","orng-09",4
2020,"orange","orng-09",7
2021,"orange","orng-09",6
2022,"orange","orng-09",10
2023,"orange","orng-09",5
2024,"orange","orng-09",8
1999,"orange","orng-10",10
2000,"orange","orng-10",10
2001,"orange","orng-10",15
2002,"orange","orng-10",12
2003,"orange","orng-10",8
2004,"orange","orng-10",8
2005,"orange","orng-10",15
2006,"orange","orng-10",8
2007,"orange","orng-10",9
2008,"orange","orng-10",7
2009,"orange","orng-10",2
2012,"orange","orng-10",12
2013,"orange","orng-10",5
2016,"orange","orng-10",1
2017,"orange","orng-10",0
2018,"orange","orng-10",2
2019,"orange","orng-10",23
2020,"orange","orng-10",8
2021,"orange","orng-10",10
2023,"orange","orng-10",10
2024,"orange","orng-10",8
1999,"orange","orng-11",11
2000,"orange","orng-11",14
2001,"orange","orng-11",8
2002,"orange","orng-11",5
2003,"orange","orng-11",13
2004,"orange","orng-11",6
2005,"orange","orng-11",7
2006,"orange","orng-11",8
2007,"orange","orng-11",9
2008,"orange","orng-11",15
2009,"orange","orng-11",15
2017,"orange","orng-11",6
2018,"orange","orng-11",3
2019,"orange","orng-11",2
2020,"orange","orng-11",18
2021,"orange","orng-11",4
2022,"orange","orng-11",8
2023,"orange","orng-11",13
2024,"orange","orng-11",11
1999,"orange","orng-12",1
2000,"orange","orng-12",11
2001,"orange","orng-12",7
2002,"orange","orng-12",5
2003,"orange","orng-12",3
2004,"orange","orng-12",6
2005,"orange","orng-12",8
2006,"orange","orng-12",2
2007,"orange","orng-12",21
2008,"orange","orng-12",8
2009,"orange","orng-12",22
2010,"orange","orng-12",14
2011,"orange","orng-12",10
2012,"orange","orng-12",10
2013,"orange","orng-12",12
2014,"orange","orng-12",9
2015,"orange","orng-12",8
2016,"orange","orng-12",5
2017,"orange","orng-12",3
2018,"orange","orng-12",5
2019,"orange","orng-12",9
2020,"orange","orng-12",2
2021,"orange","orng-12",11
2022,"orange","orng-12",7
2023,"orange","orng-12",4
2024,"orange","orng-12",4
2000,"chatham","cthm-01",9
2001,"chatham","cthm-01",19
2002,"chatham","cthm-01",4
2003,"chatham","cthm-01",4
2004,"chatham","cthm-01",2
2005,"chatham","cthm-01",6
2006,"chatham","cthm-01",6
2007,"chatham","cthm-01",2
2008,"chatham","cthm-01",4
2009,"chatham","cthm-01",3
2010,"chatham","cthm-01",4
2011,"chatham","cthm-01",3
2012,"chatham","cthm-01",7
2013,"chatham","cthm-01",3
2014,"chatham","cthm-01",2
2015,"chatham","cthm-01",1
2016,"chatham","cthm-01",4
2017,"chatham","cthm-01",4
2018,"chatham","cthm-01",8
2019,"chatham","cthm-01",2
2020,"chatham","cthm-01",4
2021,"chatham","cthm-01",3
2022,"chatham","cthm-01",4
2023,"chatham","cthm-01",1
2024,"chatham","cthm-01",3
2000,"chatham","cthm-02",1
2001,"chatham","cthm-02",4
2002,"chatham","cthm-02",4
2003,"chatham","cthm-02",1
2004,"chatham","cthm-02",3
2005,"chatham","cthm-02",8
2006,"chatham","cthm-02",7
2007,"chatham","cthm-02",4
2008,"chatham","cthm-02",3
2009,"chatham","cthm-02",2
2010,"chatham","cthm-02",9
2011,"chatham","cthm-02",6
2012,"chatham","cthm-02",4
2013,"chatham","cthm-02",1
2014,"chatham","cthm-02",4
2015,"chatham","cthm-02",0
2016,"chatham","cthm-02",5
2017,"chatham","cthm-02",3
2018,"chatham","cthm-02",1
2019,"chatham","cthm-02",0
2020,"chatham","cthm-02",4
2021,"chatham","cthm-02",3
2022,"chatham","cthm-02",2
2023,"chatham","cthm-02",2
2024,"chatham","cthm-02",2
2000,"chatham","cthm-03",7
2001,"chatham","cthm-03",8
2002,"chatham","cthm-03",6
2003,"chatham","cthm-03",4
2004,"chatham","cthm-03",1
2005,"chatham","cthm-03",1
2006,"chatham","cthm-03",3
2007,"chatham","cthm-03",5
2008,"chatham","cthm-03",3
2009,"chatham","cthm-03",1
2010,"chatham","cthm-03",4
2011,"chatham","cthm-03",4
2012,"chatham","cthm-03",8
2013,"chatham","cthm-03",10
2014,"chatham","cthm-03",7
2015,"chatham","cthm-03",2
2016,"chatham","cthm-03",4
2017,"chatham","cthm-03",1
2018,"chatham","cthm-03",10
2019,"chatham","cthm-03",9
2020,"chatham","cthm-03",27
2021,"chatham","cthm-03",8
2022,"chatham","cthm-03",10
2023,"chatham","cthm-03",13
2024,"chatham","cthm-03",9
2000,"chatham","cthm-04",9
2001,"chatham","cthm-04",10
2002,"chatham","cthm-04",3
2003,"chatham","cthm-04",0
2004,"chatham","cthm-04",5
2005,"chatham","cthm-04",4
2006,"chatham","cthm-04",2
2007,"chatham","cthm-04",11
2008,"chatham","cthm-04",7
2009,"chatham","cthm-04",9
2010,"chatham","cthm-04",6
2011,"chatham","cthm-04",10
2012,"chatham","cthm-04",10
2013,"chatham","cthm-04",6
2014,"chatham","cthm-04",3
2015,"chatham","cthm-04",6
2016,"chatham","cthm-04",4
2017,"chatham","cthm-04",6
2018,"chatham","cthm-04",3
2019,"chatham","cthm-04",2
2020,"chatham","cthm-04",2
2021,"chatham","cthm-04",7
2022,"chatham","cthm-04",3
2023,"chatham","cthm-04",6
2024,"chatham","cthm-04",5
2000,"chatham","cthm-05",15
2001,"chatham","cthm-05",3
2002,"chatham","cthm-05",10
2003,"chatham","cthm-05",9
2004,"chatham","cthm-05",7
2005,"chatham","cthm-05",7
2006,"chatham","cthm-05",20
2007,"chatham","cthm-05",16
2008,"chatham","cthm-05",11
2009,"chatham","cthm-05",32
2010,"chatham","cthm-05",30
2011,"chatham","cthm-05",17
2012,"chatham","cthm-05",30
2013,"chatham","cthm-05",27
2014,"chatham","cthm-05",18
2015,"chatham","cthm-05",17
2016,"chatham","cthm-05",12
2017,"chatham","cthm-05",20
2018,"chatham","cthm-05",15
2019,"chatham","cthm-05",7
2020,"chatham","cthm-05",15
2021,"chatham","cthm-05",20
2022,"chatham","cthm-05",13
2023,"chatham","cthm-05",14
2024,"chatham","cthm-05",16
2000,"chatham","cthm-06",8
2001,"chatham","cthm-06",20
2002,"chatham","cthm-06",17
2003,"chatham","cthm-06",15
2004,"chatham","cthm-06",21
2005,"chatham","cthm-06",10
2006,"chatham","cthm-06",3
2007,"chatham","cthm-06",14
2008,"chatham","cthm-06",3
2009,"chatham","cthm-06",28
2010,"chatham","cthm-06",25
2018,"chatham","cthm-06",5
2019,"chatham","cthm-06",10
2020,"chatham","cthm-06",14
2021,"chatham","cthm-06",7
2022,"chatham","cthm-06",11
2023,"chatham","cthm-06",6
2024,"chatham","cthm-06",7
2000,"chatham","cthm-07",5
2001,"chatham","cthm-07",3
2002,"chatham","cthm-07",3
2003,"chatham","cthm-07",0
2004,"chatham","cthm-07",7
2005,"chatham","cthm-07",4
2006,"chatham","cthm-07",2
2007,"chatham","cthm-07",6
2008,"chatham","cthm-07",5
2009,"chatham","cthm-07",15
2010,"chatham","cthm-07",3
2011,"chatham","cthm-07",7
2012,"chatham","cthm-07",3
2013,"chatham","cthm-07",11
2014,"chatham","cthm-07",4
2015,"chatham","cthm-07",5
2016,"chatham","cthm-07",6
2017,"chatham","cthm-07",1
2018,"chatham","cthm-07",4
2019,"chatham","cthm-07",7
2020,"chatham","cthm-07",5
2021,"chatham","cthm-07",7
2022,"chatham","cthm-07",8
2023,"chatham","cthm-07",9
2024,"chatham","cthm-07",1
2000,"chatham","cthm-08",13
2001,"chatham","cthm-08",23
2002,"chatham","cthm-08",6
2003,"chatham","cthm-08",6
2004,"chatham","cthm-08",2
2005,"chatham","cthm-08",7
2006,"chatham","cthm-08",15
2007,"chatham","cthm-08",20
2008,"chatham","cthm-08",3
2009,"chatham","cthm-08",5
2010,"chatham","cthm-08",19
2011,"chatham","cthm-08",8
2012,"chatham","cthm-08",4
2013,"chatham","cthm-08",3
2014,"chatham","cthm-08",4
2015,"chatham","cthm-08",5
2016,"chatham","cthm-08",13
2017,"chatham","cthm-08",6
2019,"chatham","cthm-08",6
2020,"chatham","cthm-08",9
2021,"chatham","cthm-08",11
2022,"chatham","cthm-08",5
2023,"chatham","cthm-08",8
2024,"chatham","cthm-08",14
2000,"chatham","cthm-09",6
2001,"chatham","cthm-09",15
2002,"chatham","cthm-09",10
2003,"chatham","cthm-09",4
2005,"chatham","cthm-09",9
2006,"chatham","cthm-09",4
2007,"chatham","cthm-09",18
2008,"chatham","cthm-09",12
2009,"chatham","cthm-09",19
2010,"chatham","cthm-09",20
2011,"chatham","cthm-09",14
2012,"chatham","cthm-09",7
2013,"chatham","cthm-09",6
2014,"chatham","cthm-09",8
2015,"chatham","cthm-09",11
2016,"chatham","cthm-09",11
2017,"chatham","cthm-09",10
2018,"chatham","cthm-09",6
2019,"chatham","cthm-09",11
2020,"chatham","cthm-09",7
2021,"chatham","cthm-09",4
2022,"chatham","cthm-09",11
2023,"chatham","cthm-09",11
2024,"chatham","cthm-09",8
2000,"chatham","cthm-10",9
2001,"chatham","cthm-10",8
2002,"chatham","cthm-10",10
2003,"chatham","cthm-10",2
2004,"chatham","cthm-10",9
2005,"chatham","cthm-10",4
2006,"chatham","cthm-10",6
2007,"chatham","cthm-10",1
2008,"chatham","cthm-10",3
2009,"chatham","cthm-10",3
2010,"chatham","cthm-10",3
2011,"chatham","cthm-10",5
2012,"chatham","cthm-10",2
2013,"chatham","cthm-10",4
2015,"chatham","cthm-10",3
2016,"chatham","cthm-10",5
2017,"chatham","cthm-10",5
2018,"chatham","cthm-10",5
2019,"chatham","cthm-10",4
2020,"chatham","cthm-10",2
2021,"chatham","cthm-10",6
2022,"chatham","cthm-10",5
2023,"chatham","cthm-10",9
2024,"chatham","cthm-10",3
2000,"chatham","cthm-11",5
2001,"chatham","cthm-11",5
2002,"chatham","cthm-11",13
2003,"chatham","cthm-11",13
2005,"chatham","cthm-11",0
2006,"chatham","cthm-11",2
2007,"chatham","cthm-11",4
2008,"chatham","cthm-11",4
2009,"chatham","cthm-11",6
2010,"chatham","cthm-11",4
2011,"chatham","cthm-11",7
2012,"chatham","cthm-11",0
2013,"chatham","cthm-11",8
2016,"chatham","cthm-11",2
2020,"chatham","cthm-11",2
2022,"chatham","cthm-11",6
2023,"chatham","cthm-11",9
2024,"chatham","cthm-11",6
2000,"chatham","cthm-12",12
2001,"chatham","cthm-12",7
2002,"chatham","cthm-12",17
2003,"chatham","cthm-12",12
2004,"chatham","cthm-12",8
2005,"chatham","cthm-12",22
2006,"chatham","cthm-12",14
2007,"chatham","cthm-12",10
2008,"chatham","cthm-12",14
2009,"chatham","cthm-12",10
2017,"chatham","cthm-12",12
2019,"chatham","cthm-12",12
2020,"chatham","cthm-12",7
2021,"chatham","cthm-12",8
2022,"chatham","cthm-12",11
2023,"chatham","cthm-12",13
2024,"chatham","cthm-12",14
2000,"chatham","cthm-13",6
2001,"chatham","cthm-13",9
2002,"chatham","cthm-13",10
2003,"chatham","cthm-13",8
2004,"chatham","cthm-13",10
2005,"chatham","cthm-13",16
2006,"chatham","cthm-13",1
2007,"chatham","cthm-13",9
2008,"chatham","cthm-13",13
2009,"chatham","cthm-13",18
2010,"chatham","cthm-13",6
2011,"chatham","cthm-13",5
2012,"chatham","cthm-13",7
2013,"chatham","cthm-13",28
2014,"chatham","cthm-13",10
2015,"chatham","cthm-13",7
2016,"chatham","cthm-13",24
2017,"chatham","cthm-13",13
2018,"chatham","cthm-13",8
2019,"chatham","cthm-13",5
2020,"chatham","cthm-13",9
2021,"chatham","cthm-13",13
2022,"chatham","cthm-13",17
2023,"chatham","cthm-13",8
2024,"chatham","cthm-13",11
2000,"chatham","cthm-14",6
2001,"chatham","cthm-14",7
2002,"chatham","cthm-14",9
2003,"chatham","cthm-14",1
2004,"chatham","cthm-14",6
2005,"chatham","cthm-14",3
2006,"chatham","cthm-14",10
2007,"chatham","cthm-14",1
2008,"chatham","cthm-14",4
2009,"chatham","cthm-14",2
2014,"chatham","cthm-14",6
2015,"chatham","cthm-14",4
2019,"chatham","cthm-14",1
2020,"chatham","cthm-14",8
2021,"chatham","cthm-14",13
2022,"chatham","cthm-14",6
2023,"chatham","cthm-14",4
2024,"chatham","cthm-14",4
2002,"durham","drhm-01",6
2003,"durham","drhm-01",0
2004,"durham","drhm-01",11
2005,"durham","drhm-01",7
2006,"durham","drhm-01",19
2007,"durham","drhm-01",4
2008,"durham","drhm-01",7
2009,"durham","drhm-01",6
2010,"durham","drhm-01",13
2011,"durham","drhm-01",5
2012,"durham","drhm-01",8
2013,"durham","drhm-01",6
2014,"durham","drhm-01",11
2015,"durham","drhm-01",6
2016,"durham","drhm-01",7
2017,"durham","drhm-01",4
2018,"durham","drhm-01",9
2019,"durham","drhm-01",6
2020,"durham","drhm-01",17
2021,"durham","drhm-01",7
2022,"durham","drhm-01",14
2023,"durham","drhm-01",6
2024,"durham","drhm-01",13
2002,"durham","drhm-02",8
2003,"durham","drhm-02",4
2004,"durham","drhm-02",10
2005,"durham","drhm-02",9
2006,"durham","drhm-02",5
2007,"durham","drhm-02",5
2008,"durham","drhm-02",5
2009,"durham","drhm-02",2
2010,"durham","drhm-02",2
2011,"durham","drhm-02",5
2012,"durham","drhm-02",3
2013,"durham","drhm-02",3
2014,"durham","drhm-02",7
2015,"durham","drhm-02",2
2017,"durham","drhm-02",0
2018,"durham","drhm-02",7
2019,"durham","drhm-02",11
2020,"durham","drhm-02",5
2022,"durham","drhm-02",17
2023,"durham","drhm-02",15
2024,"durham","drhm-02",23
2002,"durham","drhm-03",3
2003,"durham","drhm-03",1
2004,"durham","drhm-03",0
2005,"durham","drhm-03",1
