"year","county","route","count"
1999,"orange","orng-01",14
2000,"orange","orng-01",3
2001,"orange","orng-01",5
2002,"orange","orng-01",7
2003,"orange","orng-01",9
2004,"orange","orng-01",10
2005,"orange","orng-01",10
2006,"orange","orng-01",6
2007,"orange","orng-01",9
2008,"orange","orng-01",2
2009,"orange","orng-01",10
2010,"orange","orng-01",12
2011,"orange","orng-01",9
2012,"orange","orng-01",18
2013,"orange","orng-01",16
2014,"orange","orng-01",7
2015,"orange","orng-01",14
2016,"orange","orng-01",25
2017,"orange","orng-01",9
2018,"orange","orng-01",15
2019,"orange","orng-01",8
2020,"orange","orng-01",8
2021,"orange","orng-01",20
2022,"orange","orng-01",14
2023,"orange","orng-01",10
2024,"orange","orng-01",13
1999,"orange","orng-02",2
2000,"orange","orng-02",1
2001,"orange","orng-02",3
2002,"orange","orng-02",2
2003,"orange","orng-02",0
2004,"orange","orng-02",2
2005,"orange","orng-02",2
2006,"orange","orng-02",5
2007,"orange","orng-02",4
2008,"orange","orng-02",1
2009,"orange","orng-02",1
2010,"orange","orng-02",1
2011,"orange","orng-02",0
2012,"orange","orng-02",1
2013,"orange","orng-02",2
2014,"orange","orng-02",2
2015,"orange","orng-02",1
2016,"orange","orng-02",0
2017,"orange","orng-02",1
2018,"orange","orng-02",2
2019,"orange","orng-02",0
2020,"orange","orng-02",0
2021,"orange","orng-02",1
2022,"orange","orng-02",4
2023,"orange","orng-02",0
2024,"orange","orng-02",4
1999,"orange","orng-03",13
2000,"orange","orng-03",11
2001,"orange","orng-03",4
2002,"orange","orng-03",2
2003,"orange","orng-03",5
2004,"orange","orng-03",5
2005,"orange","orng-03",2
2006,"orange","orng-03",6
2007,"orange","orng-03",4
2008,"orange","orng-03",4
2009,"orange","orng-03",10
2011,"orange","orng-03",1
2014,"orange","orng-03",5
2015,"orange","orng-03",1
2016,"orange","orng-03",2
2017,"orange","orng-03",1
2018,"orange","orng-03",0
2019,"orange","orng-03",3
2020,"orange","orng-03",3
2021,"orange","orng-03",2
2022,"orange","orng-03",0
2023,"orange","orng-03",2
2024,"orange","orng-03",3
1999,"orange","orng-04",0
2000,"orange","orng-04",0
2001,"orange","orng-04",0
2002,"orange","orng-04",0
2003,"orange","orng-04",0
2004,"orange","orng-04",0
2005,"orange","orng-04",0
2006,"orange","orng-04",0
2007,"orange","orng-04",0
2008,"orange","orng-04",0
2009,"orange","orng-04",0
2010,"orange","orng-04",0
2011,"orange","orng-04",0
2013,"orange","orng-04",0
2014,"orange","orng-04",0
2015,"orange","orng-04",0
2016,"orange","orng-04",0
2017,"orange","orng-04",0
2018,"orange","orng-04",0
2019,"orange","orng-04",0
2020,"orange","orng-04",0
2021,"orange","orng-04",0
2022,"orange","orng-04",0
2023,"orange","orng-04",0
2024,"orange","orng-04",0
1999,"orange","orng-05",20
2000,"orange","orng-05",6
2001,"orange","orng-05",3
2002,"orange","orng-05",4
2003,"orange","orng-05",4
2004,"orange","orng-05",3
2005,"orange","orng-05",2
2006,"orange","orng-05",3
2007,"orange","orng-05",1
2008,"orange","orng-05",6
2009,"orange","orng-05",3
2010,"orange","orng-05",3
2011,"orange","orng-05",5
2012,"orange","orng-05",3
2013,"orange","orng-05",3
2014,"orange","orng-05",4
2015,"orange","orng-05",2
2016,"orange","orng-05",3
2017,"orange","orng-05",2
2018,"orange","orng-05",3
2019,"orange","orng-05",5
2020,"orange","orng-05",7
2021,"orange","orng-05",4
2022,"orange","orng-05",3
2023,"orange","orng-05",3
2024,"orange","orng-05",5
1999,"orange","orng-06",0
2000,"orange","orng-06",1
2001,"orange","orng-06",0
2002,"orange","orng-06",1
2003,"orange","orng-06",0
2004,"orange","orng-06",0
2005,"orange","orng-06",0
2006,"orange","orng-06",0
2007,"orange","orng-06",0
2008,"orange","orng-06",0
2009,"orange","orng-06",0
2010,"orange","orng-06",0
2011,"orange","orng-06",0
2012,"orange","orng-06",1
2013,"orange","orng-06",0
2014,"orange","orng-06",0
2015,"orange","orng-06",0
2016,"orange","orng-06",0
2017,"orange","orng-06",1
2019,"orange","orng-06",1
2020,"orange","orng-06",0
2021,"orange","orng-06",0
2022,"orange","orng-06",0
2023,"orange","orng-06",1
2024,"orange","orng-06",0
1999,"orange","orng-07",8
2000,"orange","orng-07",5
2001,"orange","orng-07",6
2002,"orange","orng-07",4
2003,"orange","orng-07",0
2004,"orange","orng-07",10
2005,"orange","orng-07",11
2006,"orange","orng-07",9
2007,"orange","orng-07",6
2008,"orange","orng-07",15
2009,"orange","orng-07",10
2010,"orange","orng-07",15
2011,"orange","orng-07",11
2012,"orange","orng-07",5
2014,"orange","orng-07",1
2015,"orange","orng-07",2
2016,"orange","orng-07",0
2017,"orange","orng-07",2
2018,"orange","orng-07",3
2019,"orange","orng-07",0
2020,"orange","orng-07",3
2021,"orange","orng-07",1
2022,"orange","orng-07",1
2023,"orange","orng-07",2
2024,"orange","orng-07",1
1999,"orange","orng-08",6
2000,"orange","orng-08",1
2001,"orange","orng-08",5
2002,"orange","orng-08",0
2003,"orange","orng-08",0
2004,"orange","orng-08",2
2005,"orange","orng-08",0
2006,"orange","orng-08",5
2007,"orange","orng-08",0
2008,"orange","orng-08",2
2009,"orange","orng-08",1
2010,"orange","orng-08",0
2011,"orange","orng-08",3
2012,"orange","orng-08",2
2013,"orange","orng-08",2
2014,"orange","orng-08",0
2015,"orange","orng-08",0
2016,"orange","orng-08",0
2017,"orange","orng-08",0
2018,"orange","orng-08",0
2019,"orange","orng-08",0
2020,"orange","orng-08",0
2021,"orange","orng-08",0
2022,"orange","orng-08",1
2023,"orange","orng-08",0
2024,"orange","orng-08",1
1999,"orange","orng-09",1
2000,"orange","orng-09",2
2001,"orange","orng-09",5
2002,"orange","orng-09",2
2004,"orange","orng-09",3
2005,"orange","orng-09",2
2006,"orange","orng-09",0
2007,"orange","orng-09",0
2008,"orange","orng-09",1
2009,"orange","orng-09",1
2011,"orange","orng-09",3
2012,"orange","orng-09",0
2013,"orange","orng-09",0
2014,"orange","orng-09",0
2015,"orange","orng-09",1
2016,"orange","orng-09",1
2019,"orange","orng-09",1
2020,"orange","orng-09",2
2021,"orange","orng-09",0
2022,"orange","orng-09",2
2023,"orange","orng-09",0
2024,"orange","orng-09",1
1999,"orange","orng-10",4
2000,"orange","orng-10",2
2001,"orange","orng-10",2
2002,"orange","orng-10",0
2003,"orange","orng-10",2
2004,"orange","orng-10",3
2005,"orange","orng-10",2
2006,"orange","orng-10",1
2007,"orange","orng-10",2
