"year","county","route","count"
1999,"orange","orng-01",1
2000,"orange","orng-01",2
2001,"orange","orng-01",2
2002,"orange","orng-01",1
2003,"orange","orng-01",6
2004,"orange","orng-01",7
2005,"orange","orng-01",8
2006,"orange","orng-01",3
2007,"orange","orng-01",1
2008,"orange","orng-01",2
2009,"orange","orng-01",0
2010,"orange","orng-01",3
2011,"orange","orng-01",1
2012,"orange","orng-01",7
2013,"orange","orng-01",1
2014,"orange","orng-01",2
2015,"orange","orng-01",4
2016,"orange","orng-01",4
2017,"orange","orng-01",0
2018,"orange","orng-01",2
2019,"orange","orng-01",1
2020,"orange","orng-01",1
2021,"orange","orng-01",0
2022,"orange","orng-01",0
2023,"orange","orng-01",1
2024,"orange","orng-01",0
1999,"orange","orng-02",0
2000,"orange","orng-02",1
2001,"orange","orng-02",1
2002,"orange","orng-02",1
2003,"orange","orng-02",3
2004,"orange","orng-02",6
2005,"orange","orng-02",5
2006,"orange","orng-02",5
2007,"orange","orng-02",2
2008,"orange","orng-02",2
2009,"orange","orng-02",2
2010,"orange","orng-02",3
2011,"orange","orng-02",5
2012,"orange","orng-02",0
2013,"orange","orng-02",1
2014,"orange","orng-02",1
2015,"orange","orng-02",5
2016,"orange","orng-02",0
2017,"orange","orng-02",0
2018,"orange","orng-02",0
2019,"orange","orng-02",0
2020,"orange","orng-02",0
2021,"orange","orng-02",0
2022,"orange","orng-02",0
2023,"orange","orng-02",0
2024,"orange","orng-02",0
1999,"orange","orng-03",5
2000,"orange","orng-03",3
2001,"orange","orng-03",7
2002,"orange","orng-03",10
2003,"orange","orng-03",8
2004,"orange","orng-03",9
2005,"orange","orng-03",7
2006,"orange","orng-03",5
2007,"orange","orng-03",6
2008,"orange","orng-03",6
2009,"orange","orng-03",6
2011,"orange","orng-03",2
2014,"orange","orng-03",0
2015,"orange","orng-03",4
2016,"orange","orng-03",0
2017,"orange","orng-03",3
2018,"orange","orng-03",0
2019,"orange","orng-03",3
2020,"orange","orng-03",6
2021,"orange","orng-03",2
2022,"orange","orng-03",6
2023,"orange","orng-03",4
2024,"orange","orng-03",4
1999,"orange","orng-04",4
2000,"orange","orng-04",4
2001,"orange","orng-04",5
2002,"orange","orng-04",7
2003,"orange","orng-04",13
2004,"orange","orng-04",3
2005,"orange","orng-04",5
2006,"orange","orng-04",8
2007,"orange","orng-04",6
2008,"orange","orng-04",6
2009,"orange","orng-04",4
2010,"orange","orng-04",10
2011,"orange","orng-04",3
2013,"orange","orng-04",3
2014,"orange","orng-04",6
2015,"orange","orng-04",5
2016,"orange","orng-04",1
2017,"orange","orng-04",2
2018,"orange","orng-04",1
2019,"orange","orng-04",4
2020,"orange","orng-04",3
2021,"orange","orng-04",1
2022,"orange","orng-04",1
2023,"orange","orng-04",3
2024,"orange","orng-04",3
1999,"orange","orng-05",3
2000,"orange","orng-05",6
2001,"orange","orng-05",6
2002,"orange","orng-05",6
2003,"orange","orng-05",9
2004,"orange","orng-05",6
2005,"orange","orng-05",7
2006,"orange","orng-05",9
2007,"orange","orng-05",5
2008,"orange","orng-05",7
2009,"orange","orng-05",5
2010,"orange","orng-05",5
2011,"orange","orng-05",4
2012,"orange","orng-05",5
2013,"orange","orng-05",4
2014,"orange","orng-05",3
2015,"orange","orng-05",9
2016,"orange","orng-05",8
2017,"orange","orng-05",2
2018,"orange","orng-05",0
2019,"orange","orng-05",4
2020,"orange","orng-05",5
2021,"orange","orng-05",4
2022,"orange","orng-05",8
2023,"orange","orng-05",2
2024,"orange","orng-05",1
1999,"orange","orng-06",7
2000,"orange","orng-06",6
2001,"orange","orng-06",6
2002,"orange","orng-06",7
2003,"orange","orng-06",8
2004,"orange","orng-06",12
2005,"orange","orng-06",16
2006,"orange","orng-06",8
2007,"orange","orng-06",9
2008,"orange","orng-06",15
2009,"orange","orng-06",13
2010,"orange","orng-06",3
2011,"orange","orng-06",13
2012,"orange","orng-06",10
2013,"orange","orng-06",6
2014,"orange","orng-06",7
2015,"orange","orng-06",6
2016,"orange","orng-06",4
2017,"orange","orng-06",9
2019,"orange","orng-06",4
2020,"orange","orng-06",7
2021,"orange","orng-06",8
2022,"orange","orng-06",5
2023,"orange","orng-06",4
2024,"orange","orng-06",4
1999,"orange","orng-07",5
2000,"orange","orng-07",4
2001,"orange","orng-07",5
2002,"orange","orng-07",5
2003,"orange","orng-07",7
2004,"orange","orng-07",3
2005,"orange","orng-07",4
2006,"orange","orng-07",3
2007,"orange","orng-07",6
2008,"orange","orng-07",7
2009,"orange","orng-07",6
2010,"orange","orng-07",5
2011,"orange","orng-07",5
2012,"orange","orng-07",6
2014,"orange","orng-07",9
2015,"orange","orng-07",4
2016,"orange","orng-07",8
2017,"orange","orng-07",5
2018,"orange","orng-07",3
2019,"orange","orng-07",2
2020,"orange","orng-07",3
2021,"orange","orng-07",4
2022,"orange","orng-07",6
2023,"orange","orng-07",3
2024,"orange","orng-07",6
1999,"orange","orng-08",6
2000,"orange","orng-08",2
2001,"orange","orng-08",1
2002,"orange","orng-08",4
2003,"orange","orng-08",0
2004,"orange","orng-08",1
2005,"orange","orng-08",3
2006,"orange","orng-08",5
2007,"orange","orng-08",2
2008,"orange","orng-08",1
2009,"orange","orng-08",1
2010,"orange","orng-08",6
2011,"orange","orng-08",1
2012,"orange","orng-08",2
2013,"orange","orng-08",1
2014,"orange","orng-08",0
2015,"orange","orng-08",0
2016,"orange","orng-08",2
2017,"orange","orng-08",2
2018,"orange","orng-08",1
2019,"orange","orng-08",0
2020,"orange","orng-08",1
2021,"orange","orng-08",0
2022,"orange","orng-08",1
2023,"orange","orng-08",0
2024,"orange","orng-08",1
1999,"orange","orng-09",2
2000,"orange","orng-09",4
2001,"orange","orng-09",5
2002,"orange","orng-09",6
2004,"orange","orng-09",11
2005,"orange","orng-09",6
2006,"orange","orng-09",11
2007,"orange","orng-09",13
2008,"orange","orng-09",8
2009,"orange","orng-09",5
2011,"orange","orng-09",2
2012,"orange","orng-09",8
2013,"orange","orng-09",4
2014,"orange","orng-09",6
2015,"orange","orng-09",4
2016,"orange","orng-09",7
2019,"orange","orng-09",2
2020,"orange","orng-09",1
2021,"orange","orng-09",3
2022,"orange","orng-09",1
2023,"orange","orng-09",1
2024,"orange","orng-09",1
1999,"orange","orng-10",1
2000,"orange","orng-10",7
2001,"orange","orng-10",6
2002,"orange","orng-10",12
2003,"orange","orng-10",12
2004,"orange","orng-10",7
2005,"orange","orng-10",9
2006,"orange","orng-10",12
2007,"orange","orng-10",6
2008,"orange","orng-10",11
2009,"orange","orng-10",4
2012,"orange","orng-10",8
2013,"orange","orng-10",3
2016,"orange","orng-10",1
2017,"orange","orng-10",2
2018,"orange","orng-10",0
2019,"orange","orng-10",6
2020,"orange","orng-10",1
2021,"orange","orng-10",7
2023,"orange","orng-10",2
2024,"orange","orng-10",0
1999,"orange","orng-11",8
2000,"orange","orng-11",4
2001,"orange","orng-11",7
2002,"orange","orng-11",13
2003,"orange","orng-11",5
2004,"orange","orng-11",12
2005,"orange","orng-11",12
2006,"orange","orng-11",17
2007,"orange","orng-11",10
2008,"orange","orng-11",10
2009,"orange","orng-11",11
2017,"orange","orng-11",5
2018,"orange","orng-11",2
2019,"orange","orng-11",3
2020,"orange","orng-11",2
2021,"orange","orng-11",4
2022,"orange","orng-11",4
2023,"orange","orng-11",7
2024,"orange","orng-11",3
1999,"orange","orng-12",13
2000,"orange","orng-12",9
2001,"orange","orng-12",10
2002,"orange","orng-12",18
2003,"orange","orng-12",11
2004,"orange","orng-12",15
2005,"orange","orng-12",16
2006,"orange","orng-12",25
2007,"orange","orng-12",21
2008,"orange","orng-12",25
2009,"orange","orng-12",28
2010,"orange","orng-12",11
2011,"orange","orng-12",19
2012,"orange","orng-12",24
2013,"orange","orng-12",22
2014,"orange","orng-12",21
2015,"orange","orng-12",19
2016,"orange","orng-12",13
2017,"orange","orng-12",9
2018,"orange","orng-12",7
2019,"orange","orng-12",9
2020,"orange","orng-12",4
2021,"orange","orng-12",7
2022,"orange","orng-12",6
2023,"orange","orng-12",7
2024,"orange","orng-12",9
2000,"chatham","cthm-01",4
2001,"chatham","cthm-01",9
2002,"chatham","cthm-01",12
