"year","county","route","count"
1999,"orange","orng-01",6
2000,"orange","orng-01",2
2001,"orange","orng-01",0
2002,"orange","orng-01",6
2003,"orange","orng-01",9
2004,"orange","orng-01",5
2005,"orange","orng-01",6
2006,"orange","orng-01",1
2007,"orange","orng-01",0
2008,"orange","orng-01",0
2009,"orange","orng-01",0
2010,"orange","orng-01",4
2011,"orange","orng-01",7
2012,"orange","orng-01",3
2013,"orange","orng-01",3
2014,"orange","orng-01",8
2015,"orange","orng-01",6
2016,"orange","orng-01",3
2017,"orange","orng-01",4
2018,"orange","orng-01",6
2019,"orange","orng-01",7
2020,"orange","orng-01",4
2021,"orange","orng-01",5
2022,"orange","orng-01",4
2023,"orange","orng-01",6
2024,"orange","orng-01",4
1999,"orange","orng-02",2
2000,"orange","orng-02",3
2001,"orange","orng-02",2
2002,"orange","orng-02",1
2003,"orange","orng-02",2
2004,"orange","orng-02",4
2005,"orange","orng-02",1
2006,"orange","orng-02",0
2007,"orange","orng-02",0
2008,"orange","orng-02",0
2009,"orange","orng-02",1
2010,"orange","orng-02",0
2011,"orange","orng-02",1
2012,"orange","orng-02",0
2013,"orange","orng-02",0
2014,"orange","orng-02",1
2015,"orange","orng-02",2
2016,"orange","orng-02",0
2017,"orange","orng-02",0
2018,"orange","orng-02",0
2019,"orange","orng-02",0
2020,"orange","orng-02",0
2021,"orange","orng-02",3
2022,"orange","orng-02",0
2023,"orange","orng-02",1
2024,"orange","orng-02",5
1999,"orange","orng-03",3
2000,"orange","orng-03",6
2001,"orange","orng-03",7
2002,"orange","orng-03",5
2003,"orange","orng-03",5
2004,"orange","orng-03",5
2005,"orange","orng-03",5
2006,"orange","orng-03",6
2007,"orange","orng-03",4
2008,"orange","orng-03",2
2009,"orange","orng-03",2
2011,"orange","orng-03",1
2014,"orange","orng-03",0
2015,"orange","orng-03",0
2016,"orange","orng-03",2
2017,"orange","orng-03",0
2018,"orange","orng-03",0
2019,"orange","orng-03",3
2020,"orange","orng-03",5
2021,"orange","orng-03",5
2022,"orange","orng-03",4
2023,"orange","orng-03",2
2024,"orange","orng-03",3
1999,"orange","orng-04",1
2000,"orange","orng-04",0
2001,"orange","orng-04",1
2002,"orange","orng-04",1
2003,"orange","orng-04",1
2004,"orange","orng-04",1
2005,"orange","orng-04",0
2006,"orange","orng-04",0
2007,"orange","orng-04",1
2008,"orange","orng-04",0
2009,"orange","orng-04",0
2010,"orange","orng-04",0
2011,"orange","orng-04",2
2013,"orange","orng-04",1
2014,"orange","orng-04",0
2015,"orange","orng-04",1
2016,"orange","orng-04",1
2017,"orange","orng-04",1
2018,"orange","orng-04",0
2019,"orange","orng-04",1
2020,"orange","orng-04",1
2021,"orange","orng-04",2
2022,"orange","orng-04",1
2023,"orange","orng-04",1
2024,"orange","orng-04",2
1999,"orange","orng-05",2
2000,"orange","orng-05",2
2001,"orange","orng-05",3
2002,"orange","orng-05",1
2003,"orange","orng-05",1
2004,"orange","orng-05",6
2005,"orange","orng-05",5
2006,"orange","orng-05",4
2007,"orange","orng-05",1
2008,"orange","orng-05",5
2009,"orange","orng-05",4
2010,"orange","orng-05",0
2011,"orange","orng-05",3
2012,"orange","orng-05",6
2013,"orange","orng-05",6
2014,"orange","orng-05",1
2015,"orange","orng-05",6
2016,"orange","orng-05",5
2017,"orange","orng-05",9
2018,"orange","orng-05",6
2019,"orange","orng-05",6
2020,"orange","orng-05",1
2021,"orange","orng-05",5
2022,"orange","orng-05",4
2023,"orange","orng-05",2
2024,"orange","orng-05",4
1999,"orange","orng-06",0
2000,"orange","orng-06",0
2001,"orange","orng-06",1
2002,"orange","orng-06",1
2003,"orange","orng-06",0
2004,"orange","orng-06",1
2005,"orange","orng-06",0
2006,"orange","orng-06",2
2007,"orange","orng-06",0
2008,"orange","orng-06",0
2009,"orange","orng-06",0
2010,"orange","orng-06",0
2011,"orange","orng-06",0
2012,"orange","orng-06",0
2013,"orange","orng-06",1
2014,"orange","orng-06",0
2015,"orange","orng-06",0
2016,"orange","orng-06",0
2017,"orange","orng-06",0
2019,"orange","orng-06",1
2020,"orange","orng-06",1
2021,"orange","orng-06",1
2022,"orange","orng-06",0
2023,"orange","orng-06",0
2024,"orange","orng-06",0
1999,"orange","orng-07",4
2000,"orange","orng-07",7
2001,"orange","orng-07",10
2002,"orange","orng-07",4
2003,"orange","orng-07",7
2004,"orange","orng-07",2
2005,"orange","orng-07",6
2006,"orange","orng-07",5
2007,"orange","orng-07",5
2008,"orange","orng-07",3
2009,"orange","orng-07",1
2010,"orange","orng-07",4
2011,"orange","orng-07",3
2012,"orange","orng-07",1
2014,"orange","orng-07",4
2015,"orange","orng-07",5
2016,"orange","orng-07",4
2017,"orange","orng-07",8
2018,"orange","orng-07",4
2019,"orange","orng-07",3
2020,"orange","orng-07",2
2021,"orange","orng-07",5
2022,"orange","orng-07",2
2023,"orange","orng-07",3
2024,"orange","orng-07",2
1999,"orange","orng-08",9
2000,"orange","orng-08",3
2001,"orange","orng-08",4
2002,"orange","orng-08",1
2003,"orange","orng-08",0
2004,"orange","orng-08",0
2005,"orange","orng-08",2
2006,"orange","orng-08",2
2007,"orange","orng-08",1
2008,"orange","orng-08",0
2009,"orange","orng-08",1
2010,"orange","orng-08",6
2011,"orange","orng-08",2
2012,"orange","orng-08",0
2013,"orange","orng-08",0
2014,"orange","orng-08",0
2015,"orange","orng-08",3
2016,"orange","orng-08",0
2017,"orange","orng-08",0
2018,"orange","orng-08",1
2019,"orange","orng-08",0
2020,"orange","orng-08",0
2021,"orange","orng-08",0
2022,"orange","orng-08",3
2023,"orange","orng-08",2
2024,"orange","orng-08",1
1999,"orange","orng-09",2
2000,"orange","orng-09",2
2001,"orange","orng-09",5
2002,"orange","orng-09",6
2004,"orange","orng-09",4
2005,"orange","orng-09",2
2006,"orange","orng-09",4
2007,"orange","orng-09",0
2008,"orange","orng-09",2
2009,"orange","orng-09",2
2011,"orange","orng-09",0
2012,"orange","orng-09",1
2013,"orange","orng-09",0
2014,"orange","orng-09",1
2015,"orange","orng-09",0
2016,"orange","orng-09",0
2019,"orange","orng-09",2
2020,"orange","orng-09",4
2021,"orange","orng-09",3
2022,"orange","orng-09",2
2023,"orange","orng-09",1
2024,"orange","orng-09",1
1999,"orange","orng-10",3
2000,"orange","orng-10",3
2001,"orange","orng-10",2
2002,"orange","orng-10",7
2003,"orange","orng-10",3
2004,"orange","orng-10",5
2005,"orange","orng-10",7
2006,"orange","orng-10",1
2007,"orange","orng-10",1
2008,"orange","orng-10",3
2009,"orange","orng-10",1
2012,"orange","orng-10",3
2013,"orange","orng-10",1
2016,"orange","orng-10",0
2017,"orange","orng-10",0
2018,"orange","orng-10",0
2019,"orange","orng-10",0
2020,"orange","orng-10",1
2021,"orange","orng-10",1
2023,"orange","orng-10",0
2024,"orange","orng-10",1
1999,"orange","orng-11",7
2000,"orange","orng-11",4
2001,"orange","orng-11",4
2002,"orange","orng-11",3
2003,"orange","orng-11",4
2004,"orange","orng-11",0
2005,"orange","orng-11",2
2006,"orange","orng-11",2
2007,"orange","orng-11",4
2008,"orange","orng-11",1
2009,"orange","orng-11",1
2017,"orange","orng-11",6
2018,"orange","orng-11",5
2019,"orange","orng-11",2
2020,"orange","orng-11",4
2021,"orange","orng-11",0
2022,"orange","orng-11",2
2023,"orange","orng-11",7
