"year","county","route","route_num","count"
1999,"orange","orng-01",1,17
2000,"orange","orng-01",1,8
2001,"orange","orng-01",1,12
2002,"orange","orng-01",1,18
2003,"orange","orng-01",1,24
2004,"orange","orng-01",1,15
2005,"orange","orng-01",1,13
2006,"orange","orng-01",1,8
2007,"orange","orng-01",1,17
2008,"orange","orng-01",1,6
2009,"orange","orng-01",1,8
2010,"orange","orng-01",1,27
2011,"orange","orng-01",1,15
2012,"orange","orng-01",1,54
2013,"orange","orng-01",1,10
2014,"orange","orng-01",1,1
2015,"orange","orng-01",1,19
2016,"orange","orng-01",1,13
2017,"orange","orng-01",1,13
2018,"orange","orng-01",1,11
2019,"orange","orng-01",1,14
2020,"orange","orng-01",1,10
2021,"orange","orng-01",1,12
2022,"orange","orng-01",1,22
2023,"orange","orng-01",1,11
2024,"orange","orng-01",1,1
2025,"orange","orng-01",1,0
1999,"orange","orng-02",2,6
2000,"orange","orng-02",2,3
2001,"orange","orng-02",2,8
2002,"orange","orng-02",2,10
2003,"orange","orng-02",2,13
2004,"orange","orng-02",2,15
2005,"orange","orng-02",2,4
2006,"orange","orng-02",2,20
2007,"orange","orng-02",2,10
2008,"orange","orng-02",2,0
2009,"orange","orng-02",2,3
2010,"orange","orng-02",2,7
2011,"orange","orng-02",2,0
2012,"orange","orng-02",2,5
2013,"orange","orng-02",2,12
2014,"orange","orng-02",2,12
2015,"orange","orng-02",2,4
2016,"orange","orng-02",2,3
2017,"orange","orng-02",2,6
2018,"orange","orng-02",2,6
2019,"orange","orng-02",2,0
2020,"orange","orng-02",2,7
2021,"orange","orng-02",2,8
2022,"orange","orng-02",2,3
2023,"orange","orng-02",2,1
2024,"orange","orng-02",2,0
2025,"orange","orng-02",2,9
1999,"orange","orng-03",3,21
2000,"orange","orng-03",3,12
2001,"orange","orng-03",3,22
2002,"orange","orng-03",3,3
2003,"orange","orng-03",3,30
2004,"orange","orng-03",3,17
2005,"orange","orng-03",3,6
2006,"orange","orng-03",3,29
2007,"orange","orng-03",3,4
2008,"orange","orng-03",3,2
2009,"orange","orng-03",3,15
2011,"orange","orng-03",3,9
2014,"orange","orng-03",3,4
2015,"orange","orng-03",3,14
2016,"orange","orng-03",3,0
2017,"orange","orng-03",3,2
2018,"orange","orng-03",3,16
2019,"orange","orng-03",3,0
2020,"orange","orng-03",3,0
2021,"orange","orng-03",3,10
2022,"orange","orng-03",3,10
2023,"orange","orng-03",3,6
2024,"orange","orng-03",3,3
2025,"orange","orng-03",3,4
1999,"orange","orng-04",4,4
2000,"orange","orng-04",4,8
2001,"orange","orng-04",4,6
2002,"orange","orng-04",4,0
2003,"orange","orng-04",4,0
2004,"orange","orng-04",4,0
2005,"orange","orng-04",4,2
2006,"orange","orng-04",4,1
2007,"orange","orng-04",4,1
2008,"orange","orng-04",4,4
2009,"orange","orng-04",4,0
2010,"orange","orng-04",4,0
2011,"orange","orng-04",4,4
2013,"orange","orng-04",4,0
2014,"orange","orng-04",4,0
2015,"orange","orng-04",4,1
2016,"orange","orng-04",4,0
2017,"orange","orng-04",4,0
2018,"orange","orng-04",4,1
2019,"orange","orng-04",4,0
2020,"orange","orng-04",4,0
2021,"orange","orng-04",4,0
2022,"orange","orng-04",4,3
2023,"orange","orng-04",4,0
2024,"orange","orng-04",4,2
2025,"orange","orng-04",4,1
1999,"orange","orng-05",5,15
2000,"orange","orng-05",5,8
2001,"orange","orng-05",5,18
2002,"orange","orng-05",5,4
2003,"orange","orng-05",5,1
2004,"orange","orng-05",5,3
2005,"orange","orng-05",5,35
2006,"orange","orng-05",5,15
2007,"orange","orng-05",5,1
2008,"orange","orng-05",5,1
2009,"orange","orng-05",5,10
2010,"orange","orng-05",5,9
2011,"orange","orng-05",5,30
2012,"orange","orng-05",5,4
2013,"orange","orng-05",5,1
2014,"orange","orng-05",5,10
2015,"orange","orng-05",5,2
2016,"orange","orng-05",5,2
2017,"orange","orng-05",5,1
2018,"orange","orng-05",5,1
2019,"orange","orng-05",5,27
2020,"orange","orng-05",5,23
2021,"orange","orng-05",5,152
2022,"orange","orng-05",5,3
2023,"orange","orng-05",5,6
2024,"orange","orng-05",5,2
2025,"orange","orng-05",5,0
1999,"orange","orng-06",6,4
2000,"orange","orng-06",6,3
2001,"orange","orng-06",6,2
2002,"orange","orng-06",6,1
2003,"orange","orng-06",6,5
2004,"orange","orng-06",6,2
2005,"orange","orng-06",6,0
