"year","date","mbbs_county","route","route_num","tax_order","count","county_factor","time"
1999,1999-05-23,"orange",3,2,26890,6,1,0
1999,1999-05-23,"orange",13,12,26890,36,1,0
1999,1999-05-30,"orange",5,4,26890,4,1,0
1999,1999-05-30,"orange",9,8,26890,5,1,0
1999,1999-05-31,"orange",10,9,26890,1,1,0
1999,1999-06-06,"orange",2,1,26890,17,1,0
1999,1999-06-06,"orange",4,3,26890,21,1,0
1999,1999-06-06,"orange",12,11,26890,21,1,0
1999,1999-06-10,"orange",8,7,26890,0,NA,0
1999,1999-06-12,"orange",6,5,26890,15,1,0
1999,1999-06-13,"orange",7,6,26890,4,1,0
1999,1999-06-13,"orange",11,10,26890,26,1,0
2000,2000-05-21,"chatham",54,14,26890,2,40,1
2000,2000-05-24,"chatham",49,9,26890,0,NA,1
2000,2000-05-25,"orange",8,7,26890,7,1,1
2000,2000-05-27,"chatham",51,11,26890,0,NA,1
2000,2000-05-27,"orange",3,2,26890,3,1,1
2000,2000-05-27,"orange",5,4,26890,8,1,1
2000,2000-05-28,"chatham",42,2,26890,10,40,1
2000,2000-05-28,"orange",9,8,26890,4,1,1
2000,2000-05-28,"orange",13,12,26890,10,1,1
2000,2000-05-29,"orange",6,5,26890,8,1,1
2000,2000-06-03,"chatham",43,3,26890,2,40,1
2000,2000-06-03,"orange",11,10,26890,7,1,1
2000,2000-06-04,"orange",2,1,26890,8,1,1
2000,2000-06-04,"orange",7,6,26890,3,1,1
2000,2000-06-08,"orange",10,9,26890,0,NA,1
2000,2000-06-11,"chatham",41,1,26890,5,40,1
2000,2000-06-11,"chatham",44,4,26890,0,NA,1
2000,2000-06-11,"orange",4,3,26890,12,1,1
2000,2000-06-16,"chatham",45,5,26890,16,40,1
2000,2000-06-17,"chatham",50,10,26890,47,40,1
2000,2000-06-18,"chatham",47,7,26890,2,40,1
2000,2000-06-18,"chatham",48,8,26890,0,NA,1
2000,2000-06-18,"chatham",52,12,26890,59,40,1
2000,2000-06-18,"orange",12,11,26890,1,1,1
2000,2000-06-24,"chatham",46,6,26890,11,40,1
2000,2000-07-02,"chatham",53,13,26890,23,40,1
2001,2001-05-23,"orange",4,3,26890,22,1,2
2001,2001-05-23,"orange",8,7,26890,2,1,2
2001,2001-05-27,"chatham",54,14,26890,16,40,2
2001,2001-05-27,"orange",9,8,26890,7,1,2
2001,2001-05-30,"chatham",45,5,26890,0,NA,2
2001,2001-06-03,"chatham",42,2,26890,23,40,2
2001,2001-06-03,"orange",2,1,26890,12,1,2
2001,2001-06-03,"orange",3,2,26890,8,1,2
2001,2001-06-03,"orange",7,6,26890,2,1,2
2001,2001-06-06,"orange",13,12,26890,25,1,2
2001,2001-06-09,"chatham",41,1,26890,1,40,2
2001,2001-06-09,"orange",6,5,26890,18,1,2
2001,2001-06-10,"chatham",43,3,26890,4,40,2
2001,2001-06-10,"chatham",44,4,26890,4,40,2
2001,2001-06-10,"chatham",48,8,26890,2,40,2
2001,2001-06-10,"chatham",52,12,26890,0,NA,2
2001,2001-06-10,"orange",5,4,26890,6,1,2
2001,2001-06-10,"orange",11,10,26890,1,1,2
2001,2001-06-16,"chatham",46,6,26890,25,40,2
2001,2001-06-16,"chatham",47,7,26890,0,NA,2
2001,2001-06-16,"chatham",49,9,26890,2,40,2
2001,2001-06-17,"chatham",51,11,26890,0,NA,2
2001,2001-06-19,"orange",10,9,26890,2,1,2
2001,2001-06-23,"chatham",50,10,26890,6,40,2
2001,2001-06-24,"orange",12,11,26890,4,1,2
2001,2001-07-07,"chatham",53,13,26890,19,40,2
2002,2002-05-22,"orange",8,7,26890,15,1,3
2002,2002-05-26,"chatham",42,2,26890,2,40,3
2002,2002-05-27,"chatham",44,4,26890,11,40,3
2002,2002-05-27,"chatham",45,5,26890,2,40,3
2002,2002-05-27,"durham",22,2,26890,42,20,3
2002,2002-05-27,"orange",13,12,26890,30,1,3
2002,2002-05-31,"orange",10,9,26890,2,1,3
2002,2002-06-02,"chatham",43,3,26890,2,40,3
2002,2002-06-02,"chatham",54,14,26890,2,40,3
2002,2002-06-02,"durham",23,3,26890,10,20,3
2002,2002-06-02,"durham",25,5,26890,6,20,3
2002,2002-06-02,"orange",2,1,26890,18,1,3
2002,2002-06-02,"orange",3,2,26890,10,1,3
2002,2002-06-06,"durham",21,1,26890,2,20,3
2002,2002-06-08,"chatham",47,7,26890,1,40,3
2002,2002-06-09,"chatham",41,1,26890,2,40,3
2002,2002-06-09,"orange",4,3,26890,3,1,3
2002,2002-06-09,"orange",5,4,26890,0,NA,3
2002,2002-06-09,"orange",7,6,26890,1,1,3
2002,2002-06-11,"durham",24,4,26890,9,20,3
2002,2002-06-13,"durham",27,7,26890,1,20,3
2002,2002-06-13,"durham",28,8,26890,14,20,3
2002,2002-06-15,"orange",6,5,26890,4,1,3
2002,2002-06-16,"chatham",49,9,26890,1,40,3
2002,2002-06-16,"chatham",50,10,26890,1,40,3
2002,2002-06-16,"orange",11,10,26890,20,1,3
2002,2002-06-18,"chatham",48,8,26890,6,40,3
2002,2002-06-23,"chatham",46,6,26890,3,40,3
2002,2002-06-23,"chatham",52,12,26890,7,40,3
2002,2002-06-24,"orange",12,11,26890,11,1,3
2002,2002-06-29,"chatham",51,11,26890,0,NA,3
2002,2002-06-30,"chatham",53,13,26890,32,40,3
2002,2002-06-30,"durham",26,6,26890,4,20,3
2002,2002-06-30,"orange",9,8,26890,0,NA,3
