"year","county","route","count"
1999,"orange","orng-01",18
2000,"orange","orng-01",17
2001,"orange","orng-01",20
2002,"orange","orng-01",21
2003,"orange","orng-01",23
2004,"orange","orng-01",41
2005,"orange","orng-01",30
2006,"orange","orng-01",27
2007,"orange","orng-01",25
2008,"orange","orng-01",24
2009,"orange","orng-01",24
2010,"orange","orng-01",13
2011,"orange","orng-01",21
2012,"orange","orng-01",28
2013,"orange","orng-01",32
2014,"orange","orng-01",14
2015,"orange","orng-01",18
2016,"orange","orng-01",15
2017,"orange","orng-01",13
2018,"orange","orng-01",13
2019,"orange","orng-01",13
2020,"orange","orng-01",14
2021,"orange","orng-01",22
2022,"orange","orng-01",25
2023,"orange","orng-01",18
2024,"orange","orng-01",23
1999,"orange","orng-02",17
2000,"orange","orng-02",19
2001,"orange","orng-02",17
2002,"orange","orng-02",27
2003,"orange","orng-02",9
2004,"orange","orng-02",20
2005,"orange","orng-02",18
2006,"orange","orng-02",0
2007,"orange","orng-02",24
2008,"orange","orng-02",10
2009,"orange","orng-02",10
2010,"orange","orng-02",10
2011,"orange","orng-02",16
2012,"orange","orng-02",24
2013,"orange","orng-02",17
2014,"orange","orng-02",17
2015,"orange","orng-02",14
2016,"orange","orng-02",17
2017,"orange","orng-02",6
2018,"orange","orng-02",8
2019,"orange","orng-02",7
2020,"orange","orng-02",12
2021,"orange","orng-02",4
2022,"orange","orng-02",3
2023,"orange","orng-02",9
2024,"orange","orng-02",14
1999,"orange","orng-03",39
2000,"orange","orng-03",12
2001,"orange","orng-03",14
2002,"orange","orng-03",11
2003,"orange","orng-03",21
2004,"orange","orng-03",21
2005,"orange","orng-03",9
2006,"orange","orng-03",22
2007,"orange","orng-03",6
2008,"orange","orng-03",10
2009,"orange","orng-03",13
2011,"orange","orng-03",5
2014,"orange","orng-03",5
2015,"orange","orng-03",3
2016,"orange","orng-03",4
2017,"orange","orng-03",5
2018,"orange","orng-03",14
2019,"orange","orng-03",8
2020,"orange","orng-03",17
2021,"orange","orng-03",15
2022,"orange","orng-03",14
2023,"orange","orng-03",9
2024,"orange","orng-03",8
1999,"orange","orng-04",7
2000,"orange","orng-04",7
2001,"orange","orng-04",4
2002,"orange","orng-04",6
2003,"orange","orng-04",6
2004,"orange","orng-04",6
2005,"orange","orng-04",4
2006,"orange","orng-04",3
2007,"orange","orng-04",2
2008,"orange","orng-04",6
2009,"orange","orng-04",12
2010,"orange","orng-04",6
2011,"orange","orng-04",9
2013,"orange","orng-04",5
2014,"orange","orng-04",1
2015,"orange","orng-04",8
2016,"orange","orng-04",6
2017,"orange","orng-04",7
2018,"orange","orng-04",2
2019,"orange","orng-04",6
2020,"orange","orng-04",2
2021,"orange","orng-04",7
2022,"orange","orng-04",5
2023,"orange","orng-04",6
2024,"orange","orng-04",7
1999,"orange","orng-05",40
2000,"orange","orng-05",26
2001,"orange","orng-05",34
2002,"orange","orng-05",44
2003,"orange","orng-05",31
2004,"orange","orng-05",34
2005,"orange","orng-05",25
2006,"orange","orng-05",43
2007,"orange","orng-05",30
2008,"orange","orng-05",41
2009,"orange","orng-05",35
2010,"orange","orng-05",3
2011,"orange","orng-05",30
2012,"orange","orng-05",29
2013,"orange","orng-05",27
2014,"orange","orng-05",25
2015,"orange","orng-05",37
2016,"orange","orng-05",37
2017,"orange","orng-05",28
2018,"orange","orng-05",27
2019,"orange","orng-05",35
2020,"orange","orng-05",29
2021,"orange","orng-05",43
2022,"orange","orng-05",34
2023,"orange","orng-05",49
2024,"orange","orng-05",51
1999,"orange","orng-06",8
2000,"orange","orng-06",11
2001,"orange","orng-06",12
2002,"orange","orng-06",23
2003,"orange","orng-06",15
2004,"orange","orng-06",8
2005,"orange","orng-06",14
2006,"orange","orng-06",17
2007,"orange","orng-06",10
2008,"orange","orng-06",14
2009,"orange","orng-06",15
2010,"orange","orng-06",7
2011,"orange","orng-06",7
2012,"orange","orng-06",12
2013,"orange","orng-06",9
2014,"orange","orng-06",12
2015,"orange","orng-06",12
2016,"orange","orng-06",5
2017,"orange","orng-06",11
2019,"orange","orng-06",10
2020,"orange","orng-06",5
2021,"orange","orng-06",6
2022,"orange","orng-06",6
2023,"orange","orng-06",2
2024,"orange","orng-06",11
1999,"orange","orng-07",11
2000,"orange","orng-07",12
2001,"orange","orng-07",10
2002,"orange","orng-07",16
2003,"orange","orng-07",12
2004,"orange","orng-07",16
2005,"orange","orng-07",11
2006,"orange","orng-07",23
2007,"orange","orng-07",20
2008,"orange","orng-07",23
2009,"orange","orng-07",23
2010,"orange","orng-07",20
2011,"orange","orng-07",12
2012,"orange","orng-07",23
2014,"orange","orng-07",25
2015,"orange","orng-07",29
2016,"orange","orng-07",25
2017,"orange","orng-07",16
2018,"orange","orng-07",24
2019,"orange","orng-07",29
2020,"orange","orng-07",17
2021,"orange","orng-07",19
2022,"orange","orng-07",17
2023,"orange","orng-07",25
2024,"orange","orng-07",23
1999,"orange","orng-08",28
2000,"orange","orng-08",12
2001,"orange","orng-08",14
2002,"orange","orng-08",12
2003,"orange","orng-08",10
2004,"orange","orng-08",12
2005,"orange","orng-08",11
2006,"orange","orng-08",15
2007,"orange","orng-08",16
2008,"orange","orng-08",21
2009,"orange","orng-08",20
2010,"orange","orng-08",10
2011,"orange","orng-08",14
2012,"orange","orng-08",12
2013,"orange","orng-08",5
2014,"orange","orng-08",9
2015,"orange","orng-08",6
2016,"orange","orng-08",3
2017,"orange","orng-08",9
2018,"orange","orng-08",5
2019,"orange","orng-08",7
2020,"orange","orng-08",8
2021,"orange","orng-08",1
2022,"orange","orng-08",5
2023,"orange","orng-08",2
2024,"orange","orng-08",2
1999,"orange","orng-09",12
2000,"orange","orng-09",6
2001,"orange","orng-09",14
2002,"orange","orng-09",19
2004,"orange","orng-09",13
2005,"orange","orng-09",9
2006,"orange","orng-09",17
2007,"orange","orng-09",9
2008,"orange","orng-09",14
2009,"orange","orng-09",17
2011,"orange","orng-09",20
2012,"orange","orng-09",20
2013,"orange","orng-09",18
2014,"orange","orng-09",23
2015,"orange","orng-09",13
2016,"orange","orng-09",9
2019,"orange","orng-09",7
2020,"orange","orng-09",15
2021,"orange","orng-09",14
2022,"orange","orng-09",11
2023,"orange","orng-09",6
2024,"orange","orng-09",8
1999,"orange","orng-10",27
2000,"orange","orng-10",21
2001,"orange","orng-10",26
2002,"orange","orng-10",23
2003,"orange","orng-10",16
2004,"orange","orng-10",17
2005,"orange","orng-10",17
2006,"orange","orng-10",11
2007,"orange","orng-10",9
2008,"orange","orng-10",11
2009,"orange","orng-10",5
2012,"orange","orng-10",19
2013,"orange","orng-10",8
2016,"orange","orng-10",0
2017,"orange","orng-10",0
2018,"orange","orng-10",1
2019,"orange","orng-10",6
2020,"orange","orng-10",6
2021,"orange","orng-10",12
2023,"orange","orng-10",15
2024,"orange","orng-10",10
1999,"orange","orng-11",16
2000,"orange","orng-11",26
2001,"orange","orng-11",12
2002,"orange","orng-11",9
2003,"orange","orng-11",0
2004,"orange","orng-11",13
2005,"orange","orng-11",13
2006,"orange","orng-11",11
2007,"orange","orng-11",19
2008,"orange","orng-11",25
2009,"orange","orng-11",13
2017,"orange","orng-11",5
2018,"orange","orng-11",4
2019,"orange","orng-11",8
2020,"orange","orng-11",10
2021,"orange","orng-11",13
2022,"orange","orng-11",11
2023,"orange","orng-11",13
2024,"orange","orng-11",10
1999,"orange","orng-12",7
2000,"orange","orng-12",14
2001,"orange","orng-12",4
2002,"orange","orng-12",12
2003,"orange","orng-12",5
2004,"orange","orng-12",10
2005,"orange","orng-12",8
2006,"orange","orng-12",9
2007,"orange","orng-12",6
2008,"orange","orng-12",9
2009,"orange","orng-12",12
2010,"orange","orng-12",10
2011,"orange","orng-12",6
2012,"orange","orng-12",14
2013,"orange","orng-12",10
2014,"orange","orng-12",9
2015,"orange","orng-12",12
2016,"orange","orng-12",6
2017,"orange","orng-12",9
2018,"orange","orng-12",5
2019,"orange","orng-12",6
2020,"orange","orng-12",1
2021,"orange","orng-12",7
2022,"orange","orng-12",6
2023,"orange","orng-12",4
2024,"orange","orng-12",3
2000,"chatham","cthm-01",10
2001,"chatham","cthm-01",18
2002,"chatham","cthm-01",13
2003,"chatham","cthm-01",10
2004,"chatham","cthm-01",4
2005,"chatham","cthm-01",20
2006,"chatham","cthm-01",7
2007,"chatham","cthm-01",13
2008,"chatham","cthm-01",8
2009,"chatham","cthm-01",10
2010,"chatham","cthm-01",12
2011,"chatham","cthm-01",6
2012,"chatham","cthm-01",6
2013,"chatham","cthm-01",7
2014,"chatham","cthm-01",11
2015,"chatham","cthm-01",9
2016,"chatham","cthm-01",9
2017,"chatham","cthm-01",9
2018,"chatham","cthm-01",5
2019,"chatham","cthm-01",10
2020,"chatham","cthm-01",10
2021,"chatham","cthm-01",4
2022,"chatham","cthm-01",6
2023,"chatham","cthm-01",8
2024,"chatham","cthm-01",6
2000,"chatham","cthm-02",24
2001,"chatham","cthm-02",17
2002,"chatham","cthm-02",17
2003,"chatham","cthm-02",14
2004,"chatham","cthm-02",17
2005,"chatham","cthm-02",15
2006,"chatham","cthm-02",9
2007,"chatham","cthm-02",10
2008,"chatham","cthm-02",15
2009,"chatham","cthm-02",28
2010,"chatham","cthm-02",12
2011,"chatham","cthm-02",17
2012,"chatham","cthm-02",14
2013,"chatham","cthm-02",13
2014,"chatham","cthm-02",15
2015,"chatham","cthm-02",8
2016,"chatham","cthm-02",12
2017,"chatham","cthm-02",12
2018,"chatham","cthm-02",12
2019,"chatham","cthm-02",8
2020,"chatham","cthm-02",2
2021,"chatham","cthm-02",8
2022,"chatham","cthm-02",6
2023,"chatham","cthm-02",1
2024,"chatham","cthm-02",7
2000,"chatham","cthm-03",4
2001,"chatham","cthm-03",7
2002,"chatham","cthm-03",11
2003,"chatham","cthm-03",5
2004,"chatham","cthm-03",7
2005,"chatham","cthm-03",14
2006,"chatham","cthm-03",15
2007,"chatham","cthm-03",5
2008,"chatham","cthm-03",8
2009,"chatham","cthm-03",15
2010,"chatham","cthm-03",9
2011,"chatham","cthm-03",9
2012,"chatham","cthm-03",8
2013,"chatham","cthm-03",5
2014,"chatham","cthm-03",32
2015,"chatham","cthm-03",7
2016,"chatham","cthm-03",33
2017,"chatham","cthm-03",15
2018,"chatham","cthm-03",17
2019,"chatham","cthm-03",13
2020,"chatham","cthm-03",8
2021,"chatham","cthm-03",12
2022,"chatham","cthm-03",9
2023,"chatham","cthm-03",9
2024,"chatham","cthm-03",7
2000,"chatham","cthm-04",15
2001,"chatham","cthm-04",11
2002,"chatham","cthm-04",4
2003,"chatham","cthm-04",11
2004,"chatham","cthm-04",11
2005,"chatham","cthm-04",7
2006,"chatham","cthm-04",26
2007,"chatham","cthm-04",13
2008,"chatham","cthm-04",14
2009,"chatham","cthm-04",11
2010,"chatham","cthm-04",16
2011,"chatham","cthm-04",9
2012,"chatham","cthm-04",14
2013,"chatham","cthm-04",15
2014,"chatham","cthm-04",18
2015,"chatham","cthm-04",7
2016,"chatham","cthm-04",1
