"year","county","route","route_num","count"
1999,"orange","orng-01",1,5
2000,"orange","orng-01",1,10
2001,"orange","orng-01",1,7
2002,"orange","orng-01",1,12
2003,"orange","orng-01",1,16
2004,"orange","orng-01",1,12
2005,"orange","orng-01",1,19
2006,"orange","orng-01",1,16
2007,"orange","orng-01",1,15
2008,"orange","orng-01",1,16
2009,"orange","orng-01",1,12
2010,"orange","orng-01",1,11
2011,"orange","orng-01",1,17
2012,"orange","orng-01",1,15
2013,"orange","orng-01",1,13
2014,"orange","orng-01",1,17
2015,"orange","orng-01",1,16
2016,"orange","orng-01",1,20
2017,"orange","orng-01",1,20
2018,"orange","orng-01",1,20
2019,"orange","orng-01",1,26
2020,"orange","orng-01",1,14
2021,"orange","orng-01",1,19
2022,"orange","orng-01",1,20
2023,"orange","orng-01",1,9
2024,"orange","orng-01",1,11
1999,"orange","orng-02",2,16
2000,"orange","orng-02",2,7
2001,"orange","orng-02",2,32
2002,"orange","orng-02",2,12
2003,"orange","orng-02",2,20
2004,"orange","orng-02",2,12
2005,"orange","orng-02",2,27
2006,"orange","orng-02",2,24
2007,"orange","orng-02",2,12
2008,"orange","orng-02",2,16
2009,"orange","orng-02",2,15
2010,"orange","orng-02",2,10
2011,"orange","orng-02",2,21
2012,"orange","orng-02",2,18
2013,"orange","orng-02",2,12
2014,"orange","orng-02",2,16
2015,"orange","orng-02",2,23
2016,"orange","orng-02",2,14
2017,"orange","orng-02",2,7
2018,"orange","orng-02",2,15
2019,"orange","orng-02",2,8
2020,"orange","orng-02",2,7
2021,"orange","orng-02",2,6
2022,"orange","orng-02",2,9
2023,"orange","orng-02",2,7
2024,"orange","orng-02",2,16
1999,"orange","orng-03",3,13
2000,"orange","orng-03",3,15
2001,"orange","orng-03",3,18
2002,"orange","orng-03",3,13
2003,"orange","orng-03",3,12
2004,"orange","orng-03",3,19
2005,"orange","orng-03",3,20
2006,"orange","orng-03",3,26
2007,"orange","orng-03",3,24
2008,"orange","orng-03",3,19
2009,"orange","orng-03",3,17
2011,"orange","orng-03",3,10
2014,"orange","orng-03",3,5
2015,"orange","orng-03",3,11
2016,"orange","orng-03",3,5
2017,"orange","orng-03",3,13
2018,"orange","orng-03",3,6
2019,"orange","orng-03",3,29
2020,"orange","orng-03",3,14
2021,"orange","orng-03",3,29
2022,"orange","orng-03",3,23
2023,"orange","orng-03",3,19
2024,"orange","orng-03",3,19
1999,"orange","orng-04",4,25
2000,"orange","orng-04",4,29
2001,"orange","orng-04",4,33
