"year","mbbs_county","route","route_num","count","time"
1999,"orange",1,1,7,0
2000,"orange",1,1,6,1
2001,"orange",1,1,5,2
2002,"orange",1,1,11,3
2003,"orange",1,1,9,4
2004,"orange",1,1,13,5
2005,"orange",1,1,10,6
2006,"orange",1,1,10,7
2007,"orange",1,1,8,8
2008,"orange",1,1,8,9
2009,"orange",1,1,5,10
2010,"orange",1,1,11,11
2011,"orange",1,1,9,12
2012,"orange",1,1,20,13
2013,"orange",1,1,18,14
2014,"orange",1,1,14,15
2015,"orange",1,1,10,16
2016,"orange",1,1,7,17
2017,"orange",1,1,13,18
2018,"orange",1,1,9,19
2019,"orange",1,1,6,20
2020,"orange",1,1,19,21
2021,"orange",1,1,8,22
2022,"orange",1,1,3,23
1999,"orange",2,2,5,0
2000,"orange",2,2,3,1
2001,"orange",2,2,6,2
2002,"orange",2,2,3,3
2003,"orange",2,2,5,4
2004,"orange",2,2,3,5
2005,"orange",2,2,3,6
2006,"orange",2,2,0,7
2007,"orange",2,2,9,8
2008,"orange",2,2,8,9
2009,"orange",2,2,6,10
2010,"orange",2,2,4,11
2011,"orange",2,2,6,12
2012,"orange",2,2,7,13
2013,"orange",2,2,2,14
2014,"orange",2,2,4,15
2015,"orange",2,2,4,16
2016,"orange",2,2,4,17
2017,"orange",2,2,0,18
2018,"orange",2,2,0,19
2019,"orange",2,2,1,20
2020,"orange",2,2,0,21
2021,"orange",2,2,5,22
2022,"orange",2,2,1,23
1999,"orange",3,3,16,0
2000,"orange",3,3,13,1
2001,"orange",3,3,10,2
2002,"orange",3,3,11,3
2003,"orange",3,3,14,4
2004,"orange",3,3,9,5
2005,"orange",3,3,9,6
2006,"orange",3,3,9,7
2007,"orange",3,3,3,8
2008,"orange",3,3,10,9
2009,"orange",3,3,8,10
2011,"orange",3,3,11,12
2014,"orange",3,3,5,15
2015,"orange",3,3,4,16
2016,"orange",3,3,1,17
2017,"orange",3,3,3,18
2018,"orange",3,3,2,19
2019,"orange",3,3,8,20
2020,"orange",3,3,15,21
2021,"orange",3,3,9,22
2022,"orange",3,3,16,23
1999,"orange",4,4,0,0
2000,"orange",4,4,2,1
2001,"orange",4,4,6,2
2002,"orange",4,4,2,3
2003,"orange",4,4,3,4
2004,"orange",4,4,2,5
2005,"orange",4,4,5,6
2006,"orange",4,4,0,7
2007,"orange",4,4,1,8
2008,"orange",4,4,6,9
2009,"orange",4,4,5,10
2010,"orange",4,4,2,11
2011,"orange",4,4,25,12
2013,"orange",4,4,5,14
2014,"orange",4,4,7,15
2015,"orange",4,4,4,16
2016,"orange",4,4,3,17
2017,"orange",4,4,6,18
2018,"orange",4,4,5,19
2019,"orange",4,4,4,20
2020,"orange",4,4,2,21
2021,"orange",4,4,3,22
2022,"orange",4,4,4,23
1999,"orange",5,5,10,0
2000,"orange",5,5,3,1
2001,"orange",5,5,12,2
2002,"orange",5,5,16,3
2003,"orange",5,5,9,4
2004,"orange",5,5,14,5
2005,"orange",5,5,14,6
2006,"orange",5,5,14,7
2007,"orange",5,5,9,8
2008,"orange",5,5,11,9
2009,"orange",5,5,9,10
2010,"orange",5,5,13,11
2011,"orange",5,5,17,12
2012,"orange",5,5,10,13
2013,"orange",5,5,11,14
2014,"orange",5,5,10,15
2015,"orange",5,5,7,16
2016,"orange",5,5,6,17
2017,"orange",5,5,9,18
2019,"orange",5,5,12,20
2020,"orange",5,5,12,21
2021,"orange",5,5,13,22
2022,"orange",5,5,9,23
1999,"orange",6,6,4,0
2000,"orange",6,6,4,1
2001,"orange",6,6,5,2
2002,"orange",6,6,1,3
2003,"orange",6,6,7,4
2004,"orange",6,6,3,5
2005,"orange",6,6,5,6
2006,"orange",6,6,2,7
2007,"orange",6,6,9,8
2008,"orange",6,6,8,9
2009,"orange",6,6,2,10
2010,"orange",6,6,8,11
2011,"orange",6,6,4,12
2012,"orange",6,6,7,13
2013,"orange",6,6,4,14
2014,"orange",6,6,4,15
2015,"orange",6,6,1,16
2016,"orange",6,6,4,17
2017,"orange",6,6,3,18
2019,"orange",6,6,2,20
2020,"orange",6,6,0,21
2021,"orange",6,6,3,22
2022,"orange",6,6,5,23
1999,"orange",7,7,16,0
2000,"orange",7,7,14,1
2001,"orange",7,7,7,2
2002,"orange",7,7,21,3
