"year","county","route","count"
1999,"orange","orng-01",0
2000,"orange","orng-01",0
2001,"orange","orng-01",0
2002,"orange","orng-01",0
2003,"orange","orng-01",0
2004,"orange","orng-01",0
2005,"orange","orng-01",0
2006,"orange","orng-01",0
2007,"orange","orng-01",0
2008,"orange","orng-01",0
2009,"orange","orng-01",0
2010,"orange","orng-01",0
2011,"orange","orng-01",0
2012,"orange","orng-01",0
2013,"orange","orng-01",0
2014,"orange","orng-01",0
2015,"orange","orng-01",0
2016,"orange","orng-01",0
2017,"orange","orng-01",0
2018,"orange","orng-01",0
2019,"orange","orng-01",0
2020,"orange","orng-01",0
2021,"orange","orng-01",0
2022,"orange","orng-01",0
2023,"orange","orng-01",0
2024,"orange","orng-01",0
1999,"orange","orng-02",0
2000,"orange","orng-02",0
2001,"orange","orng-02",0
2002,"orange","orng-02",0
2003,"orange","orng-02",0
2004,"orange","orng-02",0
2005,"orange","orng-02",0
2006,"orange","orng-02",0
2007,"orange","orng-02",0
2008,"orange","orng-02",0
2009,"orange","orng-02",0
2010,"orange","orng-02",0
2011,"orange","orng-02",0
2012,"orange","orng-02",0
2013,"orange","orng-02",0
2014,"orange","orng-02",0
2015,"orange","orng-02",0
2016,"orange","orng-02",0
2017,"orange","orng-02",0
2018,"orange","orng-02",0
2019,"orange","orng-02",0
2020,"orange","orng-02",0
2021,"orange","orng-02",0
2022,"orange","orng-02",0
2023,"orange","orng-02",0
2024,"orange","orng-02",0
1999,"orange","orng-03",0
2000,"orange","orng-03",0
2001,"orange","orng-03",0
2002,"orange","orng-03",0
2003,"orange","orng-03",0
2004,"orange","orng-03",0
2005,"orange","orng-03",0
2006,"orange","orng-03",0
2007,"orange","orng-03",0
2008,"orange","orng-03",0
2009,"orange","orng-03",0
2011,"orange","orng-03",0
2014,"orange","orng-03",0
2015,"orange","orng-03",0
2016,"orange","orng-03",0
2017,"orange","orng-03",0
2018,"orange","orng-03",0
2019,"orange","orng-03",0
2020,"orange","orng-03",0
2021,"orange","orng-03",0
2022,"orange","orng-03",0
2023,"orange","orng-03",0
2024,"orange","orng-03",0
1999,"orange","orng-04",0
2000,"orange","orng-04",0
2001,"orange","orng-04",0
2002,"orange","orng-04",0
2003,"orange","orng-04",0
2004,"orange","orng-04",0
2005,"orange","orng-04",0
2006,"orange","orng-04",0
2007,"orange","orng-04",0
2008,"orange","orng-04",0
2009,"orange","orng-04",0
2010,"orange","orng-04",0
2011,"orange","orng-04",0
2013,"orange","orng-04",0
2014,"orange","orng-04",0
2015,"orange","orng-04",0
2016,"orange","orng-04",0
2017,"orange","orng-04",0
2018,"orange","orng-04",0
2019,"orange","orng-04",0
2020,"orange","orng-04",0
2021,"orange","orng-04",0
2022,"orange","orng-04",0
2023,"orange","orng-04",0
2024,"orange","orng-04",0
1999,"orange","orng-05",0
2000,"orange","orng-05",0
2001,"orange","orng-05",0
2002,"orange","orng-05",0
2003,"orange","orng-05",0
2004,"orange","orng-05",0
2005,"orange","orng-05",0
2006,"orange","orng-05",0
2007,"orange","orng-05",0
2008,"orange","orng-05",0
2009,"orange","orng-05",0
2010,"orange","orng-05",0
2011,"orange","orng-05",0
2012,"orange","orng-05",0
2013,"orange","orng-05",0
2014,"orange","orng-05",0
2015,"orange","orng-05",0
2016,"orange","orng-05",0
2017,"orange","orng-05",0
2018,"orange","orng-05",0
2019,"orange","orng-05",0
2020,"orange","orng-05",0
2021,"orange","orng-05",0
2022,"orange","orng-05",0
2023,"orange","orng-05",0
2024,"orange","orng-05",0
1999,"orange","orng-06",0
2000,"orange","orng-06",0
2001,"orange","orng-06",0
