"year","county","route","count"
1999,"orange","orng-01",10
2000,"orange","orng-01",7
2001,"orange","orng-01",3
2002,"orange","orng-01",3
2003,"orange","orng-01",16
2004,"orange","orng-01",14
2005,"orange","orng-01",16
2006,"orange","orng-01",7
2007,"orange","orng-01",6
2008,"orange","orng-01",2
2009,"orange","orng-01",3
2010,"orange","orng-01",6
2011,"orange","orng-01",7
2012,"orange","orng-01",4
2013,"orange","orng-01",3
2014,"orange","orng-01",2
2015,"orange","orng-01",2
2016,"orange","orng-01",10
2017,"orange","orng-01",2
2018,"orange","orng-01",9
2019,"orange","orng-01",14
2020,"orange","orng-01",13
2021,"orange","orng-01",6
2022,"orange","orng-01",2
2023,"orange","orng-01",6
2024,"orange","orng-01",5
1999,"orange","orng-02",7
2000,"orange","orng-02",11
2001,"orange","orng-02",12
2002,"orange","orng-02",11
2003,"orange","orng-02",5
2004,"orange","orng-02",10
2005,"orange","orng-02",9
2006,"orange","orng-02",10
2007,"orange","orng-02",12
2008,"orange","orng-02",7
2009,"orange","orng-02",11
2010,"orange","orng-02",5
2011,"orange","orng-02",7
2012,"orange","orng-02",8
2013,"orange","orng-02",3
2014,"orange","orng-02",2
2015,"orange","orng-02",8
2016,"orange","orng-02",2
2017,"orange","orng-02",9
2018,"orange","orng-02",1
2019,"orange","orng-02",2
2020,"orange","orng-02",0
2021,"orange","orng-02",5
2022,"orange","orng-02",4
2023,"orange","orng-02",6
2024,"orange","orng-02",4
1999,"orange","orng-03",6
2000,"orange","orng-03",9
2001,"orange","orng-03",8
2002,"orange","orng-03",8
2003,"orange","orng-03",5
2004,"orange","orng-03",7
2005,"orange","orng-03",6
2006,"orange","orng-03",5
2007,"orange","orng-03",6
2008,"orange","orng-03",4
2009,"orange","orng-03",4
2011,"orange","orng-03",1
2014,"orange","orng-03",0
2015,"orange","orng-03",1
2016,"orange","orng-03",0
2017,"orange","orng-03",5
2018,"orange","orng-03",0
2019,"orange","orng-03",4
2020,"orange","orng-03",1
2021,"orange","orng-03",9
2022,"orange","orng-03",7
2023,"orange","orng-03",8
2024,"orange","orng-03",7
1999,"orange","orng-04",8
2000,"orange","orng-04",9
2001,"orange","orng-04",4
2002,"orange","orng-04",8
2003,"orange","orng-04",6
2004,"orange","orng-04",5
2005,"orange","orng-04",4
2006,"orange","orng-04",4
2007,"orange","orng-04",4
2008,"orange","orng-04",6
2009,"orange","orng-04",5
2010,"orange","orng-04",3
2011,"orange","orng-04",7
2013,"orange","orng-04",7
2014,"orange","orng-04",5
2015,"orange","orng-04",13
2016,"orange","orng-04",6
2017,"orange","orng-04",5
2018,"orange","orng-04",4
2019,"orange","orng-04",6
2020,"orange","orng-04",7
2021,"orange","orng-04",11
2022,"orange","orng-04",4
2023,"orange","orng-04",6
2024,"orange","orng-04",10
1999,"orange","orng-05",7
2000,"orange","orng-05",4
2001,"orange","orng-05",11
2002,"orange","orng-05",7
2003,"orange","orng-05",9
2004,"orange","orng-05",8
2005,"orange","orng-05",9
2006,"orange","orng-05",6
2007,"orange","orng-05",11
2008,"orange","orng-05",5
2009,"orange","orng-05",6
2010,"orange","orng-05",6
2011,"orange","orng-05",6
2012,"orange","orng-05",9
