"year","county","route","route_num","count"
1999,"orange","orng-01",1,8
2000,"orange","orng-01",1,8
2001,"orange","orng-01",1,10
2002,"orange","orng-01",1,10
2003,"orange","orng-01",1,20
2004,"orange","orng-01",1,12
2005,"orange","orng-01",1,11
2006,"orange","orng-01",1,6
2007,"orange","orng-01",1,9
2008,"orange","orng-01",1,10
2009,"orange","orng-01",1,10
2010,"orange","orng-01",1,9
2011,"orange","orng-01",1,12
2012,"orange","orng-01",1,8
2013,"orange","orng-01",1,12
2014,"orange","orng-01",1,5
2015,"orange","orng-01",1,14
2016,"orange","orng-01",1,9
2017,"orange","orng-01",1,13
2018,"orange","orng-01",1,23
2019,"orange","orng-01",1,13
2020,"orange","orng-01",1,12
2021,"orange","orng-01",1,6
2022,"orange","orng-01",1,12
2023,"orange","orng-01",1,12
2024,"orange","orng-01",1,14
1999,"orange","orng-02",2,14
2000,"orange","orng-02",2,18
2001,"orange","orng-02",2,8
2002,"orange","orng-02",2,11
2003,"orange","orng-02",2,11
2004,"orange","orng-02",2,17
2005,"orange","orng-02",2,16
2006,"orange","orng-02",2,14
2007,"orange","orng-02",2,8
2008,"orange","orng-02",2,15
2009,"orange","orng-02",2,13
2010,"orange","orng-02",2,8
2011,"orange","orng-02",2,14
2012,"orange","orng-02",2,17
2013,"orange","orng-02",2,12
2014,"orange","orng-02",2,9
2015,"orange","orng-02",2,18
2016,"orange","orng-02",2,6
2017,"orange","orng-02",2,6
2018,"orange","orng-02",2,10
2019,"orange","orng-02",2,2
2020,"orange","orng-02",2,3
2021,"orange","orng-02",2,8
2022,"orange","orng-02",2,5
2023,"orange","orng-02",2,7
2024,"orange","orng-02",2,9
1999,"orange","orng-03",3,11
2000,"orange","orng-03",3,13
2001,"orange","orng-03",3,9
2002,"orange","orng-03",3,5
2003,"orange","orng-03",3,10
2004,"orange","orng-03",3,5
2005,"orange","orng-03",3,1
2006,"orange","orng-03",3,5
2007,"orange","orng-03",3,3
2008,"orange","orng-03",3,9
2009,"orange","orng-03",3,7
2011,"orange","orng-03",3,5
2014,"orange","orng-03",3,6
2015,"orange","orng-03",3,10
2016,"orange","orng-03",3,3
2017,"orange","orng-03",3,15
2018,"orange","orng-03",3,5
2019,"orange","orng-03",3,3
2020,"orange","orng-03",3,7
2021,"orange","orng-03",3,8
2022,"orange","orng-03",3,3
2023,"orange","orng-03",3,9
2024,"orange","orng-03",3,7
1999,"orange","orng-04",4,11
2000,"orange","orng-04",4,7
2001,"orange","orng-04",4,14
2002,"orange","orng-04",4,5
2003,"orange","orng-04",4,11
2004,"orange","orng-04",4,6
2005,"orange","orng-04",4,7
2006,"orange","orng-04",4,13
2007,"orange","orng-04",4,3
2008,"orange","orng-04",4,8
2009,"orange","orng-04",4,13
2010,"orange","orng-04",4,12
2011,"orange","orng-04",4,16
2013,"orange","orng-04",4,13
2014,"orange","orng-04",4,8
2015,"orange","orng-04",4,25
2016,"orange","orng-04",4,8
2017,"orange","orng-04",4,22
2018,"orange","orng-04",4,24
2019,"orange","orng-04",4,13
2020,"orange","orng-04",4,24
2021,"orange","orng-04",4,19
2022,"orange","orng-04",4,15
2023,"orange","orng-04",4,18
2024,"orange","orng-04",4,9
1999,"orange","orng-05",5,8
2000,"orange","orng-05",5,13
2001,"orange","orng-05",5,13
2002,"orange","orng-05",5,8
2003,"orange","orng-05",5,7
2004,"orange","orng-05",5,20
2005,"orange","orng-05",5,7
2006,"orange","orng-05",5,7
2007,"orange","orng-05",5,4
2008,"orange","orng-05",5,12
2009,"orange","orng-05",5,10
2010,"orange","orng-05",5,12
2011,"orange","orng-05",5,10
2012,"orange","orng-05",5,16
2013,"orange","orng-05",5,15
2014,"orange","orng-05",5,9
2015,"orange","orng-05",5,16
2016,"orange","orng-05",5,19
2017,"orange","orng-05",5,20
2018,"orange","orng-05",5,12
2019,"orange","orng-05",5,20
2020,"orange","orng-05",5,12
2021,"orange","orng-05",5,12
2022,"orange","orng-05",5,15
2023,"orange","orng-05",5,12
2024,"orange","orng-05",5,14
1999,"orange","orng-06",6,8
2000,"orange","orng-06",6,11
2001,"orange","orng-06",6,20
2002,"orange","orng-06",6,27
2003,"orange","orng-06",6,19
2004,"orange","orng-06",6,27
2005,"orange","orng-06",6,7
2006,"orange","orng-06",6,14
2007,"orange","orng-06",6,4
2008,"orange","orng-06",6,5
2009,"orange","orng-06",6,6
2010,"orange","orng-06",6,1
2011,"orange","orng-06",6,13
2012,"orange","orng-06",6,12
2013,"orange","orng-06",6,10
2014,"orange","orng-06",6,19
2015,"orange","orng-06",6,15
2016,"orange","orng-06",6,13
2017,"orange","orng-06",6,11
2019,"orange","orng-06",6,15
2020,"orange","orng-06",6,12
2021,"orange","orng-06",6,24
2022,"orange","orng-06",6,13
2023,"orange","orng-06",6,13
2024,"orange","orng-06",6,21
1999,"orange","orng-07",7,19
2000,"orange","orng-07",7,18
2001,"orange","orng-07",7,14
2002,"orange","orng-07",7,17
2003,"orange","orng-07",7,15
2004,"orange","orng-07",7,13
2005,"orange","orng-07",7,9
2006,"orange","orng-07",7,10
2007,"orange","orng-07",7,12
2008,"orange","orng-07",7,17
2009,"orange","orng-07",7,9
2010,"orange","orng-07",7,11
2011,"orange","orng-07",7,17
2012,"orange","orng-07",7,21
2014,"orange","orng-07",7,15
2015,"orange","orng-07",7,12
2016,"orange","orng-07",7,9
2017,"orange","orng-07",7,22
2018,"orange","orng-07",7,11
2019,"orange","orng-07",7,9
2020,"orange","orng-07",7,8
2021,"orange","orng-07",7,6
