ROWNUM	COUNTY	YEAR	ROUTE	DATE1	DATE2	HABHM	HABP	HABO	HABB	HABCH	VEHICLES	DCCO	GBHE	GRHE	BLVU	TUVU	CAGO	WODU	MALL	OSPR	SSHA	COHA	acsp	RSHA	BWHA	RTHA	WITU	NOBO	KILL	ROPI	MODO	YBCU	EASO	GHOW	BAOW	CONI	CWWI	WPWI	CHSW	RTHU	BEKI	RHWO	RBWO	DOWO	HAWO	NOFL	PIWO	EAWP	ACFL	WIFL	EAPH	GCFL	EAKI	LOSH	WEVI	YTVI	BHVI	WAVI	REVI	BLJA	AMCR	FICR	PUMA	TRSW	NRWS	CLSW	BARS	CACH	TUTI	WBNU	BHNU	CARW	HOWR	BGGN	EABL	WOTH	AMRO	GRCA	NOMO	BRTH	EUST	CEDW	NOPA	YEWA	YTWA	PIWA	PRAW	BAWW	AMRE	PROW	OVEN	LOWA	KEWA	COYE	HOWA	YBCH	SUTA	SCTA	EATO	CHSP	FISP	GRSP	SOSP	NOCA	BLGR	INBU	DICK	RWBL	EAME	COGR	BHCO	OROR	BAOR	HOFI	AMGO	HOSP	SPX1	SPX2	TOTALRT
1	ORANGE	1999	1	6/6	37	X	X	X	X	X	X	0	0	1	0	1	28	0	0	0	0	0	0	0	0	3	0	1	2	0	18	1	0	0	0	0	0	0	3	0	0	0	4	2	0	0	0	6	1	0	2	1	2	0	0	0	0	0	10	0	29	0	0	0	0	0	12	0	8	1	0	12	0	9	9	4	2	1	7	0	17	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	2	1	7	2	3	0	5	3	11	0	1	14	10	2	0	0	5	2	0	0	0	269
2	ORANGE	1999	2	5/23	23	X	X	X	X	X	X	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	16	0	0	0	0	0	0	0	7	0	0	0	7	1	2	0	0	2	0	0	5	2	0	0	0	0	0	0	7	1	0	0	0	0	0	0	2	5	14	0	0	2	0	8	6	6	6	0	5	0	6	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	5	2	1	16	4	8	0	3	2	2	1	0	0	0	5	0	0	0	166
3	ORANGE	1999	3	6/6	37	X	X	X	X	X	X	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	1	0	0	39	0	0	0	0	0	0	0	5	0	0	0	6	1	1	0	0	3	0	0	0	2	0	0	1	0	0	0	6	7	22	0	0	0	0	0	0	9	11	2	1	11	0	3	17	15	9	1	16	5	21	0	0	0	0	11	0	0	0	0	1	0	0	0	0	0	1	0	5	19	5	0	0	13	2	10	0	0	13	23	0	0	0	3	8	10	0	0	347
4	ORANGE	1999	4	5/30	30	X	X	X	X	X	X	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	7	0	0	0	0	0	0	0	2	0	0	0	5	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	8	6	29	1	0	0	0	0	0	11	11	2	0	20	0	2	1	3	3	0	0	1	4	0	1	0	0	7	0	0	0	0	0	0	0	0	0	3	0	1	4	4	2	0	0	25	0	11	0	1	0	1	6	1	0	3	2	1	0	0	194
5	ORANGE	1999	5	6/12	43	X	X	X	X	X	X	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	0	40	0	0	0	0	0	0	0	4	1	0	0	9	8	0	1	1	2	0	0	4	3	0	0	0	0	0	0	7	1	34	0	0	0	2	0	12	10	8	3	1	27	0	7	6	3	2	0	10	3	15	0	0	0	0	15	3	0	0	0	2	0	0	2	0	3	1	1	3	12	3	3	0	24	2	27	0	8	20	33	0	1	1	12	8	6	0	0	420
6	ORANGE	1999	6	6/13	44	X	X	X	X	X	X	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	8	0	0	0	0	0	1	0	0	1	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	11	2	24	2	0	0	0	0	0	10	8	0	0	13	0	11	6	10	0	4	4	2	4	0	0	0	0	10	1	0	0	0	0	0	0	0	0	1	0	0	7	5	0	0	0	30	1	4	0	1	0	54	0	0	0	4	4	0	0	0	250
7	ORANGE	1999	7	6/10	41	X	X	X	X	X	X	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	8	0	11	0	0	0	0	0	0	0	5	0	0	0	2	0	0	0	0	4	1	0	2	0	0	0	0	1	0	0	18	1	19	0	0	0	0	0	0	11	19	0	0	19	0	4	14	5	13	1	16	0	0	0	0	0	0	3	0	0	0	0	1	0	0	6	0	0	4	0	5	15	5	0	0	19	1	21	0	6	8	4	4	1	0	9	1	3	0	0	293
8	ORANGE	1999	8	5/30	30	X	X	X	X	X	X	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	2	1	0	28	1	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	9	0	0	3	2	0	0	0	0	0	0	8	1	23	0	0	0	0	0	0	1	17	2	0	18	0	5	5	7	3	0	5	1	5	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	6	11	7	0	0	22	1	11	0	1	6	8	0	0	0	0	7	4	0	0	243
9	ORANGE	1999	9	5/31	31	X	X	X	X	X	X	0	0	0	0	1	2	0	0	0	0	0	0	2	0	0	0	0	1	0	12	0	0	0	1	0	0	0	8	0	0	0	11	3	1	4	0	2	0	0	0	0	3	0	0	0	0	0	14	7	17	0	0	0	0	0	1	20	9	3	1	3	0	5	3	3	6	0	5	0	1	0	0	0	0	5	0	0	0	0	8	0	0	7	0	1	0	0	2	12	2	0	0	31	1	8	0	5	1	14	4	0	0	2	12	0	0	0	264
10	ORANGE	1999	10	6/13	44	X	X	X	X	X	X	0	1	0	0	0	19	0	4	0	0	1	0	2	0	0	0	0	2	0	27	3	0	0	1	0	0	1	7	0	0	0	9	4	0	0	0	3	0	0	0	1	4	0	2	1	0	0	17	12	22	0	0	0	0	0	18	6	16	1	0	25	0	9	10	11	4	1	7	2	26	0	0	0	0	16	0	0	0	0	2	0	0	3	0	1	1	1	1	10	3	1	0	23	4	12	0	5	4	15	2	0	0	4	3	2	0	0	392
11	ORANGE	1999	11	6/6	47	X	X	X	X	X	X	0	0	0	0	0	8	0	0	0	0	1	0	2	0	0	0	0	0	0	16	0	0	0	1	0	0	0	10	0	0	0	6	1	0	0	0	7	2	0	13	0	1	0	0	0	0	0	8	6	38	0	0	0	0	0	0	19	25	2	0	18	2	0	11	7	3	2	9	1	21	0	0	0	0	10	0	0	0	0	8	0	0	0	0	1	3	0	8	2	2	0	0	43	12	4	0	4	6	40	0	0	0	1	18	0	0	0	402
12	ORANGE	1999	12	5/23	23	X	X	X	X	X	X	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	8	0	0	0	7	1	0	2	0	1	0	0	0	5	0	0	0	0	0	0	6	1	17	2	0	0	0	0	3	7	13	0	3	18	1	5	1	5	22	8	8	1	36	0	0	0	0	16	0	0	0	0	3	1	0	1	0	0	5	1	13	6	1	0	0	48	3	3	0	5	1	18	1	1	0	5	6	0	0	0	330
13	ORANGE	1999	TOTALSP	X	430	X	X	X	X	X	X	0	2	4	1	3	77	0	4	0	0	2	0	7	0	4	0	7	16	0	229	5	0	0	3	0	1	1	59	2	0	0	73	22	4	7	1	40	5	0	32	16	10	0	3	2	0	0	120	45	274	5	0	0	2	0	48	109	159	16	6	186	3	68	89	79	73	18	92	16	156	0	1	0	2	94	4	0	0	0	29	1	0	21	0	10	16	6	55	103	37	9	1	299	34	130	0	40	75	222	20	4	1	48	76	26	0	0	3570
