"year","county","route","route_num","count"
1999,"orange","orng-01",1,17
2000,"orange","orng-01",1,33
2001,"orange","orng-01",1,35
2002,"orange","orng-01",1,28
2003,"orange","orng-01",1,21
2004,"orange","orng-01",1,30
2005,"orange","orng-01",1,31
2006,"orange","orng-01",1,29
2007,"orange","orng-01",1,20
2008,"orange","orng-01",1,23
2009,"orange","orng-01",1,24
2010,"orange","orng-01",1,31
2011,"orange","orng-01",1,26
2012,"orange","orng-01",1,25
2013,"orange","orng-01",1,23
2014,"orange","orng-01",1,26
2015,"orange","orng-01",1,22
2016,"orange","orng-01",1,26
2017,"orange","orng-01",1,25
2018,"orange","orng-01",1,33
2019,"orange","orng-01",1,27
2020,"orange","orng-01",1,22
2021,"orange","orng-01",1,16
2022,"orange","orng-01",1,31
2023,"orange","orng-01",1,39
2024,"orange","orng-01",1,18
2025,"orange","orng-01",1,23
1999,"orange","orng-02",2,0
2000,"orange","orng-02",2,21
2001,"orange","orng-02",2,25
2002,"orange","orng-02",2,22
2003,"orange","orng-02",2,15
2004,"orange","orng-02",2,10
2005,"orange","orng-02",2,16
2006,"orange","orng-02",2,32
2007,"orange","orng-02",2,33
2008,"orange","orng-02",2,16
2009,"orange","orng-02",2,16
2010,"orange","orng-02",2,12
2011,"orange","orng-02",2,17
2012,"orange","orng-02",2,33
2013,"orange","orng-02",2,29
2014,"orange","orng-02",2,27
2015,"orange","orng-02",2,16
2016,"orange","orng-02",2,12
2017,"orange","orng-02",2,15
2018,"orange","orng-02",2,16
2019,"orange","orng-02",2,11
2020,"orange","orng-02",2,14
2021,"orange","orng-02",2,9
2022,"orange","orng-02",2,11
2023,"orange","orng-02",2,17
2024,"orange","orng-02",2,23
2025,"orange","orng-02",2,16
1999,"orange","orng-03",3,22
2000,"orange","orng-03",3,23
2001,"orange","orng-03",3,18
2002,"orange","orng-03",3,31
2003,"orange","orng-03",3,32
2004,"orange","orng-03",3,15
2005,"orange","orng-03",3,26
2006,"orange","orng-03",3,23
2007,"orange","orng-03",3,20
2008,"orange","orng-03",3,26
2009,"orange","orng-03",3,18
2011,"orange","orng-03",3,17
2014,"orange","orng-03",3,26
2015,"orange","orng-03",3,23
2016,"orange","orng-03",3,25
2017,"orange","orng-03",3,27
2018,"orange","orng-03",3,12
2019,"orange","orng-03",3,28
2020,"orange","orng-03",3,33
2021,"orange","orng-03",3,32
2022,"orange","orng-03",3,32
2023,"orange","orng-03",3,37
2024,"orange","orng-03",3,33
2025,"orange","orng-03",3,27
1999,"orange","orng-04",4,29
2000,"orange","orng-04",4,36
2001,"orange","orng-04",4,30
2002,"orange","orng-04",4,26
2003,"orange","orng-04",4,19
2004,"orange","orng-04",4,25
2005,"orange","orng-04",4,35
2006,"orange","orng-04",4,25
2007,"orange","orng-04",4,27
2008,"orange","orng-04",4,28
2009,"orange","orng-04",4,18
2010,"orange","orng-04",4,17
2011,"orange","orng-04",4,38
2013,"orange","orng-04",4,26
2014,"orange","orng-04",4,21
2015,"orange","orng-04",4,20
2016,"orange","orng-04",4,15
2017,"orange","orng-04",4,19
2018,"orange","orng-04",4,22
2019,"orange","orng-04",4,25
2020,"orange","orng-04",4,22
2021,"orange","orng-04",4,24
2022,"orange","orng-04",4,23
2023,"orange","orng-04",4,18
2024,"orange","orng-04",4,25
2025,"orange","orng-04",4,26
1999,"orange","orng-05",5,34
2000,"orange","orng-05",5,28
2001,"orange","orng-05",5,42
2002,"orange","orng-05",5,25
2003,"orange","orng-05",5,30
2004,"orange","orng-05",5,31
2005,"orange","orng-05",5,23
2006,"orange","orng-05",5,24
2007,"orange","orng-05",5,20
2008,"orange","orng-05",5,31
2009,"orange","orng-05",5,28
2010,"orange","orng-05",5,32
2011,"orange","orng-05",5,43
2012,"orange","orng-05",5,34
2013,"orange","orng-05",5,41
2014,"orange","orng-05",5,42
2015,"orange","orng-05",5,34
2016,"orange","orng-05",5,32
2017,"orange","orng-05",5,28
2018,"orange","orng-05",5,34
2019,"orange","orng-05",5,28
2020,"orange","orng-05",5,39
2021,"orange","orng-05",5,20
2022,"orange","orng-05",5,21
2023,"orange","orng-05",5,33
2024,"orange","orng-05",5,29
2025,"orange","orng-05",5,31
1999,"orange","orng-06",6,24
2000,"orange","orng-06",6,29
2001,"orange","orng-06",6,29
2002,"orange","orng-06",6,41
2003,"orange","orng-06",6,28
2004,"orange","orng-06",6,21
2005,"orange","orng-06",6,14
2006,"orange","orng-06",6,14
2007,"orange","orng-06",6,26
2008,"orange","orng-06",6,23
2009,"orange","orng-06",6,12
2010,"orange","orng-06",6,22
2011,"orange","orng-06",6,10
2012,"orange","orng-06",6,24
2013,"orange","orng-06",6,10
2014,"orange","orng-06",6,15
2015,"orange","orng-06",6,15
2016,"orange","orng-06",6,16
2017,"orange","orng-06",6,17
2019,"orange","orng-06",6,16
2020,"orange","orng-06",6,25
2021,"orange","orng-06",6,18
2022,"orange","orng-06",6,19
2023,"orange","orng-06",6,13
2024,"orange","orng-06",6,13
2025,"orange","orng-06",6,15
1999,"orange","orng-07",7,19
2000,"orange","orng-07",7,25
2001,"orange","orng-07",7,25
2002,"orange","orng-07",7,23
2003,"orange","orng-07",7,15
2004,"orange","orng-07",7,15
2005,"orange","orng-07",7,13
2006,"orange","orng-07",7,22
2007,"orange","orng-07",7,18
2008,"orange","orng-07",7,18
2009,"orange","orng-07",7,18
2010,"orange","orng-07",7,11
2011,"orange","orng-07",7,15
2012,"orange","orng-07",7,18
2014,"orange","orng-07",7,22
2015,"orange","orng-07",7,34
2016,"orange","orng-07",7,28
2017,"orange","orng-07",7,25
2018,"orange","orng-07",7,34
2019,"orange","orng-07",7,24
2020,"orange","orng-07",7,24
2021,"orange","orng-07",7,26
2022,"orange","orng-07",7,21
2023,"orange","orng-07",7,23
2024,"orange","orng-07",7,29
2025,"orange","orng-07",7,29
1999,"orange","orng-08",8,23
2000,"orange","orng-08",8,13
2001,"orange","orng-08",8,28
2002,"orange","orng-08",8,13
2003,"orange","orng-08",8,18
2004,"orange","orng-08",8,21
2005,"orange","orng-08",8,15
2006,"orange","orng-08",8,29
2007,"orange","orng-08",8,40
2008,"orange","orng-08",8,39
2009,"orange","orng-08",8,21
2010,"orange","orng-08",8,13
2011,"orange","orng-08",8,33
2012,"orange","orng-08",8,40
2013,"orange","orng-08",8,16
2014,"orange","orng-08",8,18
2015,"orange","orng-08",8,22
2016,"orange","orng-08",8,17
2017,"orange","orng-08",8,16
2018,"orange","orng-08",8,16
2019,"orange","orng-08",8,17
2020,"orange","orng-08",8,13
2021,"orange","orng-08",8,15
2022,"orange","orng-08",8,15
2023,"orange","orng-08",8,16
2024,"orange","orng-08",8,16
2025,"orange","orng-08",8,36
1999,"orange","orng-09",9,17
2000,"orange","orng-09",9,18
2001,"orange","orng-09",9,9
2002,"orange","orng-09",9,28
2004,"orange","orng-09",9,6
2005,"orange","orng-09",9,22
2006,"orange","orng-09",9,29
2007,"orange","orng-09",9,34
2008,"orange","orng-09",9,44
2009,"orange","orng-09",9,39
2011,"orange","orng-09",9,39
2012,"orange","orng-09",9,39
2013,"orange","orng-09",9,39
2014,"orange","orng-09",9,46
2015,"orange","orng-09",9,36
2016,"orange","orng-09",9,35
2019,"orange","orng-09",9,17
2020,"orange","orng-09",9,24
2021,"orange","orng-09",9,11
2022,"orange","orng-09",9,21
2023,"orange","orng-09",9,15
2024,"orange","orng-09",9,21
2025,"orange","orng-09",9,13
1999,"orange","orng-10",10,22
2000,"orange","orng-10",10,26
2001,"orange","orng-10",10,29
2002,"orange","orng-10",10,26
2003,"orange","orng-10",10,23
2004,"orange","orng-10",10,14
2005,"orange","orng-10",10,24
2006,"orange","orng-10",10,27
2007,"orange","orng-10",10,34
2008,"orange","orng-10",10,26
2009,"orange","orng-10",10,33
2012,"orange","orng-10",10,70
2013,"orange","orng-10",10,48
2016,"orange","orng-10",10,20
2017,"orange","orng-10",10,26
2018,"orange","orng-10",10,19
2019,"orange","orng-10",10,19
2020,"orange","orng-10",10,37
2021,"orange","orng-10",10,14
2023,"orange","orng-10",10,29
2024,"orange","orng-10",10,18
2025,"orange","orng-10",10,8
1999,"orange","orng-11",11,38
2000,"orange","orng-11",11,42
2001,"orange","orng-11",11,31
2002,"orange","orng-11",11,30
2003,"orange","orng-11",11,26
2004,"orange","orng-11",11,31
2005,"orange","orng-11",11,27
2006,"orange","orng-11",11,23
2007,"orange","orng-11",11,23
2008,"orange","orng-11",11,32
2009,"orange","orng-11",11,32
2017,"orange","orng-11",11,33
2018,"orange","orng-11",11,28
2019,"orange","orng-11",11,20
2020,"orange","orng-11",11,28
2021,"orange","orng-11",11,23
2022,"orange","orng-11",11,20
2023,"orange","orng-11",11,32
2024,"orange","orng-11",11,29
2025,"orange","orng-11",11,21
1999,"orange","orng-12",12,17
2000,"orange","orng-12",12,10
2001,"orange","orng-12",12,30
2002,"orange","orng-12",12,14
2003,"orange","orng-12",12,14
2004,"orange","orng-12",12,16
2005,"orange","orng-12",12,16
2006,"orange","orng-12",12,8
2007,"orange","orng-12",12,10
2008,"orange","orng-12",12,9
2009,"orange","orng-12",12,4
2010,"orange","orng-12",12,9
2011,"orange","orng-12",12,5
2012,"orange","orng-12",12,10
2013,"orange","orng-12",12,6
2014,"orange","orng-12",12,8
2015,"orange","orng-12",12,9
2016,"orange","orng-12",12,3
2017,"orange","orng-12",12,8
2018,"orange","orng-12",12,5
2019,"orange","orng-12",12,6
2020,"orange","orng-12",12,4
