"year","county","route","count"
1999,"orange","orng-01",2
2000,"orange","orng-01",2
2001,"orange","orng-01",2
2002,"orange","orng-01",3
2003,"orange","orng-01",5
2004,"orange","orng-01",3
2005,"orange","orng-01",5
2006,"orange","orng-01",0
2007,"orange","orng-01",1
2008,"orange","orng-01",3
2009,"orange","orng-01",8
2010,"orange","orng-01",4
2011,"orange","orng-01",3
2012,"orange","orng-01",4
2013,"orange","orng-01",1
2014,"orange","orng-01",2
2015,"orange","orng-01",4
2016,"orange","orng-01",1
2017,"orange","orng-01",2
2018,"orange","orng-01",2
2019,"orange","orng-01",1
2020,"orange","orng-01",1
2021,"orange","orng-01",0
2022,"orange","orng-01",1
2023,"orange","orng-01",0
2024,"orange","orng-01",0
1999,"orange","orng-02",6
2000,"orange","orng-02",0
2001,"orange","orng-02",2
2002,"orange","orng-02",3
2003,"orange","orng-02",3
2004,"orange","orng-02",4
2005,"orange","orng-02",5
2006,"orange","orng-02",3
2007,"orange","orng-02",4
2008,"orange","orng-02",4
2009,"orange","orng-02",0
2010,"orange","orng-02",2
2011,"orange","orng-02",0
2012,"orange","orng-02",0
2013,"orange","orng-02",0
2014,"orange","orng-02",0
2015,"orange","orng-02",4
2016,"orange","orng-02",0
2017,"orange","orng-02",0
2018,"orange","orng-02",0
2019,"orange","orng-02",0
2020,"orange","orng-02",0
2021,"orange","orng-02",0
2022,"orange","orng-02",0
2023,"orange","orng-02",0
2024,"orange","orng-02",0
1999,"orange","orng-03",9
2000,"orange","orng-03",8
2001,"orange","orng-03",21
2002,"orange","orng-03",17
2003,"orange","orng-03",12
2004,"orange","orng-03",10
2005,"orange","orng-03",3
2006,"orange","orng-03",7
2007,"orange","orng-03",9
2008,"orange","orng-03",9
2009,"orange","orng-03",10
2011,"orange","orng-03",10
2014,"orange","orng-03",2
2015,"orange","orng-03",7
2016,"orange","orng-03",1
2017,"orange","orng-03",0
2018,"orange","orng-03",1
2019,"orange","orng-03",0
2020,"orange","orng-03",2
2021,"orange","orng-03",0
2022,"orange","orng-03",0
2023,"orange","orng-03",1
2024,"orange","orng-03",1
1999,"orange","orng-04",3
2000,"orange","orng-04",4
2001,"orange","orng-04",3
2002,"orange","orng-04",1
2003,"orange","orng-04",3
2004,"orange","orng-04",0
2005,"orange","orng-04",1
2006,"orange","orng-04",4
2007,"orange","orng-04",1
2008,"orange","orng-04",2
2009,"orange","orng-04",3
2010,"orange","orng-04",6
2011,"orange","orng-04",9
2013,"orange","orng-04",4
2014,"orange","orng-04",5
2015,"orange","orng-04",2
2016,"orange","orng-04",3
2017,"orange","orng-04",0
2018,"orange","orng-04",8
2019,"orange","orng-04",3
2020,"orange","orng-04",2
2021,"orange","orng-04",0
2022,"orange","orng-04",0
2023,"orange","orng-04",1
2024,"orange","orng-04",0
1999,"orange","orng-05",2
2000,"orange","orng-05",3
2001,"orange","orng-05",3
2002,"orange","orng-05",2
2003,"orange","orng-05",1
2004,"orange","orng-05",1
2005,"orange","orng-05",2
2006,"orange","orng-05",7
2007,"orange","orng-05",4
2008,"orange","orng-05",3
2009,"orange","orng-05",12
2010,"orange","orng-05",1
2011,"orange","orng-05",0
2012,"orange","orng-05",1
2013,"orange","orng-05",0
2014,"orange","orng-05",1
2015,"orange","orng-05",0
2016,"orange","orng-05",2
2017,"orange","orng-05",0
2018,"orange","orng-05",1
2019,"orange","orng-05",0
2020,"orange","orng-05",1
2021,"orange","orng-05",2
2022,"orange","orng-05",1
2023,"orange","orng-05",1
2024,"orange","orng-05",1
