"year","county","route","route_num","count"
1999,"orange","orng-01",1,12
2000,"orange","orng-01",1,7
2001,"orange","orng-01",1,9
2002,"orange","orng-01",1,8
2003,"orange","orng-01",1,8
2004,"orange","orng-01",1,9
2005,"orange","orng-01",1,8
2006,"orange","orng-01",1,6
2007,"orange","orng-01",1,2
2008,"orange","orng-01",1,5
2009,"orange","orng-01",1,10
2010,"orange","orng-01",1,3
2011,"orange","orng-01",1,0
2012,"orange","orng-01",1,4
2013,"orange","orng-01",1,9
2014,"orange","orng-01",1,12
2015,"orange","orng-01",1,1
2016,"orange","orng-01",1,3
2017,"orange","orng-01",1,3
2018,"orange","orng-01",1,5
2019,"orange","orng-01",1,2
2020,"orange","orng-01",1,1
2021,"orange","orng-01",1,3
2022,"orange","orng-01",1,3
2023,"orange","orng-01",1,2
2024,"orange","orng-01",1,0
2025,"orange","orng-01",1,2
1999,"orange","orng-02",2,2
2000,"orange","orng-02",2,2
2001,"orange","orng-02",2,1
2002,"orange","orng-02",2,0
2003,"orange","orng-02",2,0
2004,"orange","orng-02",2,3
2005,"orange","orng-02",2,0
2006,"orange","orng-02",2,0
2007,"orange","orng-02",2,0
2008,"orange","orng-02",2,0
2009,"orange","orng-02",2,0
2010,"orange","orng-02",2,1
2011,"orange","orng-02",2,2
2012,"orange","orng-02",2,1
2013,"orange","orng-02",2,0
2014,"orange","orng-02",2,0
2015,"orange","orng-02",2,1
2016,"orange","orng-02",2,2
2017,"orange","orng-02",2,0
2018,"orange","orng-02",2,0
2019,"orange","orng-02",2,0
2020,"orange","orng-02",2,0
2021,"orange","orng-02",2,0
2022,"orange","orng-02",2,0
2023,"orange","orng-02",2,0
2024,"orange","orng-02",2,0
2025,"orange","orng-02",2,0
1999,"orange","orng-03",3,0
2000,"orange","orng-03",3,0
2001,"orange","orng-03",3,0
2002,"orange","orng-03",3,0
2003,"orange","orng-03",3,0
2004,"orange","orng-03",3,0
2005,"orange","orng-03",3,1
2006,"orange","orng-03",3,0
2007,"orange","orng-03",3,1
2008,"orange","orng-03",3,0
2009,"orange","orng-03",3,0
2011,"orange","orng-03",3,4
2014,"orange","orng-03",3,3
2015,"orange","orng-03",3,0
2016,"orange","orng-03",3,0
2017,"orange","orng-03",3,0
2018,"orange","orng-03",3,1
2019,"orange","orng-03",3,0
2020,"orange","orng-03",3,0
2021,"orange","orng-03",3,0
2022,"orange","orng-03",3,0
2023,"orange","orng-03",3,0
2024,"orange","orng-03",3,0
2025,"orange","orng-03",3,0
1999,"orange","orng-04",4,0
2000,"orange","orng-04",4,0
2001,"orange","orng-04",4,1
2002,"orange","orng-04",4,0
2003,"orange","orng-04",4,0
2004,"orange","orng-04",4,0
2005,"orange","orng-04",4,0
2006,"orange","orng-04",4,0
2007,"orange","orng-04",4,0
2008,"orange","orng-04",4,0
2009,"orange","orng-04",4,0
2010,"orange","orng-04",4,2
2011,"orange","orng-04",4,0
2013,"orange","orng-04",4,0
2014,"orange","orng-04",4,2
2015,"orange","orng-04",4,1
2016,"orange","orng-04",4,1
2017,"orange","orng-04",4,1
2018,"orange","orng-04",4,0
2019,"orange","orng-04",4,1
2020,"orange","orng-04",4,0
