"year","county","route","count"
1999,"orange","orng-01",12
2000,"orange","orng-01",4
2001,"orange","orng-01",4
2002,"orange","orng-01",6
2003,"orange","orng-01",15
2004,"orange","orng-01",18
2005,"orange","orng-01",23
2006,"orange","orng-01",15
2007,"orange","orng-01",13
2008,"orange","orng-01",10
2009,"orange","orng-01",9
2010,"orange","orng-01",5
2011,"orange","orng-01",7
2012,"orange","orng-01",4
2013,"orange","orng-01",3
2014,"orange","orng-01",10
2015,"orange","orng-01",11
2016,"orange","orng-01",8
2017,"orange","orng-01",9
2018,"orange","orng-01",16
2019,"orange","orng-01",4
2020,"orange","orng-01",5
2021,"orange","orng-01",9
2022,"orange","orng-01",21
2023,"orange","orng-01",10
2024,"orange","orng-01",17
1999,"orange","orng-02",2
2000,"orange","orng-02",5
2001,"orange","orng-02",4
2002,"orange","orng-02",8
2003,"orange","orng-02",9
2004,"orange","orng-02",9
2005,"orange","orng-02",12
2006,"orange","orng-02",22
2007,"orange","orng-02",13
2008,"orange","orng-02",11
2009,"orange","orng-02",12
2010,"orange","orng-02",20
2011,"orange","orng-02",12
2012,"orange","orng-02",5
2013,"orange","orng-02",10
2014,"orange","orng-02",11
2015,"orange","orng-02",9
2016,"orange","orng-02",10
2017,"orange","orng-02",14
2018,"orange","orng-02",3
2019,"orange","orng-02",8
2020,"orange","orng-02",1
2021,"orange","orng-02",14
2022,"orange","orng-02",11
2023,"orange","orng-02",12
2024,"orange","orng-02",21
1999,"orange","orng-03",11
2000,"orange","orng-03",9
2001,"orange","orng-03",13
2002,"orange","orng-03",11
2003,"orange","orng-03",14
2004,"orange","orng-03",9
2005,"orange","orng-03",12
2006,"orange","orng-03",17
2007,"orange","orng-03",12
2008,"orange","orng-03",10
2009,"orange","orng-03",9
2011,"orange","orng-03",6
2014,"orange","orng-03",8
2015,"orange","orng-03",12
2016,"orange","orng-03",4
2017,"orange","orng-03",9
2018,"orange","orng-03",4
2019,"orange","orng-03",33
2020,"orange","orng-03",9
2021,"orange","orng-03",18
2022,"orange","orng-03",20
2023,"orange","orng-03",19
2024,"orange","orng-03",21
1999,"orange","orng-04",20
2000,"orange","orng-04",16
2001,"orange","orng-04",12
2002,"orange","orng-04",13
2003,"orange","orng-04",11
2004,"orange","orng-04",18
2005,"orange","orng-04",16
2006,"orange","orng-04",15
2007,"orange","orng-04",17
2008,"orange","orng-04",9
2009,"orange","orng-04",21
2010,"orange","orng-04",39
2011,"orange","orng-04",38
2013,"orange","orng-04",17
2014,"orange","orng-04",12
2015,"orange","orng-04",14
2016,"orange","orng-04",22
2017,"orange","orng-04",18
2018,"orange","orng-04",21
2019,"orange","orng-04",22
2020,"orange","orng-04",23
2021,"orange","orng-04",23
2022,"orange","orng-04",19
2023,"orange","orng-04",9
2024,"orange","orng-04",23
1999,"orange","orng-05",27
2000,"orange","orng-05",12
2001,"orange","orng-05",11
2002,"orange","orng-05",12
2003,"orange","orng-05",23
2004,"orange","orng-05",17
