"year","county","route","route_num","count"
1999,"orange","orng-01",1,1
2000,"orange","orng-01",1,2
2001,"orange","orng-01",1,2
2002,"orange","orng-01",1,1
2003,"orange","orng-01",1,6
2004,"orange","orng-01",1,7
2005,"orange","orng-01",1,8
2006,"orange","orng-01",1,3
2007,"orange","orng-01",1,1
2008,"orange","orng-01",1,2
2009,"orange","orng-01",1,0
2010,"orange","orng-01",1,3
2011,"orange","orng-01",1,1
2012,"orange","orng-01",1,7
2013,"orange","orng-01",1,1
2014,"orange","orng-01",1,2
2015,"orange","orng-01",1,4
2016,"orange","orng-01",1,4
2017,"orange","orng-01",1,0
2018,"orange","orng-01",1,2
2019,"orange","orng-01",1,1
2020,"orange","orng-01",1,1
2021,"orange","orng-01",1,0
2022,"orange","orng-01",1,0
2023,"orange","orng-01",1,1
2024,"orange","orng-01",1,0
2025,"orange","orng-01",1,1
1999,"orange","orng-02",2,0
2000,"orange","orng-02",2,1
2001,"orange","orng-02",2,1
2002,"orange","orng-02",2,1
2003,"orange","orng-02",2,3
2004,"orange","orng-02",2,6
2005,"orange","orng-02",2,5
2006,"orange","orng-02",2,5
2007,"orange","orng-02",2,2
2008,"orange","orng-02",2,2
2009,"orange","orng-02",2,2
2010,"orange","orng-02",2,3
2011,"orange","orng-02",2,5
2012,"orange","orng-02",2,0
2013,"orange","orng-02",2,1
2014,"orange","orng-02",2,1
2015,"orange","orng-02",2,5
2016,"orange","orng-02",2,0
2017,"orange","orng-02",2,0
2018,"orange","orng-02",2,0
2019,"orange","orng-02",2,0
2020,"orange","orng-02",2,0
2021,"orange","orng-02",2,0
2022,"orange","orng-02",2,0
2023,"orange","orng-02",2,0
2024,"orange","orng-02",2,0
2025,"orange","orng-02",2,0
1999,"orange","orng-03",3,5
2000,"orange","orng-03",3,3
2001,"orange","orng-03",3,7
2002,"orange","orng-03",3,10
2003,"orange","orng-03",3,8
2004,"orange","orng-03",3,9
2005,"orange","orng-03",3,7
2006,"orange","orng-03",3,5
2007,"orange","orng-03",3,6
2008,"orange","orng-03",3,6
2009,"orange","orng-03",3,6
2011,"orange","orng-03",3,2
2014,"orange","orng-03",3,0
2015,"orange","orng-03",3,4
2016,"orange","orng-03",3,0
2017,"orange","orng-03",3,3
2018,"orange","orng-03",3,0
2019,"orange","orng-03",3,3
2020,"orange","orng-03",3,6
2021,"orange","orng-03",3,2
2022,"orange","orng-03",3,6
2023,"orange","orng-03",3,4
2024,"orange","orng-03",3,4
2025,"orange","orng-03",3,5
1999,"orange","orng-04",4,4
2000,"orange","orng-04",4,4
2001,"orange","orng-04",4,5
2002,"orange","orng-04",4,7
2003,"orange","orng-04",4,13
2004,"orange","orng-04",4,3
2005,"orange","orng-04",4,5
2006,"orange","orng-04",4,8
2007,"orange","orng-04",4,6
2008,"orange","orng-04",4,6
2009,"orange","orng-04",4,4
2010,"orange","orng-04",4,10
2011,"orange","orng-04",4,3
2013,"orange","orng-04",4,3
2014,"orange","orng-04",4,6
2015,"orange","orng-04",4,5
2016,"orange","orng-04",4,1
2017,"orange","orng-04",4,2
2018,"orange","orng-04",4,1
2019,"orange","orng-04",4,4
2020,"orange","orng-04",4,3
2021,"orange","orng-04",4,1
2022,"orange","orng-04",4,1
2023,"orange","orng-04",4,3
2024,"orange","orng-04",4,3
2025,"orange","orng-04",4,3
1999,"orange","orng-05",5,3
2000,"orange","orng-05",5,6
2001,"orange","orng-05",5,6
2002,"orange","orng-05",5,6
2003,"orange","orng-05",5,9
2004,"orange","orng-05",5,6
2005,"orange","orng-05",5,7
2006,"orange","orng-05",5,9
2007,"orange","orng-05",5,5
2008,"orange","orng-05",5,7
2009,"orange","orng-05",5,5
2010,"orange","orng-05",5,5
2011,"orange","orng-05",5,4
2012,"orange","orng-05",5,5
2013,"orange","orng-05",5,4
2014,"orange","orng-05",5,3
2015,"orange","orng-05",5,9
