"year","county","route","route_num","count"
1999,"orange","orng-01",1,7
2000,"orange","orng-01",1,6
2001,"orange","orng-01",1,5
2002,"orange","orng-01",1,11
2003,"orange","orng-01",1,9
2004,"orange","orng-01",1,13
2005,"orange","orng-01",1,10
2006,"orange","orng-01",1,10
2007,"orange","orng-01",1,8
2008,"orange","orng-01",1,8
2009,"orange","orng-01",1,5
2010,"orange","orng-01",1,11
2011,"orange","orng-01",1,9
2012,"orange","orng-01",1,20
2013,"orange","orng-01",1,18
2014,"orange","orng-01",1,14
2015,"orange","orng-01",1,10
2016,"orange","orng-01",1,7
2017,"orange","orng-01",1,13
2018,"orange","orng-01",1,9
2019,"orange","orng-01",1,6
2020,"orange","orng-01",1,19
2021,"orange","orng-01",1,8
2022,"orange","orng-01",1,3
2023,"orange","orng-01",1,8
2024,"orange","orng-01",1,9
2025,"orange","orng-01",1,9
1999,"orange","orng-02",2,5
2000,"orange","orng-02",2,3
2001,"orange","orng-02",2,6
2002,"orange","orng-02",2,3
2003,"orange","orng-02",2,5
2004,"orange","orng-02",2,3
2005,"orange","orng-02",2,3
2006,"orange","orng-02",2,1
2007,"orange","orng-02",2,9
2008,"orange","orng-02",2,8
2009,"orange","orng-02",2,6
2010,"orange","orng-02",2,4
2011,"orange","orng-02",2,6
2012,"orange","orng-02",2,7
2013,"orange","orng-02",2,2
2014,"orange","orng-02",2,4
2015,"orange","orng-02",2,4
2016,"orange","orng-02",2,4
2017,"orange","orng-02",2,0
2018,"orange","orng-02",2,0
2019,"orange","orng-02",2,1
2020,"orange","orng-02",2,0
2021,"orange","orng-02",2,5
2022,"orange","orng-02",2,1
2023,"orange","orng-02",2,3
2024,"orange","orng-02",2,4
2025,"orange","orng-02",2,3
1999,"orange","orng-03",3,16
2000,"orange","orng-03",3,13
2001,"orange","orng-03",3,10
2002,"orange","orng-03",3,11
2003,"orange","orng-03",3,14
2004,"orange","orng-03",3,9
2005,"orange","orng-03",3,9
2006,"orange","orng-03",3,9
2007,"orange","orng-03",3,3
2008,"orange","orng-03",3,8
2009,"orange","orng-03",3,8
2011,"orange","orng-03",3,11
2014,"orange","orng-03",3,5
2015,"orange","orng-03",3,4
2016,"orange","orng-03",3,1
2017,"orange","orng-03",3,3
2018,"orange","orng-03",3,2
2019,"orange","orng-03",3,8
2020,"orange","orng-03",3,15
2021,"orange","orng-03",3,9
2022,"orange","orng-03",3,16
2023,"orange","orng-03",3,6
2024,"orange","orng-03",3,12
2025,"orange","orng-03",3,10
1999,"orange","orng-04",4,0
2000,"orange","orng-04",4,2
2001,"orange","orng-04",4,6
2002,"orange","orng-04",4,2
2003,"orange","orng-04",4,3
2004,"orange","orng-04",4,2
2005,"orange","orng-04",4,5
2006,"orange","orng-04",4,0
2007,"orange","orng-04",4,9
2008,"orange","orng-04",4,6
2009,"orange","orng-04",4,5
2010,"orange","orng-04",4,2
2011,"orange","orng-04",4,25
2013,"orange","orng-04",4,5
