"year","county","route","count"
1999,"orange","orng-01",1
2000,"orange","orng-01",2
2001,"orange","orng-01",4
2002,"orange","orng-01",0
2003,"orange","orng-01",0
2004,"orange","orng-01",2
2005,"orange","orng-01",0
2006,"orange","orng-01",0
2007,"orange","orng-01",0
2008,"orange","orng-01",0
2009,"orange","orng-01",0
2010,"orange","orng-01",0
2011,"orange","orng-01",1
2012,"orange","orng-01",1
2013,"orange","orng-01",0
2014,"orange","orng-01",1
2015,"orange","orng-01",2
2016,"orange","orng-01",1
2017,"orange","orng-01",1
2018,"orange","orng-01",0
2019,"orange","orng-01",1
2020,"orange","orng-01",2
2021,"orange","orng-01",0
2022,"orange","orng-01",0
2023,"orange","orng-01",0
2024,"orange","orng-01",0
1999,"orange","orng-02",0
2000,"orange","orng-02",1
2001,"orange","orng-02",0
2002,"orange","orng-02",2
2003,"orange","orng-02",2
2004,"orange","orng-02",2
2005,"orange","orng-02",2
2006,"orange","orng-02",0
2007,"orange","orng-02",2
2008,"orange","orng-02",0
2009,"orange","orng-02",1
2010,"orange","orng-02",1
2011,"orange","orng-02",0
2012,"orange","orng-02",0
2013,"orange","orng-02",1
2014,"orange","orng-02",0
2015,"orange","orng-02",1
2016,"orange","orng-02",0
2017,"orange","orng-02",0
2018,"orange","orng-02",0
2019,"orange","orng-02",0
2020,"orange","orng-02",0
2021,"orange","orng-02",1
2022,"orange","orng-02",0
2023,"orange","orng-02",1
2024,"orange","orng-02",5
1999,"orange","orng-03",11
2000,"orange","orng-03",10
2001,"orange","orng-03",5
2002,"orange","orng-03",2
2003,"orange","orng-03",2
2004,"orange","orng-03",0
2005,"orange","orng-03",0
2006,"orange","orng-03",1
2007,"orange","orng-03",1
2008,"orange","orng-03",0
2009,"orange","orng-03",2
2011,"orange","orng-03",0
2014,"orange","orng-03",1
2015,"orange","orng-03",0
2016,"orange","orng-03",0
2017,"orange","orng-03",0
2018,"orange","orng-03",0
2019,"orange","orng-03",0
2020,"orange","orng-03",2
2021,"orange","orng-03",0
2022,"orange","orng-03",5
2023,"orange","orng-03",2
2024,"orange","orng-03",1
1999,"orange","orng-04",7
2000,"orange","orng-04",5
2001,"orange","orng-04",4
2002,"orange","orng-04",5
2003,"orange","orng-04",3
2004,"orange","orng-04",1
2005,"orange","orng-04",2
2006,"orange","orng-04",5
2007,"orange","orng-04",1
2008,"orange","orng-04",4
2009,"orange","orng-04",0
2010,"orange","orng-04",1
2011,"orange","orng-04",2
2013,"orange","orng-04",7
2014,"orange","orng-04",0
2015,"orange","orng-04",0
2016,"orange","orng-04",0
2017,"orange","orng-04",2
2018,"orange","orng-04",0
2019,"orange","orng-04",4
2020,"orange","orng-04",0
2021,"orange","orng-04",1
2022,"orange","orng-04",4
2023,"orange","orng-04",8
2024,"orange","orng-04",6
1999,"orange","orng-05",15
2000,"orange","orng-05",5
2001,"orange","orng-05",10
2002,"orange","orng-05",7
2003,"orange","orng-05",5
2004,"orange","orng-05",5
2005,"orange","orng-05",6
2006,"orange","orng-05",3
2007,"orange","orng-05",9
2008,"orange","orng-05",10
2009,"orange","orng-05",4
2010,"orange","orng-05",7
2011,"orange","orng-05",6
2012,"orange","orng-05",10
2013,"orange","orng-05",6
2014,"orange","orng-05",7
2015,"orange","orng-05",7
2016,"orange","orng-05",10
2017,"orange","orng-05",9
2018,"orange","orng-05",5
2019,"orange","orng-05",11
2020,"orange","orng-05",15
2021,"orange","orng-05",9
2022,"orange","orng-05",7
2023,"orange","orng-05",8
2024,"orange","orng-05",8
1999,"orange","orng-06",10
2000,"orange","orng-06",8
2001,"orange","orng-06",10
2002,"orange","orng-06",12
2003,"orange","orng-06",10
2004,"orange","orng-06",7
2005,"orange","orng-06",0
2006,"orange","orng-06",7
2007,"orange","orng-06",5
2008,"orange","orng-06",7
2009,"orange","orng-06",6
2010,"orange","orng-06",4
2011,"orange","orng-06",3
2012,"orange","orng-06",5
2013,"orange","orng-06",4
2014,"orange","orng-06",6
2015,"orange","orng-06",3
2016,"orange","orng-06",0
2017,"orange","orng-06",1
2019,"orange","orng-06",8
2020,"orange","orng-06",13
2021,"orange","orng-06",10
2022,"orange","orng-06",7
2023,"orange","orng-06",6
2024,"orange","orng-06",6
1999,"orange","orng-07",3
2000,"orange","orng-07",5
2001,"orange","orng-07",10
2002,"orange","orng-07",5
2003,"orange","orng-07",3
2004,"orange","orng-07",5
2005,"orange","orng-07",2
2006,"orange","orng-07",4
2007,"orange","orng-07",4
2008,"orange","orng-07",4
2009,"orange","orng-07",5
2010,"orange","orng-07",2
2011,"orange","orng-07",3
2012,"orange","orng-07",6
2014,"orange","orng-07",0
2015,"orange","orng-07",1
2016,"orange","orng-07",1
2017,"orange","orng-07",1
2018,"orange","orng-07",0
2019,"orange","orng-07",2
2020,"orange","orng-07",2
2021,"orange","orng-07",2
2022,"orange","orng-07",2
2023,"orange","orng-07",5
2024,"orange","orng-07",3
1999,"orange","orng-08",0
2000,"orange","orng-08",2
2001,"orange","orng-08",2
2002,"orange","orng-08",3
2003,"orange","orng-08",0
2004,"orange","orng-08",2
2005,"orange","orng-08",2
2006,"orange","orng-08",0
2007,"orange","orng-08",2
2008,"orange","orng-08",0
2009,"orange","orng-08",5
2010,"orange","orng-08",2
2011,"orange","orng-08",1
2012,"orange","orng-08",0
2013,"orange","orng-08",1
2014,"orange","orng-08",2
2015,"orange","orng-08",1
2016,"orange","orng-08",0
2017,"orange","orng-08",0
2018,"orange","orng-08",2
2019,"orange","orng-08",0
2020,"orange","orng-08",0
2021,"orange","orng-08",2
2022,"orange","orng-08",5
2023,"orange","orng-08",1
2024,"orange","orng-08",3
1999,"orange","orng-09",5
2000,"orange","orng-09",12
2001,"orange","orng-09",7
2002,"orange","orng-09",4
2004,"orange","orng-09",4
2005,"orange","orng-09",7
2006,"orange","orng-09",11
2007,"orange","orng-09",2
2008,"orange","orng-09",5
2009,"orange","orng-09",2
2011,"orange","orng-09",11
2012,"orange","orng-09",10
2013,"orange","orng-09",3
2014,"orange","orng-09",11
2015,"orange","orng-09",6
2016,"orange","orng-09",4
2019,"orange","orng-09",8
2020,"orange","orng-09",3
2021,"orange","orng-09",2
2022,"orange","orng-09",5
2023,"orange","orng-09",6
2024,"orange","orng-09",4
1999,"orange","orng-10",16
2000,"orange","orng-10",11
2001,"orange","orng-10",15
2002,"orange","orng-10",7
2003,"orange","orng-10",6
2004,"orange","orng-10",7
2005,"orange","orng-10",6
2006,"orange","orng-10",1
2007,"orange","orng-10",6
2008,"orange","orng-10",8
2009,"orange","orng-10",5
2012,"orange","orng-10",16
2013,"orange","orng-10",13
2016,"orange","orng-10",0
2017,"orange","orng-10",0
2018,"orange","orng-10",0
2019,"orange","orng-10",0
2020,"orange","orng-10",3
2021,"orange","orng-10",3
2023,"orange","orng-10",3
2024,"orange","orng-10",1
1999,"orange","orng-11",10
2000,"orange","orng-11",11
2001,"orange","orng-11",4
2002,"orange","orng-11",9
2003,"orange","orng-11",0
2004,"orange","orng-11",11
2005,"orange","orng-11",8
2006,"orange","orng-11",14
2007,"orange","orng-11",7
2008,"orange","orng-11",0
2009,"orange","orng-11",1
2017,"orange","orng-11",6
2018,"orange","orng-11",1
2019,"orange","orng-11",11
2020,"orange","orng-11",10
2021,"orange","orng-11",6
2022,"orange","orng-11",7
2023,"orange","orng-11",9
2024,"orange","orng-11",8
1999,"orange","orng-12",16
2000,"orange","orng-12",7
2001,"orange","orng-12",6
2002,"orange","orng-12",14
2003,"orange","orng-12",11
2004,"orange","orng-12",10
2005,"orange","orng-12",2
2006,"orange","orng-12",13
2007,"orange","orng-12",11
2008,"orange","orng-12",11
2009,"orange","orng-12",4
2010,"orange","orng-12",9
2011,"orange","orng-12",7
2012,"orange","orng-12",7
2013,"orange","orng-12",0
2014,"orange","orng-12",6
2015,"orange","orng-12",6
2016,"orange","orng-12",2
2017,"orange","orng-12",5
2018,"orange","orng-12",3
2019,"orange","orng-12",8
2020,"orange","orng-12",6
2021,"orange","orng-12",8
2022,"orange","orng-12",6
2023,"orange","orng-12",4
2024,"orange","orng-12",1
2000,"chatham","cthm-01",14
2001,"chatham","cthm-01",22
2002,"chatham","cthm-01",27
