"year","mbbs_county","route","route_num","count"
1999,"orange",1,1,4
2000,"orange",1,1,2
2001,"orange",1,1,6
2002,"orange",1,1,3
2003,"orange",1,1,3
2004,"orange",1,1,8
2005,"orange",1,1,11
2006,"orange",1,1,2
2007,"orange",1,1,5
2008,"orange",1,1,7
2009,"orange",1,1,6
2010,"orange",1,1,2
2011,"orange",1,1,10
2012,"orange",1,1,7
2013,"orange",1,1,5
2014,"orange",1,1,10
2015,"orange",1,1,6
2016,"orange",1,1,6
2017,"orange",1,1,8
2018,"orange",1,1,6
2019,"orange",1,1,7
2020,"orange",1,1,2
2021,"orange",1,1,3
2022,"orange",1,1,5
2023,"orange",1,1,4
1999,"orange",2,2,7
2000,"orange",2,2,7
2001,"orange",2,2,2
2002,"orange",2,2,6
2003,"orange",2,2,4
2004,"orange",2,2,1
2005,"orange",2,2,5
2006,"orange",2,2,0
2007,"orange",2,2,5
2008,"orange",2,2,6
2009,"orange",2,2,2
2010,"orange",2,2,6
2011,"orange",2,2,10
2012,"orange",2,2,4
2013,"orange",2,2,6
2014,"orange",2,2,7
2015,"orange",2,2,1
2016,"orange",2,2,3
2017,"orange",2,2,2
2018,"orange",2,2,1
2019,"orange",2,2,1
2020,"orange",2,2,5
2021,"orange",2,2,1
2022,"orange",2,2,3
2023,"orange",2,2,3
1999,"orange",3,3,6
2000,"orange",3,3,7
2001,"orange",3,3,4
2002,"orange",3,3,10
2003,"orange",3,3,4
2004,"orange",3,3,12
2005,"orange",3,3,6
2006,"orange",3,3,8
2007,"orange",3,3,2
2008,"orange",3,3,2
2009,"orange",3,3,9
2011,"orange",3,3,6
2014,"orange",3,3,7
2015,"orange",3,3,5
2016,"orange",3,3,1
2017,"orange",3,3,3
2018,"orange",3,3,1
2019,"orange",3,3,4
2020,"orange",3,3,6
2021,"orange",3,3,9
2022,"orange",3,3,6
2023,"orange",3,3,7
1999,"orange",4,4,5
2000,"orange",4,4,4
2001,"orange",4,4,4
2002,"orange",4,4,5
2003,"orange",4,4,3
2004,"orange",4,4,1
2005,"orange",4,4,6
2006,"orange",4,4,6
2007,"orange",4,4,6
2008,"orange",4,4,7
2009,"orange",4,4,9
2010,"orange",4,4,1
2011,"orange",4,4,8
2013,"orange",4,4,6
2014,"orange",4,4,3
2015,"orange",4,4,5
2016,"orange",4,4,2
2017,"orange",4,4,6
2018,"orange",4,4,8
2019,"orange",4,4,9
2020,"orange",4,4,2
2021,"orange",4,4,7
2022,"orange",4,4,4
2023,"orange",4,4,7
1999,"orange",5,5,9
2000,"orange",5,5,2
2001,"orange",5,5,8
2002,"orange",5,5,6
2003,"orange",5,5,5
2004,"orange",5,5,15
2005,"orange",5,5,8
2006,"orange",5,5,7
2007,"orange",5,5,7
2008,"orange",5,5,7
2009,"orange",5,5,8
2010,"orange",5,5,2
2011,"orange",5,5,14
2012,"orange",5,5,14
2013,"orange",5,5,22
2014,"orange",5,5,9
2015,"orange",5,5,10
2016,"orange",5,5,6
2017,"orange",5,5,11
2019,"orange",5,5,14
2020,"orange",5,5,17
2021,"orange",5,5,4
2022,"orange",5,5,5
2023,"orange",5,5,10
1999,"orange",6,6,3
2000,"orange",6,6,2
2001,"orange",6,6,2
2002,"orange",6,6,9
