COUNTY	????		ROUTE (number)			????		ROUTE (name)		????		DATE	????		TIME	????		OBSERVER(S)		????				
HABITAT	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	SUM	SEQUENCE		
   left																								
   right																								
VEHICLES																								
DCCO																					0	1	DCCO	Double-crested Cormorant
GBHE																					0	2	GBHE	Great Blue Heron
GRHE																					0	3	GRHE	Green Heron
BLVU																					0	4	BLVU	Black Vulture
TUVU																					0	5	TUVU	Turkey Vulture
CAGO																					0	6	CAGO	Canada Goose
WODU																					0	7	WODU	Wood Duck
MALL																					0	8	MALL	Mallard
OSPR																					0	9	OSPR	Osprey
SSHA																					0	10	SSHA	Sharp-shinned Hawk
COHA																					0	11	COHA	Cooper's Hawk
acsp																					0	12	acsp	Accipiter species
RSHA																					0	13	RSHA	Red-shouldered Hawk
BWHA																					0	14	BWHA	Broad-winged Hawk
RTHA																					0	15	RTHA	Red-tailed Hawk
WITU																					0	16	WITU	Wild Turkey
NOBO																					0	17	NOBO	Northern Bobwhite
KILL																					0	18	KILL	Killdeer
RODO																					0	19	RODO	Rock Dove
MODO																					0	20	MODO	Mourning Dove
YBCU																					0	21	YBCU	Yellow-billed Cuckoo
EASO																					0	22	EASO	Eastern Screech-Owl
GHOW																					0	23	GHOW	Great Horned Owl
BAOW																					0	24	BAOW	Barred Owl
CONI																					0	25	CONI	Common Nighthawk
CWWI																					0	26	CWWI	Chuck-will's-widow
WPWI																					0	27	WPWI	Whip-poor-will
CHSW																					0	28	CHSW	Chimney Swift
RTHU																					0	29	RTHU	Ruby-throated Hummingbird
BEKI																					0	30	BEKI	Belted Kingfisher
RHWO																					0	31	RHWO	Red-headed Woodpecker
RBWO																					0	32	RBWO	Red-bellied Woodpecker
DOWO																					0	33	DOWO	Downy Woodpecker
HAWO																					0	34	HAWO	Hairy Woodpecker
NOFL																					0	35	NOFL	Northern Flicker
PIWO																					0	36	PIWO	Pileated Woodpecker
EAWP																					0	37	EAWP	Eastern Wood-Pewee
ACFL																					0	38	ACFL	Acadian Flycatcher
WIFL																					0	39	WIFL	Willow Flycatcher
EAPH																					0	40	EAPH	Eastern Phoebe
GCFL																					0	41	GCFL	Great Crested Flycatcher
EAKI																					0	42	EAKI	Eastern Kingbird
LOSH																					0	43	LOSH	Loggerhead Shrike
WEVI																					0	44	WEVI	White-eyed Vireo
YTVI																					0	45	YTVI	Yellow-throated Vireo
BHVI																					0	46	BHVI	Blue-headed Vireo
WAVI																					0	47	WAVI	Warbling Vireo
REVI																					0	48	REVI	Red-eyed Vireo
BLJA																					0	49	BLJA	Blue Jay
AMCR																					0	50	AMCR	American Crow
FICR																					0	51	FICR	Fish Crow
PUMA																					0	52	PUMA	Purple Martin
TRSW																					0	53	TRSW	Tree Swallow
NRWS																					0	54	NRWS	Northern Rough-winged Swallow
CLSW																					0	55	CLSW	Cliff Swallow
BARS																					0	56	BARS	Barn Swallow
CACH																					0	57	CACH	Carolina Chickadee
TUTI																					0	58	TUTI	Tufted Titmouse
WBNU																					0	59	WBNU	White-breasted Nuthatch
BHNU																					0	60	BHNU	Brown-headed Nuthatch
CARW																					0	61	CARW	Carolina Wren
HOWR																					0	62	HOWR	House Wren
BGGN																					0	63	BGGN	Blue-gray Gnatcatcher
EABL																					0	64	EABL	Eastern Bluebird
WOTH																					0	65	WOTH	Wood Thrush
AMRO																					0	66	AMRO	American Robin
GRCA																					0	67	GRCA	Gray Catbird
NOMO																					0	68	NOMO	Northern Mockingbird
BRTH																					0	69	BRTH	Brown Thrasher
EUST																					0	70	EUST	European Starling
CEDW																					0	71	CEDW	Cedar Waxwing
NOPA																					0	72	NOPA	Northern Parula
YEWA																					0	73	YEWA	Yellow Warbler
YTWA																					0	74	YTWA	Yellow-throated Warbler
PIWA																					0	75	PIWA	Pine Warbler
PRAW																					0	76	PRAW	Prairie Warbler
BAWW																					0	77	BAWW	Black-and-white Warbler
AMRE																					0	78	AMRE	American Redstart
PROW																					0	79	PROW	Prothonotary Warbler
OVEN																					0	80	OVEN	Ovenbird
LOWA																					0	81	LOWA	Louisiana Waterthrush
KEWA																					0	82	KEWA	Kentucky Warbler
COYE																					0	83	COYE	Common Yellowthroat
HOWA																					0	84	HOWA	Hooded Warbler
YBCH																					0	85	YBCH	Yellow-breasted Chat
SUTA																					0	86	SUTA	Summer Tanager
SCTA																					0	87	SCTA	Scarlet Tanager
EATO																					0	88	EATO	Eastern Towhee
CHSP																					0	89	CHSP	Chipping Sparrow
FISP																					0	90	FISP	Field Sparrow
GRSP																					0	91	GRSP	Grasshopper Sparrow
SOSP																					0	92	SOSP	Song Sparrow
NOCA																					0	93	NOCA	Northern Cardinal
BLGR																					0	94	BLGR	Blue Grosbeak
INBU																					0	95	INBU	Indigo Bunting
DICK																					0	96	DICK	Dickcissel
RWBL																					0	97	RWBL	Red-winged Blackbird
EAME																					0	98	EAME	Eastern Meadowlark
COGR																					0	99	COGR	Common Grackle
BHCO																					0	100	BHCO	Brown-headed Cowbird
OROR																					0	101	OROR	Orchard Oriole
BAOR																					0	102	BAOR	Baltimore Oriole
HOFI																					0	103	HOFI	House Finch
AMGO																					0	104	AMGO	American Goldfinch
HOSP																					0	105	HOSP	House Sparrow
																					0	106		
																					0	107		
TOTAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		TOTAL
