mbbs_county,route_num,mid,lat,lon
Chatham,1,1NRAImHBzXvdQGpsUzcCPb6tqxUkxMx0&hl=en&ll=35.80735207145845%2C-79.15685155838864&z=13,35.80735207,-79.15685156
Chatham,2,1NRAImHBzXvdQGpsUzcCPb6tqxUkxMx0&hl=en&ll=35.83169213922935%2C-79.06157949417965&z=13,35.83169214,-79.06157949
Chatham,3,1NRAImHBzXvdQGpsUzcCPb6tqxUkxMx0&hl=en&ll=35.62826513125759%2C-78.99959131055711&z=12,35.62826513,-78.99959131
Chatham,4,1NRAImHBzXvdQGpsUzcCPb6tqxUkxMx0&hl=en&ll=35.618719767621414%2C-79.32448756560525&z=13,35.61871977,-79.32448757
Chatham,5,1NRAImHBzXvdQGpsUzcCPb6tqxUkxMx0&hl=en&ll=35.61241166914304%2C-79.48801461099757&z=12,35.61241167,-79.48801461
Chatham,6,1NRAImHBzXvdQGpsUzcCPb6tqxUkxMx0&hl=en&ll=35.81794500544942%2C-79.44453998943256&z=13,35.81794501,-79.44453999
Chatham,7,1NRAImHBzXvdQGpsUzcCPb6tqxUkxMx0&hl=en&ll=35.71150934691663%2C-79.33345279174364&z=13,35.71150935,-79.33345279
Chatham,8,1NRAImHBzXvdQGpsUzcCPb6tqxUkxMx0&hl=en&ll=35.812080450845606%2C-79.27649174329487&z=13,35.81208045,-79.27649174
Chatham,9,1NRAImHBzXvdQGpsUzcCPb6tqxUkxMx0&hl=en&ll=35.752097657722814%2C-79.05269656642608&z=13,35.75209766,-79.05269657
Chatham,10,1NRAImHBzXvdQGpsUzcCPb6tqxUkxMx0&hl=en&ll=35.70406138477057%2C-79.16932849319205&z=12,35.70406138,-79.16932849
Chatham,11,1NRAImHBzXvdQGpsUzcCPb6tqxUkxMx0&hl=en&ll=35.64743655828438%2C-79.24298705414269&z=13,35.64743656,-79.24298705
Chatham,12,1NRAImHBzXvdQGpsUzcCPb6tqxUkxMx0&hl=en&ll=35.647093138438024%2C-79.47711653564622&z=13,35.64709314,-79.47711654
Chatham,13,1NRAImHBzXvdQGpsUzcCPb6tqxUkxMx0&hl=en&ll=35.74211072480257%2C-79.49363412889247&z=13,35.74211072,-79.49363413
Chatham,14,1NRAImHBzXvdQGpsUzcCPb6tqxUkxMx0&hl=en&ll=35.783043506445296%2C-78.99694879767532&z=13,35.78304351,-78.9969488
Durham,1,1NRAImHBzXvdQGpsUzcCPb6tqxUkxMx0&hl=en&ll=36.188736044603246%2C-78.91688496930244&z=13,36.18873604,-78.91688497
Durham,2,1NRAImHBzXvdQGpsUzcCPb6tqxUkxMx0&hl=en&ll=36.16490288870904%2C-78.8864579902375&z=13,36.16490289,-78.88645799
Durham,3,1NRAImHBzXvdQGpsUzcCPb6tqxUkxMx0&hl=en&ll=36.06944472213122%2C-78.93424550327897&z=13,36.06944472,-78.9342455
Durham,4,1NRAImHBzXvdQGpsUzcCPb6tqxUkxMx0&hl=en&ll=36.078324509582856%2C-78.87664048878833&z=13,36.07832451,-78.87664049
Durham,5,1NRAImHBzXvdQGpsUzcCPb6tqxUkxMx0&hl=en&ll=35.95855932619487%2C-78.98165369294924&z=12,35.95855933,-78.98165369
Durham,6,1NRAImHBzXvdQGpsUzcCPb6tqxUkxMx0&hl=en&ll=35.93236827795948%2C-78.8858570744634&z=12,35.93236828,-78.88585707
