"year","date","mbbs_county","route","route_num","tax_order","count","county_factor","time"
1999,1999-05-23,"orange",3,2,20762,0,NA,0
1999,1999-05-23,"orange",13,12,20762,17,1,0
1999,1999-05-30,"orange",5,4,20762,29,1,0
1999,1999-05-30,"orange",9,8,20762,23,1,0
1999,1999-05-31,"orange",10,9,20762,17,1,0
1999,1999-06-06,"orange",2,1,20762,17,1,0
1999,1999-06-06,"orange",4,3,20762,22,1,0
1999,1999-06-06,"orange",12,11,20762,38,1,0
1999,1999-06-10,"orange",8,7,20762,19,1,0
1999,1999-06-12,"orange",6,5,20762,34,1,0
1999,1999-06-13,"orange",7,6,20762,24,1,0
1999,1999-06-13,"orange",11,10,20762,22,1,0
2000,2000-05-21,"chatham",54,14,20762,27,40,1
2000,2000-05-24,"chatham",49,9,20762,21,40,1
2000,2000-05-25,"orange",8,7,20762,25,1,1
2000,2000-05-27,"chatham",51,11,20762,35,40,1
2000,2000-05-27,"orange",3,2,20762,21,1,1
2000,2000-05-27,"orange",5,4,20762,36,1,1
2000,2000-05-28,"chatham",42,2,20762,16,40,1
2000,2000-05-28,"orange",9,8,20762,13,1,1
2000,2000-05-28,"orange",13,12,20762,10,1,1
2000,2000-05-29,"orange",6,5,20762,28,1,1
2000,2000-06-03,"chatham",43,3,20762,16,40,1
2000,2000-06-03,"orange",11,10,20762,26,1,1
2000,2000-06-04,"orange",2,1,20762,33,1,1
2000,2000-06-04,"orange",7,6,20762,29,1,1
2000,2000-06-08,"orange",10,9,20762,18,1,1
2000,2000-06-11,"chatham",41,1,20762,27,40,1
2000,2000-06-11,"chatham",44,4,20762,30,40,1
2000,2000-06-11,"orange",4,3,20762,23,1,1
2000,2000-06-16,"chatham",45,5,20762,27,40,1
2000,2000-06-17,"chatham",50,10,20762,12,40,1
2000,2000-06-18,"chatham",47,7,20762,0,NA,1
2000,2000-06-18,"chatham",48,8,20762,33,40,1
2000,2000-06-18,"chatham",52,12,20762,32,40,1
2000,2000-06-18,"orange",12,11,20762,42,1,1
2000,2000-06-24,"chatham",46,6,20762,53,40,1
2000,2000-07-02,"chatham",53,13,20762,29,40,1
2001,2001-05-23,"orange",4,3,20762,18,1,2
2001,2001-05-23,"orange",8,7,20762,25,1,2
2001,2001-05-27,"chatham",54,14,20762,26,40,2
2001,2001-05-27,"orange",9,8,20762,28,1,2
2001,2001-05-30,"chatham",45,5,20762,31,40,2
2001,2001-06-03,"chatham",42,2,20762,49,40,2
2001,2001-06-03,"orange",2,1,20762,35,1,2
2001,2001-06-03,"orange",3,2,20762,25,1,2
2001,2001-06-03,"orange",7,6,20762,29,1,2
2001,2001-06-06,"orange",13,12,20762,30,1,2
2001,2001-06-09,"chatham",41,1,20762,21,40,2
2001,2001-06-09,"orange",6,5,20762,42,1,2
2001,2001-06-10,"chatham",43,3,20762,12,40,2
2001,2001-06-10,"chatham",44,4,20762,33,40,2
2001,2001-06-10,"chatham",48,8,20762,54,40,2
2001,2001-06-10,"chatham",52,12,20762,22,40,2
2001,2001-06-10,"orange",5,4,20762,30,1,2
2001,2001-06-10,"orange",11,10,20762,29,1,2
2001,2001-06-16,"chatham",46,6,20762,36,40,2
2001,2001-06-16,"chatham",47,7,20762,22,40,2
2001,2001-06-16,"chatham",49,9,20762,41,40,2
2001,2001-06-17,"chatham",51,11,20762,37,40,2
2001,2001-06-19,"orange",10,9,20762,9,1,2
2001,2001-06-23,"chatham",50,10,20762,22,40,2
2001,2001-06-24,"orange",12,11,20762,31,1,2
2001,2001-07-07,"chatham",53,13,20762,30,40,2
2002,2002-05-22,"orange",8,7,20762,23,1,3
2002,2002-05-26,"chatham",42,2,20762,16,40,3
2002,2002-05-27,"chatham",44,4,20762,25,40,3
2002,2002-05-27,"chatham",45,5,20762,16,40,3
2002,2002-05-27,"durham",22,2,20762,27,20,3
2002,2002-05-27,"orange",13,12,20762,14,1,3
2002,2002-05-31,"orange",10,9,20762,28,1,3
2002,2002-06-02,"chatham",43,3,20762,10,40,3
2002,2002-06-02,"chatham",54,14,20762,26,40,3
2002,2002-06-02,"durham",23,3,20762,19,20,3
2002,2002-06-02,"durham",25,5,20762,14,20,3
2002,2002-06-02,"orange",2,1,20762,8,1,3
2002,2002-06-02,"orange",3,2,20762,22,1,3
2002,2002-06-06,"durham",21,1,20762,15,20,3
2002,2002-06-08,"chatham",47,7,20762,23,40,3
2002,2002-06-09,"chatham",41,1,20762,44,40,3
2002,2002-06-09,"orange",4,3,20762,31,1,3
2002,2002-06-09,"orange",5,4,20762,26,1,3
2002,2002-06-09,"orange",7,6,20762,41,1,3
2002,2002-06-11,"durham",24,4,20762,14,20,3
2002,2002-06-13,"durham",27,7,20762,7,20,3
